ra,dec,mjd,mag_auto,filter,class_star
249.5041936117764,-28.939154863659823,58640.24527782714,20.997948,g,0.981437
249.50313299455755,-28.93784536780582,58640.24527782714,22.09756,g,0.947371
249.50318451245923,-28.939565652090977,58640.24527782714,23.479387,g,0.543079
249.50195601256354,-28.93598546303239,58640.24527782714,20.654934,g,0.981934
249.50197444363064,-28.940190381398946,58640.24527782714,20.873697,g,0.981527
249.50119485601346,-28.93936237315417,58640.24527782714,22.227839,g,0.968671
249.50030305286091,-28.938149030284393,58640.24527782714,17.4853,g,0.993686
249.50027879214963,-28.934905142846695,58640.24527782714,19.997112,g,0.982544
249.499816109009,-28.936014505215237,58640.24527782714,20.403872,g,0.981909
249.49974534392751,-28.936884620598263,58640.24527782714,21.815315,g,0.847617
249.4990166706851,-28.943334660618913,58640.24527782714,18.596521,g,0.983319
249.49917849441215,-28.94453267401279,58640.24527782714,21.789358,g,0.962387
249.49857463081867,-28.940606421146843,58640.24527782714,17.69143,g,0.986078
249.49870527676129,-28.938002282380676,58640.24527782714,21.326363,g,0.128401
249.49887439108113,-28.93590843330683,58640.24527782714,22.631182,g,0.680949
249.49818191714874,-28.936797635523146,58640.24527782714,17.420185,g,0.991243
249.4988372644155,-28.934368788830316,58640.24527782714,22.018166,g,0.958346
249.49857629584133,-28.939235249734377,58640.24527782714,20.036018,g,0.983162
249.49721075482884,-28.934383670299454,58640.24527782714,23.077047,g,0.577049
249.49687231297722,-28.94174869878714,58640.24527782714,22.49566,g,0.778976
249.49600806778244,-28.943597946936585,58640.24527782714,23.49514,g,0.531328
249.49443901485722,-28.938948779758444,58640.24527782714,18.523842,g,0.984773
249.49253602024706,-28.939290129733756,58640.24527782714,19.907776,g,0.982562
249.5041981057734,-28.939165739460904,58616.308670793194,21.055468,g,0.965164
249.5031372439052,-28.93782497454389,58616.308670793194,22.448935,g,0.784064
249.50197247710062,-28.940190369313957,58616.308670793194,20.917883,g,0.979548
249.5019512170542,-28.935970419209983,58616.308670793194,20.761663,g,0.980395
249.50028239798073,-28.934907652572324,58616.308670793194,20.001549,g,0.982238
249.5011823312316,-28.93934458641496,58616.308670793194,21.731487,g,0.79924
249.499805575899,-28.93601033431265,58616.308670793194,20.290033,g,0.915353
249.49970652686397,-28.936887337383634,58616.308670793194,21.767193,g,0.264217
249.5002998151179,-28.93815131826184,58616.308670793194,17.482874,g,0.983159
249.4981854595942,-28.93680422207481,58616.308670793194,17.399446,g,0.982547
249.49869677036932,-28.937962623782287,58616.308670793194,21.08537,g,0.359996
249.49901912053718,-28.943334289005918,58616.308670793194,18.654104,g,0.982264
249.4991845980295,-28.944511375426657,58616.308670793194,21.870613,g,0.954789
249.49857718127916,-28.940603487148422,58616.308670793194,17.679815,g,0.985265
249.4985846884471,-28.939241519519207,58616.308670793194,19.958858,g,0.960752
249.49884984800622,-28.93436168347175,58616.308670793194,22.109516,g,0.904817
249.49720491481057,-28.934361099596263,58616.308670793194,22.992323,g,0.612501
249.49686599336283,-28.941739428263602,58616.308670793194,22.597979,g,0.495534
249.49444171123517,-28.93894379935248,58616.308670793194,18.531902,g,0.98331
249.49263083285538,-28.939368968437286,58616.308670793194,20.669846,g,0.980225
249.5041843783613,-28.9391593170232,58643.24138785014,21.043251,g,0.975124
249.50314308874744,-28.93783992780372,58643.24138785014,22.356207,g,0.921558
249.50259955643085,-28.942554284722057,58643.24138785014,23.492096,g,0.547025
249.50197419749227,-28.940201410683667,58643.24138785014,20.860327,g,0.980207
249.5019514570931,-28.935993255783465,58643.24138785014,20.807543,g,0.979583
249.50120878287558,-28.939349724314596,58643.24138785014,21.999945,g,0.943707
249.50030512737467,-28.93814809569119,58643.24138785014,17.510653,g,0.985714
249.50028400919572,-28.93491449851192,58643.24138785014,20.002514,g,0.98285
249.49981431374547,-28.93601129635783,58643.24138785014,20.390018,g,0.981509
249.49971469921888,-28.936880961467626,58643.24138785014,21.861135,g,0.955058
249.49886311310914,-28.935904194146886,58643.24138785014,22.488525,g,0.521188
249.49857389274183,-28.940608887967535,58643.24138785014,17.704443,g,0.983712
249.49857239664775,-28.939231717632573,58643.24138785014,20.0271,g,0.982993
249.49818548220668,-28.936804928550302,58643.24138785014,17.446468,g,0.983773
249.49870616150136,-28.937980022218742,58643.24138785014,21.152376,g,0.335373
249.49901289820943,-28.943338776783975,58643.24138785014,18.646542,g,0.983631
249.49918651854048,-28.944525050998283,58643.24138785014,21.94408,g,0.940703
249.49883661417604,-28.934367406960142,58643.24138785014,22.150045,g,0.959162
249.49718416386347,-28.93438690919924,58643.24138785014,23.128756,g,0.564072
249.49681080939587,-28.941759930446384,58643.24138785014,22.551275,g,0.8406
249.49443725917197,-28.93894565501197,58643.24138785014,18.561096,g,0.984837
249.49262192578473,-28.939358399565688,58643.24138785014,20.722788,g,0.981201
249.50419994181638,-28.93914522803225,56831.08400567714,20.299866,r,0.953596
249.5032622907032,-28.941180314361365,56831.08400567714,22.165915,r,0.979114
249.5031594955153,-28.937838274495274,56831.08400567714,20.874405,r,0.980733
249.50315932481988,-28.93956735691883,56831.08400567714,21.84691,r,0.975286
249.50261006514563,-28.942556138609607,56831.08400567714,21.896736,r,0.973541
