ra,dec,mjd,mag_auto,magerr_auto,filter,fwhm,class_star,exposure
244.1191502591562,-26.745415619181802,56353.31772565888,19.702679,0.0227,r,1.49722,0.979358,tu2035831
244.12936082571332,-26.746779148069017,56353.31772565888,21.857313,0.133346,r,2.119796,0.493855,tu2035831
244.1289945773703,-26.743488358978315,56353.31772565888,20.626135,0.04586,r,1.707344,0.962058,tu2035831
244.12875343521912,-26.745200666350684,56353.31772565888,19.365633,0.017147,r,1.423867,0.981876,tu2035831
244.12546900865513,-26.745398914744115,56353.31772565888,20.187939,0.032383,r,1.638455,0.972398,tu2035831
244.1253294196082,-26.750567402659104,56353.31772565888,20.577152,0.041083,r,1.513527,0.961579,tu2035831
244.12384249502873,-26.74245689490166,56353.31772565888,18.36149,0.007822,r,1.393834,0.983234,tu2035831
244.12938855783725,-26.746780195708954,57890.20009866031,21.253859,0.12342,Y,0.838875,0.514435,c4d_170517_045131_ooi_Y_v1
244.12899443605687,-26.74348889546193,57890.20009866031,19.55636,0.054617,Y,1.359653,0.974097,c4d_170517_045131_ooi_Y_v1
244.12873874511158,-26.74519921515331,57890.20009866031,18.13224,0.016353,Y,1.002422,0.982002,c4d_170517_045131_ooi_Y_v1
244.12764536529596,-26.744200285932106,57890.20009866031,20.569574,0.131628,Y,1.367262,0.557818,c4d_170517_045131_ooi_Y_v1
244.12547547208064,-26.74539283440465,57890.20009866031,18.234797,0.017484,Y,1.02829,0.982652,c4d_170517_045131_ooi_Y_v1
244.12531492096974,-26.750548687112836,57890.20009866031,19.516298,0.04572,Y,1.182167,0.96909,c4d_170517_045131_ooi_Y_v1
244.1251149358572,-26.746321475443946,57890.20009866031,20.006994,0.074225,Y,1.207218,0.960603,c4d_170517_045131_ooi_Y_v1
244.1238393630093,-26.74245854611733,57890.20009866031,17.512974,0.010143,Y,0.999626,0.981088,c4d_170517_045131_ooi_Y_v1
244.12362269765697,-26.74602312740075,57890.20009866031,20.556387,0.095726,Y,1.589374,0.901233,c4d_170517_045131_ooi_Y_v1
244.1233495742732,-26.74776549116179,57890.20009866031,21.26092,0.117192,Y,1.405375,0.552495,c4d_170517_045131_ooi_Y_v1
244.1232166275603,-26.744532065411203,57890.20009866031,20.85215,0.16578,Y,2.283423,0.031239,c4d_170517_045131_ooi_Y_v1
244.1191409553329,-26.745436377433474,57890.20009866031,18.843634,0.029871,Y,1.116919,0.944067,c4d_170517_045131_ooi_Y_v1
244.11904747135316,-26.748876272730946,57890.20009866031,20.916954,0.160804,Y,0.789124,0.454826,c4d_170517_045131_ooi_Y_v1
244.12939214476904,-26.746766346468505,58715.98682118533,22.902067,0.188348,g,1.558593,0.759839,c4d_190820_234101_ooi_g_v1
244.1289656038235,-26.74349992361318,58715.98682118533,21.320204,0.036574,g,1.10996,0.937438,c4d_190820_234101_ooi_g_v1
244.1287400504367,-26.745186101844133,58715.98682118533,20.468737,0.021055,g,1.084285,0.974855,c4d_190820_234101_ooi_g_v1
244.12548022271218,-26.74537774437577,58715.98682118533,21.950983,0.067792,g,1.388775,0.92533,c4d_190820_234101_ooi_g_v1
244.12530684916885,-26.750548336747784,58715.98682118533,21.564867,0.044678,g,1.240267,0.977102,c4d_190820_234101_ooi_g_v1
244.12384127736547,-26.74246417934133,58715.98682118533,19.18015,0.009283,g,1.081528,0.982908,c4d_190820_234101_ooi_g_v1
244.12325500564958,-26.744576198093924,58715.98682118533,23.249832,0.211308,g,1.522927,0.72529,c4d_190820_234101_ooi_g_v1
244.11913505307263,-26.745413562906474,58715.98682118533,20.468693,0.019757,g,1.066624,0.980835,c4d_190820_234101_ooi_g_v1
244.12941499842228,-26.746750973189382,56784.297851558775,21.296402,0.082069,i,1.123632,0.962275,c4d_140507_071058_ooi_i_v1
244.12900155220564,-26.743492737224894,56784.297851558775,20.023872,0.026745,i,0.900213,0.983707,c4d_140507_071058_ooi_i_v1
244.12875137610018,-26.74519324928111,56784.297851558775,18.739685,0.01007,i,0.86205,0.983368,c4d_140507_071058_ooi_i_v1
244.12764165707668,-26.744195673634337,56784.297851558775,21.081602,0.090074,i,1.122103,0.937691,c4d_140507_071058_ooi_i_v1
244.1260355864973,-26.74333591419106,56784.297851558775,22.446312,0.203313,i,1.088191,0.723307,c4d_140507_071058_ooi_i_v1
244.1254742190958,-26.745386206897265,56784.297851558775,19.056362,0.012796,i,0.884263,0.983167,c4d_140507_071058_ooi_i_v1
244.1251302864917,-26.746289278501997,56784.297851558775,20.898533,0.060688,i,0.957433,0.978189,c4d_140507_071058_ooi_i_v1
244.12531372168087,-26.75054720980508,56784.297851558775,20.028671,0.026323,i,0.860694,0.982741,c4d_140507_071058_ooi_i_v1
244.1238410326774,-26.742453629717296,56784.297851558775,17.92237,0.005912,i,0.889571,0.994337,c4d_140507_071058_ooi_i_v1
244.12361414702536,-26.746005411979294,56784.297851558775,21.538536,0.080967,i,0.966561,0.959683,c4d_140507_071058_ooi_i_v1
244.12334338524724,-26.747768196482475,56784.297851558775,22.173832,0.116969,i,1.222368,0.760714,c4d_140507_071058_ooi_i_v1
244.1232250416187,-26.74454101082665,56784.297851558775,21.105726,0.068204,i,2.012808,0.233764,c4d_140507_071058_ooi_i_v1
244.11914920162636,-26.74541869166426,56784.297851558775,19.217602,0.015423,i,0.922997,0.98103,c4d_140507_071058_ooi_i_v1
244.12935181953375,-26.74676466429694,58640.241158452816,22.868046,0.169118,g,1.412251,0.562743,c4d_190606_054716_ooi_g_v1
244.12896949725362,-26.74350204648546,58640.241158452816,21.350569,0.040407,g,1.070325,0.980394,c4d_190606_054716_ooi_g_v1
244.12873848954723,-26.745193196245992,58640.241158452816,20.498915,0.022003,g,1.037232,0.982004,c4d_190606_054716_ooi_g_v1
244.12548106247596,-26.745382748384262,58640.241158452816,21.819838,0.075109,g,1.269074,0.970546,c4d_190606_054716_ooi_g_v1
244.12530322456814,-26.75055822941182,58640.241158452816,21.476473,0.044878,g,1.154854,0.978029,c4d_190606_054716_ooi_g_v1
244.12383748370024,-26.742461542818738,58640.241158452816,19.191504,0.010077,g,1.010204,0.983391,c4d_190606_054716_ooi_g_v1
244.12329556345105,-26.744584803499535,58640.241158452816,23.285284,0.210109,g,1.403602,0.60904,c4d_190606_054716_ooi_g_v1
