ra,dec,mjd,mag_auto,magerr_auto,filter,fwhm,class_star,exposure
259.2603380940132,-32.56379518239345,57864.34586306522,19.980555,0.125584,z,2.650539,0.086134,c4d_170421_081918_ooi_z_v1
259.26073208362953,-32.56543901807675,57864.34586306522,15.682056,0.019646,z,0.797703,0.992302,c4d_170421_081918_ooi_z_v1
259.26050196842044,-32.570042046793674,57864.34586306522,18.272556,0.049518,z,0.865163,0.904821,c4d_170421_081918_ooi_z_v1
259.26033442879395,-32.569345504353926,57864.34586306522,19.229252,0.082537,z,0.811033,0.979712,c4d_170421_081918_ooi_z_v1
259.2678225256833,-32.57102031860268,57864.34586306522,20.532171,0.12631,z,1.279201,0.723188,c4d_170421_081918_ooi_z_v1
259.26749456365974,-32.571977901368086,57864.34586306522,19.406595,0.103351,z,2.24061,0.128394,c4d_170421_081918_ooi_z_v1
259.26606553095104,-32.56958931542736,57864.34586306522,19.784622,0.100674,z,1.452305,0.52226,c4d_170421_081918_ooi_z_v1
259.2668294760146,-32.5659206385851,57864.34586306522,20.632423,0.139534,z,0.734858,0.646994,c4d_170421_081918_ooi_z_v1
259.26563218174175,-32.57368536272988,57864.34586306522,17.236303,0.024619,z,2.541108,0.651137,c4d_170421_081918_ooi_z_v1
259.2664217838328,-32.568089962351856,57864.34586306522,19.947649,0.108491,z,1.590415,0.060565,c4d_170421_081918_ooi_z_v1
259.26708842108604,-32.5675425408926,57864.34586306522,17.451529,0.025834,z,0.713017,0.981786,c4d_170421_081918_ooi_z_v1
259.2666880987041,-32.56971917279404,57864.34586306522,18.820143,0.064201,z,2.416577,0.51008,c4d_170421_081918_ooi_z_v1
259.26789904271124,-32.568582113697545,57864.34586306522,17.312256,0.024605,z,0.73897,0.981201,c4d_170421_081918_ooi_z_v1
259.2675302988101,-32.56932912582808,57864.34586306522,16.82425,0.02189,z,0.784242,0.985865,c4d_170421_081918_ooi_z_v1
259.2656778695701,-32.56618772774557,57864.34586306522,19.035305,0.10297,z,3.633925,0.140885,c4d_170421_081918_ooi_z_v1
259.26526472110396,-32.566408148512835,57864.34586306522,19.360779,0.102551,z,1.842637,0.320797,c4d_170421_081918_ooi_z_v1
259.26511313409037,-32.57233478307403,57864.34586306522,18.521654,0.066983,z,2.498123,0.106059,c4d_170421_081918_ooi_z_v1
259.26509539092126,-32.572966790859105,57864.34586306522,20.034847,0.135157,z,0.905237,0.915672,c4d_170421_081918_ooi_z_v1
259.26520434655845,-32.57038950075747,57864.34586306522,19.797623,0.119136,z,1.104042,0.351766,c4d_170421_081918_ooi_z_v1
259.26493656751467,-32.57125340807316,57864.34586306522,15.46056,0.019303,z,2.559489,0.77692,c4d_170421_081918_ooi_z_v1
259.26357127286036,-32.5714254637635,57864.34586306522,19.135319,0.101652,z,1.23964,0.951788,c4d_170421_081918_ooi_z_v1
259.2653921539778,-32.56851762082569,57864.34586306522,20.5491,0.141447,z,0.781774,0.691467,c4d_170421_081918_ooi_z_v1
259.26464471767196,-32.56700266251766,57864.34586306522,18.977552,0.071645,z,3.844972,0.005914,c4d_170421_081918_ooi_z_v1
259.2637062588807,-32.56664847454916,57864.34586306522,18.20713,0.035831,z,0.713495,0.97903,c4d_170421_081918_ooi_z_v1
259.2630241768461,-32.56786968748937,57864.34586306522,17.578375,0.033416,z,1.811366,0.590968,c4d_170421_081918_ooi_z_v1
259.2626284552802,-32.566884518441775,57864.34586306522,16.894638,0.022231,z,0.741142,0.981766,c4d_170421_081918_ooi_z_v1
259.26402542022566,-32.565266543883155,57864.34586306522,15.984242,0.020078,z,1.303696,0.879461,c4d_170421_081918_ooi_z_v1
259.26430216478263,-32.56614164605247,57864.34586306522,18.962831,0.077464,z,2.861214,0.071696,c4d_170421_081918_ooi_z_v1
259.2645939837707,-32.56888977740108,57864.34586306522,18.889862,0.081145,z,2.172728,0.534844,c4d_170421_081918_ooi_z_v1
259.2624388204454,-32.571298056947,57864.34586306522,20.232988,0.203945,z,0.732732,0.949785,c4d_170421_081918_ooi_z_v1
259.2616799662841,-32.5682005767267,57864.34586306522,20.021194,0.189596,z,1.563846,0.544939,c4d_170421_081918_ooi_z_v1
259.2639977520357,-32.570198121642115,57864.34586306522,18.793955,0.073796,z,1.475689,0.170933,c4d_170421_081918_ooi_z_v1
259.2619708505806,-32.56890678428518,57864.34586306522,19.902456,0.150205,z,0.969128,0.853373,c4d_170421_081918_ooi_z_v1
259.2613713613776,-32.56917818950535,57864.34586306522,19.033705,0.106453,z,2.914369,0.008024,c4d_170421_081918_ooi_z_v1
259.2631159713136,-32.57419661348969,57864.34586306522,19.05613,0.062167,z,0.767839,0.976684,c4d_170421_081918_ooi_z_v1
259.2640485442084,-32.57374207254798,57864.34586306522,19.715714,0.12665,z,2.266096,0.008146,c4d_170421_081918_ooi_z_v1
259.26348251407234,-32.573577158616466,57864.34586306522,19.358221,0.077483,z,0.787484,0.974764,c4d_170421_081918_ooi_z_v1
259.2617665732643,-32.57451994693896,57864.34586306522,19.082064,0.069867,z,2.628055,0.787995,c4d_170421_081918_ooi_z_v1
259.2623084160953,-32.57345122810468,57864.34586306522,19.8786,0.09023,z,0.720448,0.955095,c4d_170421_081918_ooi_z_v1
259.26163973272406,-32.57375505155416,57864.34586306522,17.442873,0.025873,z,0.73136,0.982272,c4d_170421_081918_ooi_z_v1
259.26255793786186,-32.56423327948737,57864.34586306522,19.775621,0.120769,z,2.669722,0.145903,c4d_170421_081918_ooi_z_v1
259.262282871303,-32.57249028845192,57864.34586306522,18.472431,0.045299,z,0.825862,0.980603,c4d_170421_081918_ooi_z_v1
259.26197788823487,-32.56584243203656,57864.34586306522,18.715195,0.055543,z,2.141958,0.231787,c4d_170421_081918_ooi_z_v1
259.2614722072031,-32.571429703824435,57864.34586306522,19.530272,0.149946,z,2.386809,0.121014,c4d_170421_081918_ooi_z_v1
259.26125731781127,-32.57223453866025,57864.34586306522,19.283096,0.104161,z,1.292388,0.235956,c4d_170421_081918_ooi_z_v1
259.26115093177117,-32.57272767418889,57864.34586306522,19.07032,0.078998,z,0.768649,0.964923,c4d_170421_081918_ooi_z_v1
259.261273715533,-32.56423770016944,57864.34586306522,19.690214,0.120813,z,1.615014,0.945616,c4d_170421_081918_ooi_z_v1
259.2606116176335,-32.56457680259803,57864.34586306522,19.571178,0.083055,z,2.819163,0.006263,c4d_170421_081918_ooi_z_v1
259.2608812973183,-32.56839077473069,57864.34586306522,18.942429,0.090256,z,0.923314,0.640459,c4d_170421_081918_ooi_z_v1
259.26068852986236,-32.56721482679618,57864.34586306522,19.717562,0.115984,z,0.721468,0.945618,c4d_170421_081918_ooi_z_v1
259.2601922096192,-32.56635664186826,57864.34586306522,20.166515,0.136853,z,0.884189,0.953173,c4d_170421_081918_ooi_z_v1
259.26027548557215,-32.57296892468759,57864.34586306522,20.248413,0.174357,z,0.959315,0.842808,c4d_170421_081918_ooi_z_v1
259.26031909341555,-32.572205409480674,57864.34586306522,19.020124,0.084068,z,1.056425,0.928144,c4d_170421_081918_ooi_z_v1
