objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance
PSO J246.1382-26.2500,-999,-999,-999,76502461382640238,3493283000034899,508451113437273,0,11717176702378,7650,1,770,44,0.582913141309203,3493283,118383,3,436527104,7,52,246.13827206,-26.24999599,0.0010000000474974513,0.0010000000474974513,246.13824679972066,-26.250006029846315,0.01122925240226157,0.01122925240226157,-15.758306562288576,0.3446213491868253,7.576136354974908,7.576136354974908,55953.735176543516,2.0780091285705566,-0.3628129895723423,-0.8202117809498318,-0.44228878460648846,248.6560417556057,-4.5615835800604545,351.3365710112039,15.997095729057499,-999,4,48,3,18,20,7,0,0.999068021774292,21.869199752807617,0.09773699939250946,0.19279199838638306,3,21.619800567626953,21.96299934387207,21.867599487304688,0.1973699927330017,0.47227901220321655,3,21.632099151611328,0.2280530035495758,0.40891799330711365,3,280,0.9996839761734009,21.340999603271484,0.027202000841498375,0.11548999696969986,15,21.19059944152832,21.538700103759766,21.7052001953125,0.05395299941301346,0.27121201157569885,11,21.930700302124023,0.07367199659347534,0.34551799297332764,13,115000,0.9989259839057922,20.88129997253418,0.029742000624537468,0.1265760064125061,14,20.65399932861328,21.167499542236328,21.125499725341797,0.05987900123000145,0.23869900405406952,11,21.289400100708008,0.11133500188589096,0.33734801411628723,13,115000,0.9987210035324097,20.670799255371094,0.07664100080728531,0.21489199995994568,6,20.473800659179688,20.964099884033203,20.692399978637695,0.15811100602149963,0.35468098521232605,3,20.785200119018555,0.1297450065612793,0.3377560079097748,4,115000,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.008104953246156591
PSO J246.1379-26.2500,-999,-999,-999,76502461378570253,3493283000034837,508451113437211,0,11717176702294,7650,1,770,44,0.47933124143568,3493283,118383,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,246.1378664,-26.25003817,0.2856900095939636,0.2856900095939636,,,,,56812.36555556,-999.0,-0.362818334770249,-0.8202091452384849,-0.44228928770850595,248.6557126190263,-4.561667128658737,351.3363130675266,15.997326259830572,-999,0,1,0,1,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.7349299788475037,21.9867000579834,0.2852979898452759,-999.0,1,21.9867000579834,21.9867000579834,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.007764498840619534
PSO J246.1374-26.2483,-999,-999,-999,76502461374622368,3493340000029289,508468293300842,0,11717176689941,7650,1,770,44,0.162686252186714,3493340,118387,3,436527104,7,52,246.13742673,-26.24825406,0.0010000000474974513,0.0010000000474974513,246.13742144414704,-26.24825789327413,0.012152496169595238,0.012152496169595238,-14.795749170553435,1.578194542100209,8.819315159142779,8.819315159142779,55903.566777741704,2.6037545204162598,-0.3628302638052195,-0.8202188951202072,-0.44226142015195197,248.65502871649153,-4.559985403521622,351.3373994735585,15.998810287557115,-999,4,40,0,11,17,11,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.9990320205688477,21.621999740600586,0.04156599938869476,0.1086369976401329,10,21.38920021057129,21.74180030822754,21.683300018310547,0.18834200501441956,0.3755039870738983,4,22.101699829101562,0.06912299990653992,0.19475899636745453,8,115000,0.9990379810333252,20.918699264526367,0.045180000364780426,0.12700200080871582,13,20.654800415039062,21.11639976501465,21.053199768066406,0.055918000638484955,0.4222530126571655,11,21.128400802612305,0.09019400179386139,0.4166570007801056,12,115000,0.9992830157279968,20.454599380493164,0.030392000451683998,0.12122999876737595,10,20.367599487304688,20.77630043029785,20.694799423217773,0.0914440006017685,0.27616098523139954,7,21.060199737548828,0.12236899882555008,0.3694179952144623,9,115000,0.9972900152206421,19.72800064086914,0.17424699664115906,-999.0,1,19.72800064086914,19.72800064086914,19.937999725341797,0.32102900743484497,-999.0,1,19.693300247192383,0.17424699664115906,-999.0,1,115000,0.007958083341096425
PSO J246.1367-26.2471,-999,-999,-999,76502461366363771,3493340000029181,508468293300734,0,11717176690600,7650,1,770,44,0.172361566845664,3493340,118387,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,246.13665443,-26.24708934,0.16460999846458435,0.16460999846458435,,,,,56732.63303241,-999.0,-0.3628448929911208,-0.820222286572087,-0.4422431279745557,248.65415892968144,-4.558932449762909,351.3378316427039,16.000109471519053,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.23958800733089447,20.77720069885254,0.16392099857330322,-999.0,1,20.77720069885254,20.77720069885254,-999.0,-999.0,-999.0,0,21.68630027770996,0.16392099857330322,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.007951310266162184
PSO J246.1363-26.2470,-999,-999,-999,76502461363183900,3493340000029134,508468293300687,0,11717176689752,7650,1,770,44,0.730533763515329,3493340,118387,3,503635968,7,60,246.13634357,-26.24701251,0.0010000000474974513,0.0010000000474974513,246.1363332905679,-26.24702066701409,0.0015209943764448964,0.0014112397041322006,-3.0983535725097444,-4.683101498685447,1.035775723868663,1.000724778987537,55903.58574814773,2.374791383743286,-0.3628497047239129,-0.8202207375794164,-0.4422420529828065,248.65386158115876,-4.558916298547355,351.3376787348346,16.000367374657884,-999,5,85,13,24,17,16,15,0.9994609951972961,19.576000213623047,0.014103000052273273,0.05364599823951721,12,19.518400192260742,19.657800674438477,19.70009994506836,0.014977999962866306,0.10230100154876709,13,19.631000518798828,0.024250999093055725,0.12188699841499329,13,115000,0.9997519850730896,18.631399154663086,0.0032110000029206276,0.01864599995315075,23,18.60540008544922,18.69070053100586,18.752700805664062,0.007780999876558781,0.04525800049304962,23,18.660600662231445,0.00853700004518032,0.03305000066757202,23,115000,0.9996740221977234,18.167600631713867,0.006893999874591827,0.021859999746084213,7,18.150699615478516,18.214399337768555,18.279499053955078,0.012134999968111515,0.028049999848008156,7,18.183300018310547,0.007191999815404415,0.018543999642133713,7,115000,0.9996359944343567,17.928800582885742,0.007211000192910433,0.02813499979674816,13,17.86520004272461,17.96809959411621,18.04400062561035,0.011857000179588795,0.03847000002861023,15,17.944400787353516,0.01306500006467104,0.04199700057506561,15,115000,0.9995290040969849,17.766199111938477,0.013643999584019184,0.04060300067067146,14,17.680200576782227,17.82830047607422,17.960899353027344,0.03238600119948387,0.1127379983663559,15,17.806499481201172,0.034446001052856445,0.12307299673557281,15,115000,0.0077582760509735975
PSO J246.1361-26.2472,-999,-999,-999,76502461361043611,3493340000029094,508468293300647,0,11717176689741,7650,1,770,44,0.639569787904219,3493340,118387,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,246.13608999,-26.24724839,0.10412999987602234,0.10412999987602234,,,,,56386.5865162,-999.0,-0.362852476595599,-0.8202175893313706,-0.4422456177056766,248.65368349889144,-4.559171139391772,351.3373558524877,16.00037854846596,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.5800250172615051,20.653099060058594,0.1030460000038147,-999.0,1,20.653099060058594,20.653099060058594,-999.0,-999.0,-999.0,0,21.488500595092773,0.1030460000038147,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.0074473805506836445
PSO J246.1359-26.2494,-999,-999,-999,76502461359331038,3493340000029067,508468293300620,0,11717176704924,7650,1,770,44,0.952341796785911,3493340,118387,3,436527104,7,52,246.13592603,-26.24935377,0.0010000000474974513,0.0010000000474974513,246.1359144158875,-26.24936309035408,0.004247315242071375,0.004130833112873066,-5.31077981983646,-5.182843240524324,3.0390909154962893,2.9091786833182325,55996.635407525944,2.542515277862549,-0.36284838616269416,-0.8202015497054058,-0.44227872040148963,248.65387028733528,-4.56127887769807,351.3356176684962,15.999080286594662,-999,5,78,3,24,21,16,14,0.9989140033721924,21.963899612426758,0.0657539963722229,0.12335799634456635,3,21.898399353027344,22.11750030517578,22.1343994140625,0.2921830117702484,0.42569300532341003,3,22.252399444580078,0.13600699603557587,0.29025399684906006,3,115000,0.999763011932373,20.628000259399414,0.01879199966788292,0.11905000358819962,23,20.398000717163086,20.88949966430664,20.816499710083008,0.03798900172114372,0.27296799421310425,23,20.702199935913086,0.054287999868392944,0.3002850115299225,23,115000,0.9992489814758301,19.782899856567383,0.01221300009638071,0.06625399738550186,14,19.707799911499023,19.92300033569336,19.929500579833984,0.0243539996445179,0.1354600042104721,14,19.821399688720703,0.013790000230073929,0.08332400023937225,14,115000,0.9995669722557068,19.379899978637695,0.019229000434279442,0.150860995054245,14,19.243499755859375,19.726699829101562,19.584999084472656,0.03309699892997742,0.18752999603748322,14,19.48509979248047,0.042139001190662384,0.19626599550247192,14,115000,0.99965500831604,19.058000564575195,0.03601999953389168,0.22255399823188782,12,18.89240074157715,19.73189926147461,19.110700607299805,0.06436999887228012,0.2485080063343048,10,19.096799850463867,0.08133900165557861,0.3221200108528137,11,115000,0.00627785726723153
PSO J246.1355-26.2501,-999,-999,-999,76502461354610210,3493283000034446,508451113436820,0,11717176704322,7650,1,770,44,0.422487014366767,3493283,118383,3,436527104,7,52,246.13548179,-26.25003429,0.0010000000474974513,0.0010000000474974513,246.13545384839207,-26.250071752270042,0.0316702934773286,0.0316702934773286,-26.531953056633707,27.893155230867965,37.22688988940409,37.22688988940409,55665.57054112393,0.5851451754570007,-0.3628527660892843,-0.820193630259206,-0.44228981338436907,248.65357632586228,-4.562048206547261,351.3347798042264,15.998909854943257,-999,3,9,0,0,6,3,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.9989500045776367,21.394500732421875,0.07893600314855576,0.23609699308872223,3,21.278499603271484,21.703399658203125,21.585800170898438,0.12203700095415115,0.17796899378299713,2,21.94580078125,0.1617719978094101,0.23423899710178375,2,115000,0.9993159770965576,20.96310043334961,0.058956000953912735,0.0894939973950386,3,20.8789005279541,21.048500061035156,-999.0,-999.0,-999.0,1,21.542999267578125,0.25036099553108215,0.3697200119495392,3,115000,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.005657022615830521
PSO J246.1353-26.2470,-999,-999,-999,76502461353333966,3493340000028986,508468293300539,0,11717176703225,7650,1,770,44,0.331114116433183,3493340,118387,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,246.13531795,-26.24695823,0.17739999294281006,0.17739999294281006,,,,,56802.45993056,-999.0,-0.36286443480415387,-0.8202147480996659,-0.44224107560703096,248.6529509818135,-4.558996573061794,351.3370970185422,16.001086898591034,-999,0,1,1,0,0,0,0,0.9456409811973572,21.712200164794922,0.1767680048942566,-999.0,1,21.712200164794922,21.712200164794922,20.561800003051758,0.12683500349521637,-999.0,1,20.822900772094727,0.1767680048942566,-999.0,1,16777488,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.007090705455640396
PSO J246.1345-26.2462,-999,-999,-999,76502461345044915,3493340000028851,508468293300404,0,11717176694841,7650,1,770,44,0.289745527589457,3493340,118387,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,246.13449173,-26.24616854,0.1888599991798401,0.1888599991798401,,,,,56802.45993056,-999.0,-0.3628787285343401,-0.8202150894492536,-0.4422287139219407,248.65208944969424,-4.5583368792147105,351.33718993245367,16.00216614270277,-999,0,1,1,0,0,0,0,0.9979789853096008,21.83930015563965,0.1882600039243698,-999.0,1,21.83930015563965,21.83930015563965,20.319400787353516,0.12689000368118286,-999.0,1,20.895599365234375,0.1882600039243698,-999.0,1,16777488,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.007142175251446784
