rank,desig,lane_label,rank_score,searchability,value,H,a,nopp,arc_days,lastobs_year,best_epoch,best_V,best_SMIA,best_SMAA,n_pass_epochs,deep_fp,decam,ps1,cfht,hsc,vvs,ztf
1,2004 YH32,inner-system,0.6712,0.9515,0.7055,13.11,8.14,3,,2007,2005-07-01,19.68,0.19,0.42,1,995,554,123,12,1,224,78
2,2017 FP50,inner-system,0.6099,0.7176,0.85,15.4,5.69,1,75,2017,2017-07-01,21.8,2.04,12.38,2,452,219,159,5,9,64,0
3,2001 QT322,distant-multiopp,0.5976,0.8696,0.6873,6.09,37.17,6,,2008,2005-07-01,21.95,0.52,1.47,4,891,200,174,53,19,55,334
4,2001 KK76,distant-multiopp,0.5939,0.7815,0.76,6.3,42.31,4,,2004,2005-07-01,22.62,1.14,1.72,4,1283,142,104,123,0,492,393
5,2025 LU2,distant-longarc,0.5865,0.69,0.85,6.19,42.82,1,109,2025,2021-01-01,22.51,5.43,328.82,4,584,230,168,3,38,64,93
6,2006 JG57,inner-system,0.5839,0.8276,0.7055,12.4,9.65,3,,2007,2005-07-01,20.1,0.94,1.36,1,2212,1481,0,31,0,535,147
7,2009 HW77,inner-system,0.5746,0.935,0.6145,9.73,21.36,7,,2012,2013-01-01,21.61,0.25,0.57,4,845,403,113,37,0,257,0
8,2025 NB192,distant-longarc,0.5735,0.6747,0.85,6.39,42.7,1,143,2025,2021-01-01,22.91,4.78,96.94,4,559,181,139,26,0,0,159
9,2001 KN76,distant-multiopp,0.5711,0.831,0.6873,6.38,43.54,8,,2008,2005-07-01,22.59,0.53,1.28,4,830,366,123,179,1,84,39
10,2025 NO193,distant-longarc,0.5703,0.671,0.85,6.41,43.83,1,137,2025,2021-01-01,22.71,6.14,126.57,4,611,133,141,18,57,117,139
11,2001 KJ76,distant-multiopp,0.5676,0.7652,0.7418,6.52,43.48,4,,2005,2005-07-01,22.88,1.16,1.51,4,1195,225,130,233,14,560,18
12,2025 LW3,distant-longarc,0.5661,0.666,0.85,6.14,44.72,1,109,2025,2021-01-01,22.97,5.21,216.51,4,517,105,173,16,29,107,91
13,2001 KP76,distant-multiopp,0.5608,0.7949,0.7055,6.33,43.36,6,,2007,2005-07-01,22.79,0.79,1.85,4,4808,3817,140,193,13,624,0
14,2012 GN12,inner-system,0.5603,1.0005,0.56,10.75,15.06,9,,2015,2013-01-01,21.31,0.12,0.12,4,1285,863,115,10,0,278,0
15,10370,inner-system,0.5602,0.8606,0.6509,8.2,24.95,8,,2010,2005-07-01,21.43,0.97,1.35,4,905,124,118,18,4,552,45
