# (88268) 2001 KK76 - HST positions re-anchored to Gaia DR3 (PM-propagated per frame), main-thread independent re-measurement 2026-09-22.
# DRAFT, NOT SUBMITTED. obsTime = mid-exposure UTC ((EXPSTART+EXPEND)/2). HST-centric astrometric positions. pos = HST geocentric ICRF (km, JPL Horizons -48).
# shift = Gaia minus header-WCS (arcsec, xi/eta), n = Gaia stars used, fitC = residual in the all-data find_orb fit (arcsec).
rootname,instrument,filter,obsTime_UTC,RA_deg,Dec_deg,sigma_arcsec,shift_xi,shift_eta,rms_xi,rms_eta,n_gaia,fitC_dRA,fitC_dDec,pos1_km,pos2_km,pos3_km
J9FW91HPQ,ACS/HRC,CLEAR,2006-05-02T08:34:12.556Z,253.8612037,-22.1863882,0.03,-0.877,-0.676,0.020,0.022,6,+0.006,-0.010,-6826.7902,-676.9128,-1088.6256
J9FW91HQQ,ACS/HRC,CLEAR,2006-05-02T08:39:32.557Z,253.8611255,-22.1863800,0.03,-0.872,-0.675,0.017,0.024,6,-0.004,-0.012,-6038.8640,-2723.8803,-2092.6790
J9FW91HRQ,ACS/HRC,CLEAR,2006-05-02T08:44:52.556Z,253.8610415,-22.1863725,0.03,-0.941,-0.671,0.016,0.025,6,-0.006,-0.013,-4522.7335,-4442.4320,-2843.7220
J9FW91HSQ,ACS/HRC,CLEAR,2006-05-02T08:50:12.556Z,253.8609590,-22.1863612,0.03,-1.006,-0.652,0.029,0.019,5,+0.004,-0.001,-2461.6631,-5625.7627,-3251.2173
IB2K52CVQ,WFC3/UVIS,F606W,2010-03-13T14:14:59.580Z,260.0039676,-22.8732572,0.03,+0.087,+0.087,0.008,0.008,9,-0.007,-0.005,4509.2678,-5209.7058,828.3000
IB2K52CWQ,WFC3/UVIS,F814W,2010-03-13T14:18:25.564Z,260.0039674,-22.8732473,0.03,+0.044,+0.140,0.009,0.010,9,-0.008,+0.000,5488.5139,-4246.5177,91.3639
IB2K52CXQ,WFC3/UVIS,F606W,2010-03-13T15:15:15.580Z,260.0042312,-22.8732589,0.03,+0.489,+0.117,0.007,0.009,11,-0.009,+0.006,-6652.1955,907.6737,1756.7624
IB2K52CYQ,WFC3/UVIS,F814W,2010-03-13T15:18:41.564Z,260.0042367,-22.8732699,0.03,+0.460,+0.096,0.009,0.009,11,+0.004,+0.004,-6511.7335,-531.3065,2338.9981
IB2K52CZQ,WFC3/IR,F139M,2010-03-13T15:26:00.051Z,260.0042372,-22.8732828,0.04,+0.412,+0.171,0.013,0.017,477,+0.006,+0.016,-5149.5740,-3416.2092,3155.4717
IB2K52D0Q,WFC3/IR,F153M,2010-03-13T15:34:00.051Z,260.0042273,-22.8732899,0.04,+0.292,+0.162,0.015,0.017,478,+0.019,+0.025,-2348.6482,-5673.5714,3230.6201
IB2K52D2Q,WFC3/IR,F139M,2010-03-13T15:42:52.051Z,260.0042091,-22.8732906,0.04,+0.176,+0.173,0.015,0.016,473,+0.006,-0.007,1454.1571,-6381.7223,2304.1214
IB2K52D3Q,WFC3/IR,F153M,2010-03-13T15:50:52.051Z,260.0042020,-22.8732736,0.04,+0.071,+0.251,0.014,0.017,475,+0.007,+0.001,4508.8673,-5214.1107,802.6946
