label,date,RA_deg,DEC_deg,V,SMAA_3sigma_as,SMIA_3sigma_as
arc_start 2000-03-31,2000-03-31,205.44819,-9.82362,24.619,3.389,3.023
arc_end   2000-05-05,2000-05-05,204.68092,-9.5851,24.618,2.868,0.746
1yr 2001-04-15,2001-04-15,206.21208,-10.70508,24.458,97175.855,189.413
CFHT 2003-04-15,2003-04-15,208.58319,-12.80222,24.28,290043.6,1988.363
PS1  2010-04-15,2010-04-15,219.60038,-21.74662,23.549,866000.59,42325.266
PS1  2012-04-15,2012-04-15,223.91701,-24.83208,23.313,959282.52,77931.445
DECam 2013-04-15,2013-04-15,226.38562,-26.46894,23.193,984504.0,104919.92
HSC 2014-04-15,2014-04-15,229.09254,-28.16312,23.071,993895.3,141093.63
2016-04-15,2016-04-15,235.3434,-31.69544,22.818,972475.83,254498.56
2019-04-15,2019-04-15,247.64319,-37.08806,22.439,1091514.4,480545.77
2023-04-15,2023-04-15,271.54713,-42.68973,21.967,2944921.2,401600.85
