Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
532174p	-9999	51669.4938920111	R	300	204.67568465306	-9.58348396369631	2000FY53	CFHT/CFH12K	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/532174p.fits.fz
532175p	-9999	51669.4991411111	R	300	204.675575187453	-9.58345069023467	2000FU53	CFHT/CFH12K	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/532175p.fits.fz
532178p	-9999	51669.5153825111	R	300	204.675236486591	-9.58334773780467	2000FY53	CFHT/CFH12K	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/532178p.fits.fz
532179p	-9999	51669.5201907111	R	300	204.675136215587	-9.58331725915911	2000FU53	CFHT/CFH12K	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/532179p.fits.fz
532182p	-9999	51669.5381210222	R	600	204.674762293891	-9.58320360090931	2000FY53	CFHT/CFH12K	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/532182p.fits.fz
679645p	-9999	52639.6346032111	R	300	209.493466452028	-12.9156518019756	2001 SG10	CFHT/CFH12K	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/679645p.fits.fz
679646p	-9999	52639.6388487111	R	300	209.493521466632	-12.9156803057909	2001 SG10	CFHT/CFH12K	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/679646p.fits.fz
679647p	-9999	52639.6431571111	R	300	209.493577296315	-12.9157092319098	2001 SG10	CFHT/CFH12K	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/679647p.fits.fz
WFI.2003-04-09T05:20:32.162	-9999	52738.2251981539	B	450	208.729635529433	-12.8441287211142	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-09T05:30:18.138	-9999	52738.2319802835	B	450	208.729476884118	-12.8440838083449	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-09T05:49:57.792	-9999	52738.2456336863	B	450	208.729157508271	-12.8439933924774	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-09T05:59:44.990	-9999	52738.2524299595	B	450	208.728998532114	-12.843948386046	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-09T06:09:30.770	-9999	52738.2592098206	B	450	208.728839939863	-12.8439034882991	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T05:09:54.594	-9999	52741.2178188946	B	450	208.659361197012	-12.8241695449736	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T05:19:26.686	-9999	52741.2244403298	B	450	208.659204131052	-12.8241246111786	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T05:29:11.500	-9999	52741.2312090104	B	450	208.659043572307	-12.82407867816	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T05:54:42.648	-9999	52741.2489306307	B	450	208.658623200706	-12.8239584172756	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T06:04:11.597	-9999	52741.2555156886	B	450	208.658466997645	-12.823913730341	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T06:13:44.861	-9999	52741.2621506886	B	450	208.658309609916	-12.8238687044938	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T06:27:29.783	-9999	52741.271698397	B	450	208.658083130316	-12.8238039126837	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T06:37:04.135	-9999	52741.2783459895	B	450	208.657925443882	-12.8237588013824	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T06:46:46.053	-9999	52741.2850811516	B	450	208.657765680225	-12.8237130958241	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T06:56:24.348	-9999	52741.2917743808	B	450	208.65760691125	-12.823667674827	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T07:05:50.676	-9999	52741.298329103	B	450	208.657451427777	-12.8236231937538	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T07:15:40.056	-9999	52741.3051506307	B	450	208.657289615456	-12.8235769021089	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T07:26:47.427	-9999	52741.3128748321	B	450	208.657106390962	-12.82352448482	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T07:36:25.125	-9999	52741.3195611516	B	450	208.656947785891	-12.8234791107129	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T07:46:02.813	-9999	52741.3262473553	B	450	208.656789183568	-12.8234337373917	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T07:55:39.588	-9999	52741.3329229919	B	450	208.656630831904	-12.82338843578	CL1354-1230	ESO-LaSilla_2.2m/WFI	
WFI.2003-04-12T08:05:25.966	-9999	52741.3397097743	B	450	208.65646984377	-12.8233423799205	CL1354-1230	ESO-LaSilla_2.2m/WFI	
01510a082-w1-int-1b	-9999	55229.4904421763	w1	8	220.605726019207	-21.6746936965245	01510a082	WISE	
01510a082-w2-int-1b	-9999	55229.4904421763	w2	8	220.605726019207	-21.6746936965245	01510a082	WISE	
01510a082-w3-int-1b	-9999	55229.4904479633	w3	9	220.605726047347	-21.6746937381748	01510a082	WISE	
01510a082-w4-int-1b	-9999	55229.4904479633	w4	9	220.605726047347	-21.6746937381748	01510a082	WISE	
01513b162-w1-int-1b	-9999	55229.6227464563	w1	8	220.606369348769	-21.6756459198286	01513b162	WISE	
01513b162-w2-int-1b	-9999	55229.6227464563	w2	8	220.606369348769	-21.6756459198286	01513b162	WISE	
01513b162-w3-int-1b	-9999	55229.6227522433	w3	9	220.606369376908	-21.6756459614789	01513b162	WISE	
01513b162-w4-int-1b	-9999	55229.6227522433	w4	9	220.606369376908	-21.6756459614789	01513b162	WISE	
