year,jd,RA_deg,Dec_deg,V,SMAA_3sigma_as,SMIA_3sigma_as,Theta_PA
2001,2452141.5,328.35083,-14.67159,22.379,2.632,2.203,-5.166
2003,2452871.5,330.87262,-13.91506,22.38,460905.09,449.736,19.583
2005,2453602.5,333.35798,-13.14024,22.391,1077885.6,1546.829,19.856
2008,2454698.5,337.0725,-11.92779,22.409,2292114.2,3897.615,20.341
2010,2455428.5,339.54617,-11.08594,22.422,3291318.0,5751.312,20.678
2011,2455793.5,340.77701,-10.65769,22.428,3846206.0,6737.957,20.844
2012,2456159.5,341.98512,-10.2328,22.43,4434896.9,7767.298,21.001
2013,2456524.5,343.20567,-9.79668,22.435,5060859.2,8812.949,21.159
2014,2456889.5,344.4212,-9.35695,22.441,5721419.4,9880.892,21.312
2015,2457254.5,345.63241,-8.91355,22.446,6415966.2,10966.679,21.458
2016,2457620.5,346.82333,-8.47389,22.448,7141618.0,12081.17,21.595
2018,2458350.5,349.23137,-7.56844,22.459,8696030.4,14316.309,21.857
2020,2459081.5,351.61704,-6.6556,22.466,10376528.0,16598.027,22.087
2023,2460176.5,355.20772,-5.2526,22.48,13131701.0,20029.932,22.378
2026,2461272.5,358.75549,-3.84189,22.49,16141411.0,23494.823,22.59
