Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
707172p	29	52812.5143634259	I.MP9701	160	331.729889880401	-13.5724272669109	A3288M014	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/707172p.fits.fz?cutout=%5B29%5D
707328p	29	52813.5049189815	I.MP9701	160	331.722106276524	-13.576087890625	A3288M014	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/707328p.fits.fz?cutout=%5B29%5D
707345p	29	52813.5563310185	I.MP9701	160	331.72169283806	-13.5762806857638	A3288M014	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/707345p.fits.fz?cutout=%5B29%5D
707361p	29	52813.605	I.MP9701	160	331.721301458333	-13.5764631944444	A3288M014	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/707361p.fits.fz?cutout=%5B29%5D
716318p	30	52886.441099537	G.MP9401	90	330.587583495853	-14.0188426414606	BA3272M013	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/716318p.fits.fz?cutout=%5B30%5D
757410p	-9999	53229.3984490741	R.MP9601	110	332.247744906443	-13.4811947421555	3293M013	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/757410p.fits.fz
757426p	-9999	53229.4286805556	R.MP9601	110	332.24719444155	-13.4814055227627	3293M013	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/757426p.fits.fz
757443p	-9999	53229.4631944445	R.MP9601	110	332.246566001157	-13.4816461612658	3293M013	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/757443p.fits.fz
796125p	29	53522.5778935185	Z.MP9801	140	334.257477806713	-12.750219852752	BA3313M013	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/796125p.fits.fz?cutout=%5B29%5D
796417p	29	53524.5673842593	Z.MP9801	140	334.257263589892	-12.7522415380659	BA3313M013	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/796417p.fits.fz?cutout=%5B29%5D
796536p	29	53525.5418518519	Z.MP9801	140	334.256654367284	-12.7534145884774	BA3313M013	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/796536p.fits.fz?cutout=%5B29%5D
796657p	29	53526.5678703704	Z.MP9801	140	334.255629151235	-12.7548044830248	BA3313M013	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/796657p.fits.fz?cutout=%5B29%5D
809979p	-9999	53615.3421527778	G.MP9401	110	333.111922378472	-13.2329761979168	3303M013	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/809979p.fits.fz
rings.v3.skycell.1138.009.wrp.r.55091_36980	-9999	55091.3705483223	r	60	337.800180587134	-11.7102418974283	1138.009	Pan-STARRS1	
rings.v3.skycell.1138.009.wrp.r.55091_38213	-9999	55091.3828800223	r	60	337.799968892951	-11.7103220534782	1138.009	Pan-STARRS1	
rings.v3.skycell.1138.009.wrp.r.55091_38296	-9999	55091.3837100222	r	60	337.799954644619	-11.7103274484776	1138.009	Pan-STARRS1	
rings.v3.skycell.1137.000.wrp.r.55095_37311	-9999	55095.3738622222	r	60	337.732508451482	-11.7357151427159	1137.000	Pan-STARRS1	
rings.v3.skycell.1138.009.wrp.r.55095_37478	-9999	55095.3755242223	r	60	337.73248088998	-11.7357254840499	1138.009	Pan-STARRS1	
