archive,MJD_night,decimal_year,filters,approx_depth,pred_RA_deg,pred_Dec_deg,pred_V,SMAA_3sig_as,SMIA_3sig_as,box_center_offset_vs_buggy_as,n_cat_sources,n_in_3sigma,n_nonstationary,motion_pair_resid_min_as,negctrl_in_3sigma,chain_result,outcome_note
NSC_DR2_DECam,56951,2014.8,grizY,DECam ~23-24,10.29305,5.52452,21.82,7.36,1.58,1718.8,0,0,0,,0,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
NSC_DR2_DECam,56959,2014.82,grizY,DECam ~23-24,10.13915,5.45683,21.85,7.29,1.58,212.4,37,6,0,,0,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
NSC_DR2_DECam,56962,2014.83,grizY,DECam ~23-24,10.085,5.43281,21.86,7.26,1.58,nan,0,0,0,,0,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
NSC_DR2_DECam,56976,2014.87,grizY,DECam ~23-24,9.85528,5.32945,21.9,7.17,1.59,nan,8,0,0,,0,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
NSC_DR2_DECam,57192,2015.46,grizY,DECam ~23-24,13.06765,6.62424,22.0,9.6,1.64,528.8,13,3,0,,0,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
NSC_DR2_DECam,57193,2015.47,grizY,DECam ~23-24,13.07821,6.62895,22.0,9.62,1.64,3138.7,0,0,0,,3,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
NSC_DR2_DECam,57199,2015.48,grizY,DECam ~23-24,13.13471,6.65447,22.0,9.7,1.65,5683.0,12,5,0,,4,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
NSC_DR2_DECam,57210,2015.51,grizY,DECam ~23-24,13.20174,6.68608,21.99,9.83,1.66,8351.4,0,0,0,,0,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
NSC_DR2_DECam,57295,2015.74,grizY,DECam ~23-24,12.26141,6.30949,21.78,9.49,1.75,3362.3,49,6,0,0.09,0,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
NSC_DR2_DECam,57324,2015.82,grizY,DECam ~23-24,11.66516,6.0531,21.84,9.12,1.76,5466.8,0,0,0,,0,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
NSC_DR2_DECam,57384,2015.99,grizY,DECam ~23-24,11.05724,5.76674,21.98,8.73,1.75,7834.7,3,1,0,,11,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
NSC_DR2_DECam,57611,2016.61,grizY,DECam ~23-24,14.5974,7.22825,21.94,12.08,1.87,0.1,0,0,0,,0,NULL,all in-3sig = catalogued stationary NSC mean objects (ndet>=5 over ~1000-1400d); no intra-night moving track; apparent motion matches are stationary-star short-baseline artifacts
