Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
844232p	-9999	53848.5239583333	I.MP9701	30	246.577265958528	-24.1105074199584	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844232p.fits.fz
844233p	-9999	53848.5270601852	I.MP9701	400	246.577214105904	-24.1105029481219	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844233p.fits.fz
844234p	-9999	53848.5322916667	I.MP9701	400	246.577126652971	-24.1104954060694	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844234p.fits.fz
844235p	-9999	53848.5375231481	I.MP9701	400	246.577039200041	-24.110487864017	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844235p.fits.fz
844236p	-9999	53848.5431828704	I.MP9701	400	246.57694458835	-24.110479704584	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844236p.fits.fz
844237p	-9999	53848.5471759259	R.MP9601	30	246.576877837772	-24.110473947929	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844237p.fits.fz
844238p	-9999	53848.5502430555	R.MP9601	400	246.576826565589	-24.1104695261505	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844238p.fits.fz
844239p	-9999	53848.5554398148	R.MP9601	400	246.576739693096	-24.1104620341559	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844239p.fits.fz
844240p	-9999	53848.5607291666	R.MP9601	400	246.576651272765	-24.1104544086737	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844240p.fits.fz
844241p	-9999	53848.5659375	R.MP9601	400	246.576564206791	-24.110446899993	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844241p.fits.fz
844242p	-9999	53848.5726273148	I.MP9701	400	246.576452375387	-24.11043725551	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844242p.fits.fz
844243p	-9999	53848.5778356481	I.MP9701	400	246.576365309416	-24.1104297468295	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844243p.fits.fz
844244p	-9999	53848.5831134259	I.MP9701	400	246.576277082563	-24.1104221380332	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844244p.fits.fz
844245p	-9999	53848.5883333333	I.MP9701	400	246.576189823111	-24.1104146126667	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844245p.fits.fz
844246p	-9999	53848.5923032407	R.MP9601	30	246.576123459493	-24.1104088893835	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844246p.fits.fz
844247p	-9999	53848.5953703704	R.MP9601	400	246.576072187308	-24.1104044676049	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844247p.fits.fz
844248p	-9999	53848.6005787037	R.MP9601	400	246.575985121336	-24.1103969589244	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844248p.fits.fz
844249p	-9999	53848.605787037	R.MP9601	400	246.575898055365	-24.1103894502439	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844249p.fits.fz
844250p	-9999	53848.6110532407	R.MP9601	400	246.575810021993	-24.1103818581335	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844250p.fits.fz
844307p	-9999	53849.4972337963	I.MP9701	30	246.560990815218	-24.1091031096157	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844307p.fits.fz
844308p	-9999	53849.5003125	I.MP9701	400	246.560937771719	-24.109098337625	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844308p.fits.fz
844309p	-9999	53849.5055324074	I.MP9701	400	246.560847837065	-24.1090902467685	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844309p.fits.fz
844310p	-9999	53849.5107407407	I.MP9701	400	246.560758101822	-24.1090821738519	1628-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844310p.fits.fz
