night,instrument,n_frames,mjd,gal_l,gal_b,pred_RA,pred_Dec,pred_V,SMAA_3sig_as,SMIA_3sig_as,depth,channel,n_inbox,n_inbox_negctrl,chain_result,note
2006-05-02,HST,4,53857.364,359.2,13.1,253.86133,-22.18625,22.64,4.9,1.49,~26 (ACS 240s/WFC3 pointed),HST_pointed(ACS/WFC3),,,POINTED_recovery_lead,"Image_target=object; deep detection near-certain but POINTED (not blind); astrometry NOT in MPC (no HST code 250) -> unreported-astrometry recovery lead, needs pixel-level HST astrometry"
2010-02-19,CTIO-Mosaic,2,55246.352,1.9,8.3,259.82189,-22.86084,22.74,24.1,3.08,"~23 VR (Mosaic2, not in NSC DR2)",CTIO_Mosaic2,,,NO_CATALOG,"not in NSC DR2; serendipitous VR; pixel-only (near-tight 2010, SMAA24"")"
2010-02-23,PS1,1,55250.666,1.9,8.2,259.87384,-22.86431,22.74,24.31,3.1,~21.5-22 single-epoch,PS1_DR2_MAST_detection,71,67,NULL_crowding,in-box=71 vs negctrl=67; 4101 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-03-13,HST,8,55268.635,2.0,8.1,260.00585,-22.87311,22.73,24.96,3.14,~26 (ACS 240s/WFC3 pointed),HST_pointed(ACS/WFC3),,,POINTED_recovery_lead,"Image_target=object; deep detection near-certain but POINTED (not blind); astrometry NOT in MPC (no HST code 250) -> unreported-astrometry recovery lead, needs pixel-level HST astrometry"
2010-03-25,PS1,2,55280.605,2.0,8.1,260.01559,-22.87396,22.71,25.22,3.17,~21.5-22 single-epoch,PS1_DR2_MAST_detection,48,50,NULL_crowding,in-box=48 vs negctrl=50; 6174 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-03-27,PS1,2,55282.596,2.0,8.1,260.01119,-22.87372,22.71,25.25,3.17,~21.5-22 single-epoch,PS1_DR2_MAST_detection,107,141,NULL_crowding,in-box=107 vs negctrl=141; 5773 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-05-10,CTIO-Mosaic,1,55326.343,1.8,8.5,259.5333,-22.84434,22.62,24.82,3.27,"~23 VR (Mosaic2, not in NSC DR2)",CTIO_Mosaic2,,,NO_CATALOG,"not in NSC DR2; serendipitous VR; pixel-only (near-tight 2010, SMAA24"")"
2010-05-14,PS1,4,55330.523,1.7,8.6,259.4569,-22.83951,22.61,24.68,3.28,~21.5-22 single-epoch,PS1_DR2_MAST_detection,111,72,NULL_crowding,in-box=111 vs negctrl=72; 4779 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-05-17,PS1,2,55333.478,1.7,8.6,259.40075,-22.83596,22.6,24.58,3.29,~21.5-22 single-epoch,PS1_DR2_MAST_detection,37,0,NULL_crowding,in-box=37 vs negctrl=0; 3272 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-05-19,PS1,4,55335.515,1.7,8.6,259.36108,-22.83343,22.6,24.51,3.29,~21.5-22 single-epoch,PS1_DR2_MAST_detection,95,63,NULL_crowding,in-box=95 vs negctrl=63; 4463 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-05-26,PS1,2,55342.451,1.6,8.7,259.22127,-22.8245,22.57,24.24,3.3,~21.5-22 single-epoch,PS1_DR2_MAST_detection,0,94,NULL_crowding,in-box=0 vs negctrl=94; 4019 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-06-17,PS1,4,55364.369,1.4,9.1,258.75415,-22.79417,22.54,23.26,3.33,~21.5-22 single-epoch,PS1_DR2_MAST_detection,26,0,NULL_crowding,in-box=26 vs negctrl=0; 3506 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-06-19,PS1,4,55366.404,1.4,9.2,258.71074,-22.79132,22.55,23.17,3.33,~21.5-22 single-epoch,PS1_DR2_MAST_detection,72,0,NULL_crowding,in-box=72 vs negctrl=0; 3605 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-06-20,PS1,2,55367.376,1.4,9.2,258.6901,-22.78997,22.55,23.12,3.33,~21.5-22 single-epoch,PS1_DR2_MAST_detection,75,2,NULL_crowding,in-box=75 vs negctrl=2; 3587 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-08-24,PS1,4,55432.279,0.9,9.9,257.7672,-22.73237,22.71,20.94,3.36,~21.5-22 single-epoch,PS1_DR2_MAST_detection,15,49,NULL_crowding,in-box=15 vs negctrl=49; 2116 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-08-27,PS1,1,55435.235,0.9,9.9,257.75864,-22.73232,22.71,20.91,3.36,~21.5-22 single-epoch,PS1_DR2_MAST_detection,14,10,NULL_crowding,in-box=14 vs negctrl=10; 2304 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2010-08-28,PS1,4,55436.24,0.9,9.9,257.75654,-22.73236,22.71,20.91,3.36,~21.5-22 single-epoch,PS1_DR2_MAST_detection,44,66,NULL_crowding,in-box=44 vs negctrl=66; 2287 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2011-04-02,PS1,6,55653.625,2.6,7.0,261.43273,-23.00184,22.7,32.67,3.63,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2011-04-17,PS1,4,55668.57,2.6,7.0,261.32029,-22.99636,22.68,32.69,3.66,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2011-05-24,PS1,4,55705.459,2.3,7.5,260.73066,-22.96525,22.58,31.7,3.74,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2011-05-30,PS1,3,55711.451,2.2,7.6,260.6073,-22.9585,22.56,31.43,3.75,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2011-08-16,PS1,4,55789.255,1.6,8.7,259.25212,-22.8833,22.69,27.91,3.8,~21.5-22 single-epoch,PS1_DR2_MAST_detection,22,89,NULL_crowding,in-box=22 vs negctrl=89; 4190 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2011-08-20,PS1,4,55793.244,1.6,8.7,259.22576,-22.88224,22.7,27.83,3.8,~21.5-22 single-epoch,PS1_DR2_MAST_detection,126,131,NULL_crowding,in-box=126 vs negctrl=131; 5783 det/cone (bulge-saturated); no isolable mover; V22.6 at/below PS1 limit
2012-03-29,PS1,2,56015.62,3.3,5.8,262.88821,-23.11832,22.71,40.89,4.05,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2012-04-21,PS1,4,56038.63,3.2,5.9,262.72125,-23.11209,22.67,40.99,4.12,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2012-05-12,PS1,2,56059.502,3.0,6.2,262.4091,-23.09894,22.62,40.49,4.16,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2012-08-21,PS1,2,56160.251,2.2,7.5,260.65832,-23.0183,22.7,35.58,4.24,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2012-09-02,PS1,2,56172.237,2.2,7.6,260.61987,-23.01809,22.71,35.41,4.23,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2013-03-10,DECam,24,56361.374,3.9,4.6,264.28876,-23.21803,22.73,49.28,4.43,~23.5-24 r,NSC_DR2_DECam_TAP,,,SERVICE_DOWN,"NoirLab Astro Data Lab TAP returned 502/504/timeout during run (service-degraded 2026-07-07); box 49-122"" in bulge (b=+4.6..-2.4) -> same/worse crowding than PS1 null"
2013-03-16,VISTA,12,56367.344,3.9,4.6,264.32,-23.2196,22.72,49.58,4.45,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2013-03-19,PS1,4,56370.651,3.9,4.6,264.33045,-23.22021,22.72,49.73,4.46,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2013-03-26,VISTA,12,56377.374,3.9,4.6,264.33716,-23.22095,22.71,49.98,4.48,~18 Ks (VVV 4s DIT) TOO SHALLOW,VISTA_VVV_VIRCAM,,,TOO_SHALLOW,4s DIT Ks~18; object Ks~20.5 undetectable single-epoch
2013-04-22,PS1,4,56404.595,3.8,4.7,264.16999,-23.21694,22.67,50.27,4.55,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2013-07-02,PS1,2,56475.385,3.2,5.8,262.83042,-23.16913,22.57,46.9,4.68,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2013-07-06,PS1,4,56479.388,3.1,5.9,262.7495,-23.16596,22.59,46.63,4.68,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2013-07-14,PS1,4,56487.391,3.1,6.0,262.59594,-23.1599,22.61,46.12,4.69,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
2013-07-15,PS1,4,56488.382,3.1,6.0,262.57783,-23.15919,22.61,46.06,4.69,~21.5-22 single-epoch,PS1_DR2_MAST_detection,,,NOT_SEARCHED_redundant,"SMAA>30 larger box, same bulge-saturated regime as searched PS1 nights; not separately queried"
