Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
J9FW91HPQ_FLT	-9999	53857.3574189815	CLEAR2S	240	253.861435759066	-22.1862634056713	88268	HST/ACS	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/j9fw91hpq_flt.fits
J9FW91HQQ_FLT	-9999	53857.3620717593	CLEAR2S	240	253.861356274112	-22.1862552633101	88268	HST/ACS	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/j9fw91hqq_flt.fits
J9FW91HRQ_FLT	-9999	53857.365775463	CLEAR2S	240	253.861293002507	-22.1862487818287	88268	HST/ACS	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/j9fw91hrq_flt.fits
J9FW91HSQ_FLT	-9999	53857.3694791667	CLEAR2S	240	253.861229730902	-22.1862423003472	88268	HST/ACS	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/j9fw91hsq_flt.fits
tu278354.fits.fz 48e3ae50a99e75ecdd2397255278691d	-9999	55246.3522256944	VR	120	259.821799581886	-22.8608588610147	kep1921	CTIO-4m/Mosaic2	CTIO
ct2386813.fits.fz 6f91b5f3926cd67b5e0d61018fbd5df5	-9999	55246.3522256944	VR	120	259.821799581886	-22.8608588610147	kep1921	CTIO-4m/Mosaic2	CTIO
rings.v3.skycell.0857.028.wrp.z.55250_66495	-9999	55250.6656967223	z	60	259.873836350762	-22.864332605875	0857.028	Pan-STARRS1	
02641b150-w1-int-1b	-9999	55266.9388445363	w1	8	259.999399111513	-22.8726774568156	02641b150	WISE	
02641b150-w2-int-1b	-9999	55266.9388445363	w2	8	259.999399111513	-22.8726774568156	02641b150	WISE	
02641b150-w3-int-1b	-9999	55266.9388503233	w3	9	259.999399136831	-22.8726774584231	02641b150	WISE	
02641b150-w4-int-1b	-9999	55266.9388503233	w4	9	259.999399136831	-22.8726774584231	02641b150	WISE	
02645b150-w1-int-1b	-9999	55267.0711485763	w1	8	259.999948296448	-22.8727142079378	02645b150	WISE	
02645b150-w2-int-1b	-9999	55267.0711485763	w2	8	259.999948296448	-22.8727142079378	02645b150	WISE	
02645b150-w3-int-1b	-9999	55267.0711543633	w3	9	259.999948319355	-22.8727142095453	02645b150	WISE	
02645b150-w4-int-1b	-9999	55267.0711543633	w4	9	259.999948319355	-22.8727142095453	02645b150	WISE	
02649b150-w1-int-1b	-9999	55267.2034525163	w1	8	260.000471999544	-22.8727509590323	02649b150	WISE	
02649b150-w2-int-1b	-9999	55267.2034525163	w2	8	260.000471999544	-22.8727509590323	02649b150	WISE	
02649b150-w3-int-1b	-9999	55267.2034583033	w3	9	260.000472022451	-22.8727509606398	02649b150	WISE	
02649b150-w4-int-1b	-9999	55267.2034583033	w4	9	260.000472022451	-22.8727509606398	02649b150	WISE	
02653b150-w1-int-1b	-9999	55267.3357565063	w1	8	260.000995702838	-22.8727877101406	02653b150	WISE	
02653b150-w2-int-1b	-9999	55267.3357565063	w2	8	260.000995702838	-22.8727877101406	02653b150	WISE	
02653b150-w3-int-1b	-9999	55267.3357622933	w3	9	260.000995725745	-22.8727877117481	02653b150	WISE	
02653b150-w4-int-1b	-9999	55267.3357622933	w4	9	260.000995725745	-22.8727877117481	02653b150	WISE	
02653b151-w1-int-1b	-9999	55267.3358838663	w1	8	260.000996206971	-22.8727877455184	02653b151	WISE	
02653b151-w2-int-1b	-9999	55267.3358838663	w2	8	260.000996206971	-22.8727877455184	02653b151	WISE	
02653b151-w3-int-1b	-9999	55267.3358896533	w3	9	260.000996229878	-22.8727877471259	02653b151	WISE	
02653b151-w4-int-1b	-9999	55267.3358896533	w4	9	260.000996229878	-22.8727877471259	02653b151	WISE	
02656a125-w1-int-1b	-9999	55267.4019721963	w1	8	260.001257806611	-22.8728061033878	02656a125	WISE	
02656a125-w2-int-1b	-9999	55267.4019721963	w2	8	260.001257806611	-22.8728061033878	02656a125	WISE	
02656a125-w3-int-1b	-9999	55267.4019779833	w3	9	260.001257829517	-22.8728061049953	02656a125	WISE	
02656a125-w4-int-1b	-9999	55267.4019779833	w4	9	260.001257829517	-22.8728061049953	02656a125	WISE	
02658a073-w1-int-1b	-9999	55267.4681879063	w1	8	260.001519910463	-22.8728244966406	02658a073	WISE	
02658a073-w2-int-1b	-9999	55267.4681879063	w2	8	260.001519910463	-22.8728244966406	02658a073	WISE	
02658a073-w3-int-1b	-9999	55267.4681936933	w3	9	260.001519933369	-22.8728244982481	02658a073	WISE	
02658a073-w4-int-1b	-9999	55267.4681936933	w4	9	260.001519933369	-22.8728244982481	02658a073	WISE	
02660a119-w1-int-1b	-9999	55267.5342761963	w1	8	260.001781509944	-22.8728428544989	02660a119	WISE	
02660a119-w2-int-1b	-9999	55267.5342761963	w2	8	260.001781509944	-22.8728428544989	02660a119	WISE	
02660a119-w3-int-1b	-9999	55267.5342819833	w3	9	260.001781532851	-22.8728428561064	02660a119	WISE	
02660a119-w4-int-1b	-9999	55267.5342819833	w4	9	260.001781532851	-22.8728428561064	02660a119	WISE	
02661b150-w1-int-1b	-9999	55267.6004918363	w1	8	260.002043613519	-22.8728612477323	02661b150	WISE	
02661b150-w2-int-1b	-9999	55267.6004918363	w2	8	260.002043613519	-22.8728612477323	02661b150	WISE	
02661b150-w3-int-1b	-9999	55267.6004976233	w3	9	260.002043636426	-22.8728612493398	02661b150	WISE	
