ra,dec,mjd,mag_auto,filter,fwhm,class_star,objectid,measid,exposure
256.62939933401907,-26.920675404877155,57084.35139210569,20.40995,r,1.118426,0.97392,142957_94802,c4d.417636.45.186,c4d_150303_082805_ooi_r_v1
256.6274393606335,-26.919199123725324,57084.35139210569,18.550245,r,1.061996,0.982875,142957_94907,c4d.417636.45.265,c4d_150303_082805_ooi_r_v1
256.626947544286,-26.929274069693665,57084.35139210569,21.425987,r,2.820059,0.671329,142957_94208,c4d.417636.45.273,c4d_150303_082805_ooi_r_v1
256.62766431244603,-26.929690483056813,57084.35139210569,20.935352,r,1.640824,0.741502,142957_94165,c4d.417636.45.274,c4d_150303_082805_ooi_r_v1
256.62727681624835,-26.929754877821175,57084.35139210569,21.21664,r,1.962078,0.684376,142957_94168,c4d.417636.45.275,c4d_150303_082805_ooi_r_v1
256.62754695736555,-26.925672882585243,57084.35139210569,18.892586,r,1.164272,0.98245,142957_94467,c4d.417636.45.276,c4d_150303_082805_ooi_r_v1
256.62752385796887,-26.92034358259999,57084.35139210569,20.328655,r,1.517824,0.978322,142957_94819,c4d.417636.45.286,c4d_150303_082805_ooi_r_v1
256.6270033538583,-26.9207275351567,57084.35139210569,20.995571,r,1.173135,0.926533,142957_94795,c4d.417636.45.287,c4d_150303_082805_ooi_r_v1
256.62649847246814,-26.920473043823346,57084.35139210569,19.646994,r,1.086883,0.977112,142957_94815,c4d.417636.45.288,c4d_150303_082805_ooi_r_v1
256.62590156705477,-26.92153513704955,57084.35139210569,20.407436,r,1.528221,0.881092,142957_94745,c4d.417636.45.289,c4d_150303_082805_ooi_r_v1
256.62548388328946,-26.92094921101505,57084.35139210569,19.337702,r,1.101935,0.981019,142957_94784,c4d.417636.45.290,c4d_150303_082805_ooi_r_v1
256.6268401206029,-26.923886437537917,57084.35139210569,20.792728,r,1.501415,0.917896,142957_94582,c4d.417636.45.320,c4d_150303_082805_ooi_r_v1
256.6257098700914,-26.92265872952102,57084.35139210569,20.793581,r,1.214928,0.929841,142957_94666,c4d.417636.45.321,c4d_150303_082805_ooi_r_v1
256.6259832420281,-26.923496940123442,57084.35139210569,19.363644,r,1.160051,0.981378,142957_94608,c4d.417636.45.323,c4d_150303_082805_ooi_r_v1
256.62568823003994,-26.924225292140065,57084.35139210569,20.854433,r,3.312326,0.882136,142957_94557,c4d.417636.45.324,c4d_150303_082805_ooi_r_v1
256.6249570356936,-26.92523610232567,57084.35139210569,19.044956,r,1.095261,0.980745,142957_94499,c4d.417636.45.328,c4d_150303_082805_ooi_r_v1
256.62517031449005,-26.92840946878054,57084.35139210569,20.005484,r,2.751678,0.44064,142957_94264,c4d.417636.45.333,c4d_150303_082805_ooi_r_v1
256.6248435400918,-26.92634220213432,57084.35139210569,21.311392,r,1.171102,0.845438,142957_94424,c4d.417636.45.337,c4d_150303_082805_ooi_r_v1
256.62727097378473,-26.930955700184597,57084.35139210569,22.062346,r,1.110485,0.568526,142957_94075,c4d.417636.45.370,c4d_150303_082805_ooi_r_v1
256.6262578732163,-26.930806306515358,57084.35139210569,21.114056,r,1.092426,0.946704,142957_94088,c4d.417636.45.408,c4d_150303_082805_ooi_r_v1
