obstime,ra_deg,dec_deg,mag,band,stn,astcat
2001-05-23T04:34:02.784Z,239.28996,-22.92069,21.9,R,807,USNOA2
2001-05-23T06:06:34.848Z,239.28862,-22.92050,,,807,USNOA2
2001-06-13T01:38:30.624Z,238.87292,-22.84539,22.7,R,304,USNOA2
2001-06-13T04:38:45.312Z,238.87050,-22.84494,,,304,USNOA2
2002-05-12T00:40:50.304Z,240.79262,-23.34350,,,950,USNOA2
2002-05-12T01:46:35.328Z,240.79171,-23.34336,,,950,USNOA2
2002-05-12T02:52:09.984Z,240.79075,-23.34319,,,950,USNOA2
2002-05-13T00:53:10.752Z,240.77225,-23.34044,,,950,USNOA2
2002-05-13T02:33:09.504Z,240.77079,-23.34019,,,950,USNOA2
2003-04-29T11:59:35.808Z,242.32908,-23.75342,23.2,R,568,USNOA2
2003-04-29T13:36:08.928Z,242.32787,-23.75319,,,568,USNOA2
2003-04-30T14:21:34.848Z,242.30871,-23.75083,,,568,USNOA2
2005-05-10T05:42:23.328Z,244.74971,-24.45539,21.8,R,807,USNOB1
2005-05-10T07:18:04.608Z,244.74842,-24.45525,,,807,USNOB1
2005-05-11T03:57:21.312Z,244.73113,-24.45322,,,807,USNOB1
2005-08-08T01:12:02.592Z,243.28683,-24.21228,22.0,R,807,UNK
2005-08-08T03:59:31.776Z,243.28633,-24.21203,,,807,UNK
2005-08-09T01:20:53.088Z,243.28258,-24.21083,,,807,UNK
2006-04-26T05:59:40.128Z,246.36596,-24.83386,21.6,R,807,USNOB1
2006-04-26T08:00:55.008Z,246.36463,-24.83383,,,807,USNOB1
2007-05-08T13:51:26.496Z,247.51017,-25.15597,23.5,R,250,UNK
2007-05-08T14:01:26.976Z,247.51004,-25.15597,,,250,UNK
2007-05-08T14:11:26.592Z,247.50988,-25.15594,,,250,UNK
2007-05-08T14:22:26.688Z,247.50975,-25.15594,,,250,UNK
