channel,epoch_window,mjd_night,pred_RA,pred_Dec,pred_V,SMAA_3s_as,SMIA_3s_as,raw_in_ellipse,stationary_star_rejected,survivors_after_stationarity,neg_ctrl_in_ellipse,chain_result
NSC_DR2_DECam,2013-2019_postarc,56361,256.62839,-26.92493,22.75,16.17,3.36,8,8,0,36,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,56362,256.63188,-26.92746,22.74,16.18,3.36,0,0,0,18,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,56794,257.4377,-27.24552,22.59,19.9,3.87,92,92,0,32,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,57863,262.50876,-27.92653,22.61,35.43,4.95,89,87,2,108,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,57864,262.49625,-27.92798,22.61,35.42,4.95,72,68,4,0,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,57871,262.40197,-27.93665,22.6,35.37,4.97,60,60,0,0,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,57872,262.38842,-27.93764,22.6,35.36,4.97,104,103,1,0,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,57873,262.37198,-27.93877,22.59,35.34,4.97,134,134,0,101,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,58605,265.53777,-28.32337,22.56,48.0,5.73,34,34,0,17,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,58612,265.42329,-28.3327,22.54,47.9,5.75,0,0,0,0,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,58613,265.40569,-28.33388,22.54,47.88,5.75,0,0,0,0,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,58683,263.90414,-28.31729,22.52,45.08,5.84,6,6,0,16,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
NSC_DR2_DECam,2013-2019_postarc,58690,263.77819,-28.30668,22.54,44.77,5.84,0,0,0,0,NULL (all in-ellipse = catalogued stationary stars; survivors fail mag/motion)
