Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
844324p	-9999	53849.5659606482	HA.MP7605	150	246.394699414062	-24.8362176080246	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844324p.fits.fz
844325p	-9999	53849.568275463	HA.MP7605	150	246.394660351562	-24.8362145216049	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844325p.fits.fz
844326p	-9999	53849.5705902778	HA.MP7605	150	246.394621289062	-24.8362114351852	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844326p.fits.fz
844327p	-9999	53849.5739120371	HAOFF.MP7604	150	246.394565234374	-24.8362070061728	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844327p.fits.fz
844328p	-9999	53849.576238426	HAOFF.MP7604	150	246.394525976561	-24.8362039043209	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844328p.fits.fz
844329p	-9999	53849.5785532408	HAOFF.MP7604	150	246.394486914062	-24.8362008179012	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844329p.fits.fz
844448p	31	53850.5170072792	I.MP9701	30	246.378521250344	-24.83490646191	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844448p.fits.fz?cutout=%5B31%5D
844449p	31	53850.5200979787	I.MP9701	400	246.378468322115	-24.8349020834191	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844449p.fits.fz?cutout=%5B31%5D
844450p	31	53850.5253088787	I.MP9701	400	246.378379085452	-24.8348947013107	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844450p.fits.fz?cutout=%5B31%5D
844451p	31	53850.5305366093	I.MP9701	400	246.378289560566	-24.834887295359	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844451p.fits.fz?cutout=%5B31%5D
844452p	31	53850.535781115	I.MP9701	400	246.378199748406	-24.8348798656426	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844452p.fits.fz?cutout=%5B31%5D
844453p	-9999	53850.5398611111	R.MP9601	30	246.378129878472	-24.8348740856482	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844453p.fits.fz
844454p	-9999	53850.5429629629	R.MP9601	400	246.37807675926	-24.8348696913581	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844454p.fits.fz
844455p	-9999	53850.5482060185	R.MP9601	400	246.377986971933	-24.834862263696	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844455p.fits.fz
844456p	-9999	53850.5534375	R.MP9601	400	246.377897382813	-24.8348548524305	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844456p.fits.fz
844457p	-9999	53850.5586805555	R.MP9601	400	246.377807595487	-24.8348474247686	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844457p.fits.fz
844458p	-9999	53850.5649768518	R.MP9601	400	246.377699771413	-24.8348385050155	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844458p.fits.fz
844459p	-9999	53850.5702199074	R.MP9601	400	246.377609984086	-24.8348310773534	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844459p.fits.fz
844460p	-9999	53850.5754513889	R.MP9601	400	246.377520394965	-24.8348236660879	1624-2430	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/844460p.fits.fz
845377p	32	53859.5029116817	I.MP9701	40	246.215507056728	-24.820230692148	Phot 06AT09.FT1...	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845377p.fits.fz?cutout=%5B32%5D
845378p	-9999	53859.5048263889	R.MP9601	40	246.215470597511	-24.8202271286651	PHOT 06AT09.FT1...	CFHT/MegaCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845378p.fits.fz
845780p	-9999	53864.55923885	J	20	246.117051794523	-24.8102238079514	1623-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845780p.fits.fz
845787p	-9999	53864.5640748	H	10	246.116955680017	-24.8102137330556	1623-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845787p.fits.fz
845794p	-9999	53864.56894455	KS	20	246.116858893736	-24.8102035877431	1623-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845794p.fits.fz
845797p	-9999	53864.5708784	J	5	246.116820458467	-24.8101995588889	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845797p.fits.fz
845798p	-9999	53864.57143625	J	20	246.116809371198	-24.8101983967014	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845798p.fits.fz
845799p	-9999	53864.57229385	J	20	246.116792326398	-24.8101966100348	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845799p.fits.fz
845800p	-9999	53864.573172	J	20	246.116774873167	-24.8101947805556	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845800p.fits.fz
845801p	-9999	53864.57403855	J	20	246.116757650486	-24.8101929752431	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845801p.fits.fz
845802p	-9999	53864.57491295	J	20	246.116740271786	-24.8101911535764	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845802p.fits.fz
845804p	-9999	53864.57583185	H	5	246.116722008648	-24.8101892392014	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845804p.fits.fz
845805p	-9999	53864.57638705	H	10	246.116710974048	-24.8101880825348	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845805p.fits.fz
845806p	-9999	53864.577216	H	10	246.116694498667	-24.8101863555556	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845806p.fits.fz
845807p	-9999	53864.5780655	H	10	246.116677614855	-24.8101845857639	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845807p.fits.fz
845808p	-9999	53864.57890485	H	10	246.116660932773	-24.8101828371181	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845808p.fits.fz
845809p	-9999	53864.57976105	H	10	246.116643915798	-24.8101810533681	1624-2450	CFHT/WIRCam	https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/845809p.fits.fz
