Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
J9RPE8IDQ_FLT	-9999	53949.2757993889	CLEAR2S	1200	64.5280359985918	63.3113454368315	04YH32	HST/ACS	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/j9rpe8idq_flt.fits
J9RPE8IEQ_FLT	-9999	53949.2757993889	CLEAR2S	1200	64.5280359985918	63.3113454368315	04YH32	HST/ACS	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/j9rpe8ieq_flt.fits
J9RPE8IFQ_FLT	-9999	53949.2757993889	CLEAR2S	1200	64.5280359985918	63.3113454368315	04YH32	HST/ACS	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/j9rpe8ifq_flt.fits
J9RPE8IGQ_FLT	-9999	53949.2757993889	CLEAR2S	1200	64.5280359985918	63.3113454368315	04YH32	HST/ACS	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/j9rpe8igq_flt.fits
SUPE01086440	-9999	54920.5501273148	W-S-Z+	120	242.024486409562	54.498199092752	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086450	-9999	54920.5515393519	W-S-Z+	120	242.02427651613	54.4982927382683	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086460	-9999	54920.5536574074	W-S-Z+	120	242.023961676005	54.4984332065323	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086470	-9999	54920.5550694444	W-S-Z+	120	242.023751782588	54.4985268520418	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086480	-9999	54920.5571875	W-S-Z+	120	242.023436942448	54.4986673203125	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086490	-9999	54920.5593055556	W-S-Z+	120	242.023122102309	54.4988077885832	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086500	-9999	54920.5607175926	W-S-Z+	120	242.022912208893	54.4989014340923	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086510	-9999	54920.5628356481	W-S-Z+	120	242.022597368767	54.4990419023567	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086520	-9999	54920.5649537037	W-S-Z+	120	242.022282528628	54.4991823706274	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086530	-9999	54920.5663657407	W-S-Z+	120	242.022072635212	54.4992760161365	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086540	-9999	54920.5684837963	W-S-Z+	120	242.021757795072	54.4994164844071	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086550	-9999	54920.5706018519	W-S-Z+	120	242.021442954932	54.4995569526778	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086560	-9999	54920.5720138889	W-S-Z+	120	242.021233061515	54.4996505981874	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086570	-9999	54920.5741319444	W-S-Z+	120	242.020918221391	54.4997910664513	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086580	-9999	54920.57625	W-S-Z+	120	242.020603381251	54.499931534722	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086590	-9999	54920.577662037	W-S-Z+	120	242.020393487834	54.5000251802316	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086600	-9999	54920.5797800926	W-S-Z+	120	242.020078647694	54.5001656485022	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086610	-9999	54920.5818981481	W-S-Z+	120	242.01976380757	54.5003061167661	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086620	-9999	54920.5833101852	W-S-Z+	120	242.019553914139	54.500399762282	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086630	-9999	54920.5847337963	W-S-Z+	120	242.01934230028	54.5004941753794	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086640	-9999	54920.5868518519	W-S-Z+	120	242.019027460141	54.5006346436501	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086650	-9999	54920.5882638889	W-S-Z+	120	242.018817566723	54.5007282891597	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086660	-9999	54920.5903819445	W-S-Z+	120	242.018502726584	54.5008687574303	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086670	-9999	54920.5925	W-S-Z+	120	242.018187886459	54.5010092256942	ELAIS_N1	Subaru/SuprimeCam	
SUPE01086680	-9999	54920.593912037	W-S-Z+	120	242.017977993042	54.5011028712038	ELAIS_N1	Subaru/SuprimeCam	
