datetime_str,datetime_jd,RA,DEC,V,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma
2005-May-01 00:00,2453491.5,219.78994,51.32075,19.974,1.065,1.107,1.173,0.991,-51.734,3.6545185
2005-May-03 00:00,2453493.5,219.35099,51.2101,19.975,1.073,1.1,1.172,0.994,-49.377,3.6611619
2005-May-05 00:00,2453495.5,218.91498,51.08493,19.977,1.082,1.093,1.171,0.998,-46.804,3.6699207
2005-May-07 00:00,2453497.5,218.48317,50.94528,19.979,1.092,1.086,1.17,1.002,-44.001,3.6806154
2005-May-09 00:00,2453499.5,218.05683,50.79122,19.982,1.102,1.079,1.169,1.006,-40.954,3.6930514
2005-May-11 00:00,2453501.5,217.63713,50.6229,19.984,1.112,1.072,1.169,1.01,-37.653,3.7070218
2005-May-13 00:00,2453503.5,217.22523,50.44051,19.987,1.122,1.065,1.169,1.014,-34.098,3.7223124
2005-May-15 00:00,2453505.5,216.82218,50.24426,19.99,1.133,1.058,1.17,1.017,-30.301,3.7387043
2005-May-17 00:00,2453507.5,216.429,50.03444,19.994,1.143,1.052,1.171,1.021,-26.295,3.7559772
2005-May-19 00:00,2453509.5,216.04659,49.81132,19.997,1.154,1.046,1.174,1.023,-22.131,3.7739127
2005-May-21 00:00,2453511.5,215.67578,49.57523,20.001,1.164,1.041,1.177,1.025,-17.88,3.7922963
2005-May-23 00:00,2453513.5,215.31734,49.32651,20.005,1.174,1.036,1.182,1.027,-13.624,3.8109202
2005-May-25 00:00,2453515.5,214.97193,49.06551,20.009,1.183,1.032,1.187,1.027,-9.444,3.8295851
2005-May-27 00:00,2453517.5,214.64017,48.79257,20.014,1.192,1.028,1.193,1.026,-5.41,3.8481002
2005-May-29 00:00,2453519.5,214.32261,48.50804,20.018,1.2,1.025,1.2,1.025,-1.574,3.8662832
2005-May-31 00:00,2453521.5,214.01978,48.21227,20.023,1.208,1.023,1.208,1.023,2.035,3.8839605
2005-Jun-02 00:00,2453523.5,213.73218,47.90563,20.027,1.215,1.022,1.217,1.02,5.405,3.9009678
2005-Jun-04 00:00,2453525.5,213.46026,47.5885,20.032,1.222,1.022,1.226,1.017,8.539,3.9171523
2005-Jun-06 00:00,2453527.5,213.20439,47.2613,20.037,1.228,1.023,1.236,1.013,11.449,3.9323733
2005-Jun-08 00:00,2453529.5,212.96489,46.92445,20.042,1.233,1.024,1.246,1.009,14.154,3.9465041
2005-Jun-10 00:00,2453531.5,212.74203,46.57841,20.047,1.237,1.027,1.256,1.004,16.671,3.9594319
2005-Jun-12 00:00,2453533.5,212.53597,46.22363,20.052,1.24,1.03,1.266,0.998,19.021,3.9710585
2005-Jun-14 00:00,2453535.5,212.34682,45.86057,20.058,1.243,1.034,1.277,0.993,21.222,3.9812995
2005-Jun-16 00:00,2453537.5,212.17465,45.48969,20.063,1.245,1.04,1.287,0.987,23.29,3.9900841
2005-Jun-18 00:00,2453539.5,212.01944,45.11144,20.068,1.246,1.045,1.297,0.981,25.241,3.9973548
2005-Jun-20 00:00,2453541.5,211.88113,44.72627,20.073,1.246,1.052,1.308,0.974,27.087,4.0030663
2005-Jun-22 00:00,2453543.5,211.75961,44.3346,20.078,1.245,1.06,1.318,0.968,28.84,4.0071852
2005-Jun-24 00:00,2453545.5,211.65476,43.93684,20.084,1.244,1.068,1.328,0.961,30.51,4.0096881
2005-Jun-26 00:00,2453547.5,211.56643,43.53337,20.089,1.242,1.076,1.338,0.954,32.105,4.0105598
2005-Jun-28 00:00,2453549.5,211.49448,43.12455,20.094,1.239,1.086,1.348,0.947,33.634,4.0097918
2005-Jun-30 00:00,2453551.5,211.43878,42.71075,20.099,1.235,1.096,1.358,0.939,35.103,4.0073822
2005-Jul-02 00:00,2453553.5,211.39917,42.29233,20.104,1.231,1.106,1.367,0.932,36.517,4.0033361
2005-Jul-04 00:00,2453555.5,211.37546,41.86969,20.108,1.226,1.117,1.376,0.925,37.882,3.997666
2005-Jul-06 00:00,2453557.5,211.36747,41.44318,20.113,1.22,1.128,1.385,0.917,39.201,3.9903915
2005-Jul-08 00:00,2453559.5,211.37494,41.0132,20.118,1.213,1.139,1.394,0.909,40.48,3.9815388
2005-Jul-10 00:00,2453561.5,211.39762,40.58011,20.122,1.206,1.15,1.402,0.902,41.72,3.9711405
2005-Jul-12 00:00,2453563.5,211.43522,40.14427,20.127,1.199,1.162,1.41,0.894,42.924,3.9592345
2005-Jul-14 00:00,2453565.5,211.48745,39.70603,20.131,1.19,1.174,1.418,0.886,44.097,3.9458638
2005-Jul-16 00:00,2453567.5,211.55398,39.26573,20.135,1.181,1.186,1.425,0.878,45.238,3.9310752
2005-Jul-18 00:00,2453569.5,211.63448,38.8237,20.139,1.172,1.198,1.432,0.87,46.351,3.9149193
2005-Jul-20 00:00,2453571.5,211.72859,38.38022,20.143,1.162,1.21,1.439,0.862,47.438,3.8974497
2005-Jul-22 00:00,2453573.5,211.83599,37.93558,20.147,1.152,1.222,1.446,0.854,48.499,3.8787215
