run,camcol,field,ra,dec,mjd_r,mjd_g,mjd_i
5224,1,365,210.501890891233,21.6534936719753,53462.244498,53462.24781506,53462.24532727
5224,1,366,210.660218159189,21.626181369522,53462.24491263,53462.24822969,53462.2457419
5224,1,367,210.818483015945,21.5986994914861,53462.24532727,53462.24864432,53462.24615653
5224,1,368,210.976709810819,21.5710608463516,53462.2457419,53462.24905896,53462.24657116
5224,1,369,211.134870492998,21.5432581309323,53462.24615653,53462.24947359,53462.24698579
5224,1,370,211.292971397935,21.5153259903933,53462.24657116,53462.24988822,53462.24740043
5224,1,371,211.451004548864,21.4872425408842,53462.24698579,53462.25030285,53462.24781506
5224,1,372,211.608982941016,21.4590048996099,53462.24740043,53462.2507174901,53462.24822969
5224,1,373,211.766889617878,21.4305928676221,53462.24781506,53462.25113212,53462.24864432
5224,1,374,211.924728765704,21.4020270316972,53462.24822969,53462.25154675,53462.24905896
5224,1,375,212.082494374116,21.3733063325506,53462.24864432,53462.25196138,53462.24947359
5224,1,376,212.240193726762,21.3444276135606,53462.24905896,53462.25237602,53462.24988822
5224,1,377,212.397839383711,21.3153928520532,53462.24947359,53462.25279065,53462.25030285
5224,1,378,212.55543443568,21.2862035450435,53462.24988822,53462.25320528,53462.2507174901
5224,1,379,212.712971499684,21.2568602221476,53462.25030285,53462.2536199099,53462.25113212
5224,1,380,212.870424381848,21.2273461040229,53462.2507174901,53462.25403455,53462.25154675
5224,1,381,213.027787809308,21.1976543154767,53462.25113212,53462.25444918,53462.25196138
5224,1,382,213.185093486187,21.167817572973,53462.25154675,53462.25486381,53462.25237602
5224,1,383,213.342349655202,21.1378435242638,53462.25196138,53462.2552784401,53462.25279065
5224,1,384,213.499561399576,21.1077274273401,53462.25237602,53462.25569308,53462.25320528
5224,1,385,213.65670355541,21.0774616107763,53462.25279065,53462.25610771,53462.2536199099
5224,1,386,213.813785500627,21.0470562726696,53462.25320528,53462.25652234,53462.25403455
5224,1,387,213.97078087474,21.0164980841016,53462.2536199099,53462.25693697,53462.25444918
5224,1,388,214.127720315605,20.9857831593059,53462.25403455,53462.25735161,53462.25486381
5224,1,389,214.2845857256,20.9548932361332,53462.25444918,53462.2577662401,53462.2552784401
5224,1,390,214.441393118861,20.9238605556141,53462.25486381,53462.25818087,53462.25569308
5224,1,391,214.598134536807,20.8926697197415,53462.2552784401,53462.2585955,53462.25610771
