Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
dec016441.fits.fz 3785c81a1913c3d3b7f680b53bdfc496	-9999	56224.6759041641	g	10	33.7801716201031	-52.1105254684034	decal test light	CTIO-4m/DECam	CTIO
dec112367.fits.fz 8090f5bb1d3e788f0672d11184751f25	-9999	56569.3454310028	g	90	42.4861709581764	-45.0821597905693	DES survey hex 430-461 tiling	CTIO-4m/DECam	CTIO
c4d_131004_081640_ooi_g_d1.fits.fz 82535afc4d51ef6690bd06e5b919d647	-9999	56569.3454310028	g	90	42.4861709581764	-45.0821597905693	DES survey hex 430-461 tiling	CTIO-4m/DECam	CTIO
c4d_131004_081640_ooi_g_ls9.fits.fz df1b49cbc9280932f079ba77cc53aaa1	-9999	56569.3454310028	g	90	42.4861709581764	-45.0821597905693	DES survey hex 430-461 tiling	CTIO-4m/DECam	CTIO
dec112368.fits.fz 2fc54fab3eafafa474530427e29f0653	-9999	56569.3468174725	r	90	42.4860520684	-45.082207816339	DES survey hex 430-461 tiling	CTIO-4m/DECam	CTIO
c4d_131004_081840_ooi_r_d1.fits.fz bb4e3168b1b5f7623506c89d683e112b	-9999	56569.3468174725	r	90	42.4860520684	-45.082207816339	DES survey hex 430-461 tiling	CTIO-4m/DECam	CTIO
c4d_131004_081840_ooi_r_ls9.fits.fz db632691a36758d6fc65431561dc60c4	-9999	56569.3468174725	r	90	42.4860520684	-45.082207816339	DES survey hex 430-461 tiling	CTIO-4m/DECam	CTIO
dec112369.fits.fz 02ecbba70a91a6b14ab7864ee354d26f	-9999	56569.3482017215	i	90	42.4859333690481	-45.0822557651863	DES survey hex 430-461 tiling	CTIO-4m/DECam	CTIO
c4d_131004_082039_ooi_i_d1.fits.fz 3f36e44cc1629cb7bdb4045d97c650ee	-9999	56569.3482017215	i	90	42.4859333690481	-45.0822557651863	DES survey hex 430-461 tiling	CTIO-4m/DECam	CTIO
dec115763.fits.fz c217c57765d4291209f607699bbc1e21	-9999	56580.3472721317	g	90	41.4792619515857	-45.396702865768	DES survey hex 408-450 tiling	CTIO-4m/DECam	CTIO
c4d_131015_081919_ooi_g_d1.fits.fz 54b4edab0a6f27d5607b5a1c34b6a6a0	-9999	56580.3472721317	g	90	41.4792619515857	-45.396702865768	DES survey hex 408-450 tiling	CTIO-4m/DECam	CTIO
c4d_131015_081919_ooi_g_ls9.fits.fz a659e3c21d1ef6eee391fda5a159e5a5	-9999	56580.3472721317	g	90	41.4792619515857	-45.396702865768	DES survey hex 408-450 tiling	CTIO-4m/DECam	CTIO
dec115764.fits.fz e096890255cd691ab9b8b62c3fa1f080	-9999	56580.3486516452	r	90	41.4791284261747	-45.3967330234659	DES survey hex 408-450 tiling	CTIO-4m/DECam	CTIO
c4d_131015_082118_ooi_r_d1.fits.fz 3c97c2a0e66e1c5a41da5dc4e5a05899	-9999	56580.3486516452	r	90	41.4791284261747	-45.3967330234659	DES survey hex 408-450 tiling	CTIO-4m/DECam	CTIO
c4d_131015_082118_ooi_r_ls9.fits.fz 097000468f9814d7ee48817e6767042e	-9999	56580.3486516452	r	90	41.4791284261747	-45.3967330234659	DES survey hex 408-450 tiling	CTIO-4m/DECam	CTIO
dec115765.fits.fz eafd9ce67dc5749bf0a3fb7dea1bce31	-9999	56580.3500335928	i	90	41.4789946651639	-45.3967632343758	DES survey hex 408-450 tiling	CTIO-4m/DECam	CTIO
c4d_131015_082317_ooi_i_d1.fits.fz 3fbcab580aad62a454a58f6425017aa8	-9999	56580.3500335928	i	90	41.4789946651639	-45.3967632343758	DES survey hex 408-450 tiling	CTIO-4m/DECam	CTIO
dec115766.fits.fz 1231d86cb0238198d72299bdbf0dbc51	-9999	56580.3514173134	g	90	41.4788607325402	-45.3967934840458	DES survey hex 430-461 tiling	CTIO-4m/DECam	CTIO
c4d_131015_082517_ooi_g_d1.fits.fz 8cd9ab2ab8207ab526ead1e1ce93c1de	-9999	56580.3514173134	g	90	41.4788607325402	-45.3967934840458	DES survey hex 430-461 tiling	CTIO-4m/DECam	CTIO
c4d_131015_082517_ooi_g_ls9.fits.fz 42b001c6a85fb15905576c91070d61ee	-9999	56580.3514173134	g	90	41.4788607325402	-45.3967934840458	DES survey hex 430-461 tiling	CTIO-4m/DECam	CTIO
dec117686.fits.fz dbda1447147e32e411d61dd445d9da82	-9999	56592.3541992962	Y	45	40.2745174724916	-45.5681448735159	DES survey hex 406-471 tiling	CTIO-4m/DECam	CTIO
c4d_131027_082940_ooi_Y_d1.fits.fz 81077768030793f60f66cd8ba2ce772c	-9999	56592.3541992962	Y	45	40.2745174724916	-45.5681448735159	DES survey hex 406-471 tiling	CTIO-4m/DECam	CTIO
dec117970.fits.fz 2c01b3af1902ef0cb99d1436b8dc09aa	-9999	56593.2164458264	g	90	40.1856609870002	-45.5730656360788	DES survey hex 408-450 tiling	CTIO-4m/DECam	CTIO
c4d_131028_051055_ooi_g_d1.fits.fz 2c5136aa5b2016bbb676d82f383f0fa7	-9999	56593.2164458264	g	90	40.1856609870002	-45.5730656360788	DES survey hex 408-450 tiling	CTIO-4m/DECam	CTIO
c4d_131028_051055_ooi_g_ls9.fits.fz adac988edd6c98c98c76934a6b8342be	-9999	56593.2164458264	g	90	40.1856609870002	-45.5730656360788	DES survey hex 408-450 tiling	CTIO-4m/DECam	CTIO
dec126270.fits.fz 3c2b459df1b6ca6e79a0a5f0e68d9528	-9999	56616.2214474837	z	90	37.8551523684247	-45.3166201137824	DES survey hex 384-461 tiling	CTIO-4m/DECam	CTIO
c4d_131120_051808_ooi_z_ls9.fits.fz d4d6b230422f000362aa88777b870d9f	-9999	56616.2214474837	z	90	37.8551523684247	-45.3166201137824	DES survey hex 384-461 tiling	CTIO-4m/DECam	CTIO
dec126736.fits.fz e8eefd1f02f0fe3f70a4c61c47e1afdc	-9999	56617.2829840892	z	90	37.7544655405965	-45.2869758494181	DES survey hex 386-440 tiling	CTIO-4m/DECam	CTIO
c4d_131121_064644_ooi_z_d1.fits.fz 2226e6693dde2596f2cd7e7fc29f1f55	-9999	56617.2829840892	z	90	37.7544655405965	-45.2869758494181	DES survey hex 386-440 tiling	CTIO-4m/DECam	CTIO
c4d_131121_064644_ooi_z_ls9.fits.fz d2ab1242a200be7a7e0c01d0197d28a9	-9999	56617.2829840892	z	90	37.7544655405965	-45.2869758494181	DES survey hex 386-440 tiling	CTIO-4m/DECam	CTIO
dec128487.fits.fz 22a97cbfb0c05171398de24e6bf78116	-9999	56627.2473944173	r	90	36.8645294147595	-44.9363660170312	DES survey hex 363-450 tiling	CTIO-4m/DECam	CTIO
c4d_131201_055752_ooi_r_d1.fits.fz 0fadacb3c708d021b65575ff78c7ffc9	-9999	56627.2473944173	r	90	36.8645294147595	-44.9363660170312	DES survey hex 363-450 tiling	CTIO-4m/DECam	CTIO
c4d_131201_055752_ooi_r_ls9.fits.fz 260ccaa41aa1dc22e3d8f19f2faddf0d	-9999	56627.2473944173	r	90	36.8645294147595	-44.9363660170312	DES survey hex 363-450 tiling	CTIO-4m/DECam	CTIO
dec128488.fits.fz 912e2ba3f9e1e47f447c931b0dc5c871	-9999	56627.2487809213	i	90	36.8644139883019	-44.9363079764334	DES survey hex 363-450 tiling	CTIO-4m/DECam	CTIO
c4d_131201_055953_ooi_i_d1.fits.fz 6a20126667ab7f58a51fa956632a1854	-9999	56627.2487809213	i	90	36.8644139883019	-44.9363079764334	DES survey hex 363-450 tiling	CTIO-4m/DECam	CTIO
dec128491.fits.fz 72fe123e859c27c06cdca5445a26045d	-9999	56627.2529342335	r	90	36.8640682250614	-44.93613411417	DES survey hex 386-440 tiling	CTIO-4m/DECam	CTIO
