Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
04837b239-w1-int-1b	-9999	55339.5887069763	w1	8	9.89543062860164	-58.5098755426143	04837b239	WISE	
04837b239-w2-int-1b	-9999	55339.5887069763	w2	8	9.89543062860164	-58.5098755426143	04837b239	WISE	
04837b239-w3-int-1b	-9999	55339.5887127633	w3	9	9.89543167195054	-58.5098758199083	04837b239	WISE	
04837b239-w4-int-1b	-9999	55339.5887127633	w4	9	9.89543167195054	-58.5098758199083	04837b239	WISE	
04841b239-w1-int-1b	-9999	55339.7210109263	w1	8	9.91928392825476	-58.5162151068853	04841b239	WISE	
04841b239-w2-int-1b	-9999	55339.7210109263	w2	8	9.91928392825476	-58.5162151068853	04841b239	WISE	
04841b239-w3-int-1b	-9999	55339.7210167133	w3	9	9.91928497160234	-58.516215384179	04841b239	WISE	
04841b239-w4-int-1b	-9999	55339.7210167133	w4	9	9.91928497160234	-58.516215384179	04841b239	WISE	
04844a215-w1-int-1b	-9999	55339.7872265863	w1	8	9.93122205995447	-58.5193879405934	04844a215	WISE	
04844a215-w2-int-1b	-9999	55339.7872265863	w2	8	9.93122205995447	-58.5193879405934	04844a215	WISE	
04844a215-w3-int-1b	-9999	55339.7872323733	w3	9	9.93122310330336	-58.5193882178874	04844a215	WISE	
04844a215-w4-int-1b	-9999	55339.7872323733	w4	9	9.93122310330336	-58.5193882178874	04844a215	WISE	
04845b239-w1-int-1b	-9999	55339.8533148763	w1	8	9.94313722790657	-58.5225546711561	04845b239	WISE	
04845b239-w2-int-1b	-9999	55339.8533148763	w2	8	9.94313722790657	-58.5225546711561	04845b239	WISE	
04845b239-w3-int-1b	-9999	55339.8533206633	w3	9	9.94313827125415	-58.5225549484498	04845b239	WISE	
04845b239-w4-int-1b	-9999	55339.8533206633	w4	9	9.94313827125415	-58.5225549484498	04845b239	WISE	
04848a215-w1-int-1b	-9999	55339.9195305363	w1	8	9.95507535960759	-58.5257275048645	04848a215	WISE	
04848a215-w2-int-1b	-9999	55339.9195305363	w2	8	9.95507535960759	-58.5257275048645	04848a215	WISE	
04848a215-w3-int-1b	-9999	55339.9195363233	w3	9	9.95507640295517	-58.5257277821581	04848a215	WISE	
04848a215-w4-int-1b	-9999	55339.9195363233	w4	9	9.95507640295517	-58.5257277821581	04848a215	WISE	
04849b239-w1-int-1b	-9999	55339.9856188763	w1	8	9.96699053657302	-58.5288942378227	04849b239	WISE	
04849b239-w2-int-1b	-9999	55339.9856188763	w2	8	9.96699053657302	-58.5288942378227	04849b239	WISE	
04849b239-w3-int-1b	-9999	55339.9856246633	w3	9	9.9669915799206	-58.5288945151164	04849b239	WISE	
04849b239-w4-int-1b	-9999	55339.9856246633	w4	9	9.9669915799206	-58.5288945151164	04849b239	WISE	
04849b241-w1-int-1b	-9999	55339.9857461963	w1	8	9.96701349130729	-58.5289003385725	04849b241	WISE	
04849b241-w2-int-1b	-9999	55339.9857461963	w2	8	9.96701349130729	-58.5289003385725	04849b241	WISE	
04849b241-w3-int-1b	-9999	55339.9857519833	w3	9	9.96701453465619	-58.5289006158665	04849b241	WISE	
04849b241-w4-int-1b	-9999	55339.9857519833	w4	9	9.96701453465619	-58.5289006158665	04849b241	WISE	
04857b240-w1-int-1b	-9999	55340.2502265863	w1	8	10.0142175006647	-58.541858337539	04857b240	WISE	
04857b240-w2-int-1b	-9999	55340.2502265863	w2	8	10.0142175006647	-58.541858337539	04857b240	WISE	
04857b240-w3-int-1b	-9999	55340.2502323733	w3	9	10.0142185329205	-58.5418586214235	04857b240	WISE	
04857b240-w4-int-1b	-9999	55340.2502323733	w4	9	10.0142185329205	-58.5418586214235	04857b240	WISE	
04857b241-w1-int-1b	-9999	55340.2503539463	w1	8	10.0142402185045	-58.5418645852546	04857b241	WISE	
04857b241-w2-int-1b	-9999	55340.2503539463	w2	8	10.0142402185045	-58.5418645852546	04857b241	WISE	
04857b241-w3-int-1b	-9999	55340.2503597333	w3	9	10.0142412507603	-58.541864869139	04857b241	WISE	
04857b241-w4-int-1b	-9999	55340.2503597333	w4	9	10.0142412507603	-58.541864869139	04857b241	WISE	
