jd,date,RA,Dec,SMAA,SMIA
2453461.5,2005-Apr-01 00:00,225.88371,51.31742,1.209,1.015
2453462.5,2005-Apr-02 00:00,225.71772,51.36294,1.207,1.013
2453463.5,2005-Apr-03 00:00,225.54792,51.4058,1.205,1.011
2453464.5,2005-Apr-04 00:00,225.37444,51.44594,1.204,1.008
2453465.5,2005-Apr-05 00:00,225.19737,51.4833,1.202,1.006
2453466.5,2005-Apr-06 00:00,225.01684,51.5178,1.201,1.004
2453467.5,2005-Apr-07 00:00,224.83295,51.54939,1.199,1.002
2453468.5,2005-Apr-08 00:00,224.64584,51.578,1.198,1.0
2453469.5,2005-Apr-09 00:00,224.45565,51.60359,1.196,0.998
2453470.5,2005-Apr-10 00:00,224.2625,51.6261,1.195,0.996
2453471.5,2005-Apr-11 00:00,224.06654,51.64547,1.194,0.994
2453472.5,2005-Apr-12 00:00,223.86791,51.66166,1.192,0.992
2453473.5,2005-Apr-13 00:00,223.66676,51.67463,1.191,0.991
2453474.5,2005-Apr-14 00:00,223.46324,51.68432,1.19,0.989
2453475.5,2005-Apr-15 00:00,223.25749,51.69071,1.189,0.988
2453476.5,2005-Apr-16 00:00,223.04968,51.69375,1.188,0.987
2453477.5,2005-Apr-17 00:00,222.83995,51.69342,1.187,0.986
2453478.5,2005-Apr-18 00:00,222.62847,51.68967,1.186,0.986
2453479.5,2005-Apr-19 00:00,222.41537,51.68249,1.185,0.985
2453480.5,2005-Apr-20 00:00,222.20083,51.67184,1.184,0.985
2453481.5,2005-Apr-21 00:00,221.985,51.6577,1.183,0.985
2453482.5,2005-Apr-22 00:00,221.76804,51.64005,1.182,0.984
2453483.5,2005-Apr-23 00:00,221.55009,51.61887,1.181,0.985
2453484.5,2005-Apr-24 00:00,221.33132,51.59415,1.18,0.985
2453485.5,2005-Apr-25 00:00,221.11189,51.56587,1.179,0.985
2453486.5,2005-Apr-26 00:00,220.89195,51.53402,1.178,0.986
2453487.5,2005-Apr-27 00:00,220.67164,51.49858,1.177,0.987
2453488.5,2005-Apr-28 00:00,220.45114,51.45954,1.176,0.988
2453489.5,2005-Apr-29 00:00,220.23058,51.41689,1.175,0.989
2453490.5,2005-Apr-30 00:00,220.01013,51.37063,1.174,0.99
2453491.5,2005-May-01 00:00,219.78994,51.32075,1.173,0.991
2453492.5,2005-May-02 00:00,219.57018,51.26724,1.173,0.993
2453493.5,2005-May-03 00:00,219.35099,51.2101,1.172,0.994
2453494.5,2005-May-04 00:00,219.13253,51.14933,1.171,0.996
2453495.5,2005-May-05 00:00,218.91498,51.08493,1.171,0.998
2453496.5,2005-May-06 00:00,218.69847,51.01691,1.17,1.0
2453497.5,2005-May-07 00:00,218.48317,50.94528,1.17,1.002
2453498.5,2005-May-08 00:00,218.26924,50.87004,1.169,1.004
2453499.5,2005-May-09 00:00,218.05683,50.79122,1.169,1.006
2453500.5,2005-May-10 00:00,217.84607,50.70883,1.169,1.008
2453501.5,2005-May-11 00:00,217.63713,50.6229,1.169,1.01
2453502.5,2005-May-12 00:00,217.43014,50.53345,1.169,1.012
2453503.5,2005-May-13 00:00,217.22523,50.44051,1.169,1.014
2453504.5,2005-May-14 00:00,217.02253,50.3441,1.169,1.016
2453505.5,2005-May-15 00:00,216.82218,50.24426,1.17,1.017
2453506.5,2005-May-16 00:00,216.6243,50.14103,1.17,1.019
2453507.5,2005-May-17 00:00,216.429,50.03444,1.171,1.021
2453508.5,2005-May-18 00:00,216.23639,49.92452,1.172,1.022
2453509.5,2005-May-19 00:00,216.04659,49.81132,1.174,1.023
2453510.5,2005-May-20 00:00,215.85969,49.69488,1.175,1.024
2453511.5,2005-May-21 00:00,215.67578,49.57523,1.177,1.025
2453512.5,2005-May-22 00:00,215.49497,49.45243,1.179,1.026
2453513.5,2005-May-23 00:00,215.31734,49.32651,1.182,1.027
2453514.5,2005-May-24 00:00,215.14297,49.19752,1.184,1.027
2453515.5,2005-May-25 00:00,214.97193,49.06551,1.187,1.027
2453516.5,2005-May-26 00:00,214.80431,48.93051,1.19,1.027
2453517.5,2005-May-27 00:00,214.64017,48.79257,1.193,1.026
2453518.5,2005-May-28 00:00,214.47958,48.65173,1.197,1.026
2453519.5,2005-May-29 00:00,214.32261,48.50804,1.2,1.025
2453520.5,2005-May-30 00:00,214.16932,48.36154,1.204,1.024
2453521.5,2005-May-31 00:00,214.01978,48.21227,1.208,1.023
2453522.5,2005-Jun-01 00:00,213.87405,48.06028,1.213,1.022
2453523.5,2005-Jun-02 00:00,213.73218,47.90563,1.217,1.02
2453524.5,2005-Jun-03 00:00,213.59424,47.74835,1.221,1.019
2453525.5,2005-Jun-04 00:00,213.46026,47.5885,1.226,1.017
2453526.5,2005-Jun-05 00:00,213.33029,47.42613,1.231,1.015
2453527.5,2005-Jun-06 00:00,213.20439,47.2613,1.236,1.013
2453528.5,2005-Jun-07 00:00,213.08258,47.09405,1.241,1.011
2453529.5,2005-Jun-08 00:00,212.96489,46.92445,1.246,1.009
2453530.5,2005-Jun-09 00:00,212.85137,46.75255,1.251,1.006
2453531.5,2005-Jun-10 00:00,212.74203,46.57841,1.256,1.004
2453532.5,2005-Jun-11 00:00,212.63689,46.40209,1.261,1.001
2453533.5,2005-Jun-12 00:00,212.53597,46.22363,1.266,0.998
2453534.5,2005-Jun-13 00:00,212.43928,46.04311,1.271,0.996
2453535.5,2005-Jun-14 00:00,212.34682,45.86057,1.277,0.993
2453536.5,2005-Jun-15 00:00,212.25862,45.67608,1.282,0.99
2453537.5,2005-Jun-16 00:00,212.17465,45.48969,1.287,0.987
2453538.5,2005-Jun-17 00:00,212.09493,45.30146,1.292,0.984
2453539.5,2005-Jun-18 00:00,212.01944,45.11144,1.297,0.981
2453540.5,2005-Jun-19 00:00,211.94818,44.9197,1.303,0.978
2453541.5,2005-Jun-20 00:00,211.88113,44.72627,1.308,0.974
2453542.5,2005-Jun-21 00:00,211.81828,44.53122,1.313,0.971
2453543.5,2005-Jun-22 00:00,211.75961,44.3346,1.318,0.968
2453544.5,2005-Jun-23 00:00,211.70511,44.13646,1.323,0.964
2453545.5,2005-Jun-24 00:00,211.65476,43.93684,1.328,0.961
2453546.5,2005-Jun-25 00:00,211.60854,43.7358,1.333,0.957
2453547.5,2005-Jun-26 00:00,211.56643,43.53337,1.338,0.954
2453548.5,2005-Jun-27 00:00,211.52842,43.3296,1.343,0.95
2453549.5,2005-Jun-28 00:00,211.49448,43.12455,1.348,0.947
2453550.5,2005-Jun-29 00:00,211.46461,42.91825,1.353,0.943
2453551.5,2005-Jun-30 00:00,211.43878,42.71075,1.358,0.939
2453552.5,2005-Jul-01 00:00,211.41697,42.50209,1.363,0.936
2453553.5,2005-Jul-02 00:00,211.39917,42.29233,1.367,0.932
2453554.5,2005-Jul-03 00:00,211.38534,42.08152,1.372,0.928
2453555.5,2005-Jul-04 00:00,211.37546,41.86969,1.376,0.925
2453556.5,2005-Jul-05 00:00,211.36952,41.65689,1.381,0.921
2453557.5,2005-Jul-06 00:00,211.36747,41.44318,1.385,0.917
2453558.5,2005-Jul-07 00:00,211.36928,41.2286,1.39,0.913
2453559.5,2005-Jul-08 00:00,211.37494,41.0132,1.394,0.909
2453560.5,2005-Jul-09 00:00,211.38439,40.79702,1.398,0.905
2453561.5,2005-Jul-10 00:00,211.39762,40.58011,1.402,0.902
2453562.5,2005-Jul-11 00:00,211.41457,40.36251,1.406,0.898
2453563.5,2005-Jul-12 00:00,211.43522,40.14427,1.41,0.894
