Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.0938.017.wrp.y.55243_64598	-9999	55243.6465530111	y	30	241.545418112242	-19.5062887941759	0938.017	Pan-STARRS1	
02089b148-w1-int-1b	-9999	55248.6774564863	w1	8	241.573883236249	-19.5095143544519	02089b148	WISE	
02089b148-w2-int-1b	-9999	55248.6774564863	w2	8	241.573883236249	-19.5095143544519	02089b148	WISE	
02089b148-w3-int-1b	-9999	55248.6774622733	w3	9	241.573883263014	-19.5095143571846	02089b148	WISE	
02089b148-w4-int-1b	-9999	55248.6774622733	w4	9	241.573883263014	-19.5095143571846	02089b148	WISE	
02093b148-w1-int-1b	-9999	55248.8097606363	w1	8	241.574495142943	-19.5095768314116	02093b148	WISE	
02093b148-w2-int-1b	-9999	55248.8097606363	w2	8	241.574495142943	-19.5095768314116	02093b148	WISE	
02093b148-w3-int-1b	-9999	55248.8097664233	w3	9	241.574495169708	-19.5095768341444	02093b148	WISE	
02093b148-w4-int-1b	-9999	55248.8097664233	w4	9	241.574495169708	-19.5095768341444	02093b148	WISE	
02097b148-w1-int-1b	-9999	55248.9420647763	w1	8	241.57510704959	-19.5096393083666	02097b148	WISE	
02097b148-w2-int-1b	-9999	55248.9420647763	w2	8	241.57510704959	-19.5096393083666	02097b148	WISE	
02097b148-w3-int-1b	-9999	55248.9420705633	w3	9	241.575107076355	-19.5096393110994	02097b148	WISE	
02097b148-w4-int-1b	-9999	55248.9420705633	w4	9	241.575107076355	-19.5096393110994	02097b148	WISE	
02097b149-w1-int-1b	-9999	55248.9421920963	w1	8	241.575107638445	-19.5096393684899	02097b149	WISE	
02097b149-w2-int-1b	-9999	55248.9421920963	w2	8	241.575107638445	-19.5096393684899	02097b149	WISE	
02097b149-w3-int-1b	-9999	55248.9421978833	w3	9	241.57510766521	-19.5096393712227	02097b149	WISE	
02097b149-w4-int-1b	-9999	55248.9421978833	w4	9	241.57510766521	-19.5096393712227	02097b149	WISE	
02100a124-w1-int-1b	-9999	55249.0082804963	w1	8	241.575409847089	-19.5096696568459	02100a124	WISE	
02100a124-w2-int-1b	-9999	55249.0082804963	w2	8	241.575409847089	-19.5096696568459	02100a124	WISE	
02100a124-w3-int-1b	-9999	55249.0082862833	w3	9	241.575409871442	-19.5096696589357	02100a124	WISE	
02100a124-w4-int-1b	-9999	55249.0082862833	w4	9	241.575409871442	-19.5096696589357	02100a124	WISE	
02101b148-w1-int-1b	-9999	55249.0743688863	w1	8	241.575687969063	-19.5096935220979	02101b148	WISE	
02101b148-w2-int-1b	-9999	55249.0743688863	w2	8	241.575687969063	-19.5096935220979	02101b148	WISE	
02101b148-w3-int-1b	-9999	55249.0743746733	w3	9	241.575687993417	-19.5096935241876	02101b148	WISE	
02101b148-w4-int-1b	-9999	55249.0743746733	w4	9	241.575687993417	-19.5096935241876	02101b148	WISE	
02101b149-w1-int-1b	-9999	55249.0744962463	w1	8	241.575688505036	-19.509693568089	02101b149	WISE	
02101b149-w2-int-1b	-9999	55249.0744962463	w2	8	241.575688505036	-19.509693568089	02101b149	WISE	
02101b149-w3-int-1b	-9999	55249.0745020333	w3	9	241.57568852939	-19.5096935701787	02101b149	WISE	
02101b149-w4-int-1b	-9999	55249.0745020333	w4	9	241.57568852939	-19.5096935701787	02101b149	WISE	
02104a087-w1-int-1b	-9999	55249.1405846463	w1	8	241.575966627053	-19.5097174333445	02104a087	WISE	
02104a087-w2-int-1b	-9999	55249.1405846463	w2	8	241.575966627053	-19.5097174333445	02104a087	WISE	
02104a087-w3-int-1b	-9999	55249.1405904333	w3	9	241.575966651407	-19.5097174354343	02104a087	WISE	
02104a087-w4-int-1b	-9999	55249.1405904333	w4	9	241.575966651407	-19.5097174354343	02104a087	WISE	
02105b148-w1-int-1b	-9999	55249.2068003563	w1	8	241.576245284833	-19.5097413445731	02105b148	WISE	
02105b148-w2-int-1b	-9999	55249.2068003563	w2	8	241.576245284833	-19.5097413445731	02105b148	WISE	
02105b148-w3-int-1b	-9999	55249.2068061433	w3	9	241.576245309186	-19.5097413466629	02105b148	WISE	
02105b148-w4-int-1b	-9999	55249.2068061433	w4	9	241.576245309186	-19.5097413466629	02105b148	WISE	
02108a122-w1-int-1b	-9999	55249.2728887063	w1	8	241.576523406639	-19.5097652098106	02108a122	WISE	
02108a122-w2-int-1b	-9999	55249.2728887063	w2	8	241.576523406639	-19.5097652098106	02108a122	WISE	
02108a122-w3-int-1b	-9999	55249.2728944933	w3	9	241.576523430993	-19.5097652119004	02108a122	WISE	
02108a122-w4-int-1b	-9999	55249.2728944933	w4	9	241.576523430993	-19.5097652119004	02108a122	WISE	
02108a123-w1-int-1b	-9999	55249.2730160663	w1	8	241.576523942612	-19.5097652558017	02108a123	WISE	
02108a123-w2-int-1b	-9999	55249.2730160663	w2	8	241.576523942612	-19.5097652558017	02108a123	WISE	
02108a123-w3-int-1b	-9999	55249.2730218533	w3	9	241.576523966966	-19.5097652578915	02108a123	WISE	
02108a123-w4-int-1b	-9999	55249.2730218533	w4	9	241.576523966966	-19.5097652578915	02108a123	WISE	
02109b146-w1-int-1b	-9999	55249.3391044563	w1	8	241.576802064587	-19.5097891210537	02109b146	WISE	
02109b146-w2-int-1b	-9999	55249.3391044563	w2	8	241.576802064587	-19.5097891210537	02109b146	WISE	
02109b146-w3-int-1b	-9999	55249.3391102433	w3	9	241.57680208894	-19.5097891231434	02109b146	WISE	
02109b146-w4-int-1b	-9999	55249.3391102433	w4	9	241.57680208894	-19.5097891231434	02109b146	WISE	
02112a121-w1-int-1b	-9999	55249.4051928463	w1	8	241.577080186561	-19.5098129863056	02112a121	WISE	
02112a121-w2-int-1b	-9999	55249.4051928463	w2	8	241.577080186561	-19.5098129863056	02112a121	WISE	
02112a121-w3-int-1b	-9999	55249.4051986333	w3	9	241.577080210915	-19.5098129883954	02112a121	WISE	
02112a121-w4-int-1b	-9999	55249.4051986333	w4	9	241.577080210915	-19.5098129883954	02112a121	WISE	
02112a122-w1-int-1b	-9999	55249.4053202163	w1	8	241.577080722577	-19.5098130323004	02112a122	WISE	
02112a122-w2-int-1b	-9999	55249.4053202163	w2	8	241.577080722577	-19.5098130323004	02112a122	WISE	
02112a122-w3-int-1b	-9999	55249.4053260033	w3	9	241.57708074693	-19.5098130343901	02112a122	WISE	
02112a122-w4-int-1b	-9999	55249.4053260033	w4	9	241.57708074693	-19.5098130343901	02112a122	WISE	
02116a129-w1-int-1b	-9999	55249.5376242663	w1	8	241.57763750212	-19.5098608087629	02116a129	WISE	
02116a129-w2-int-1b	-9999	55249.5376242663	w2	8	241.57763750212	-19.5098608087629	02116a129	WISE	
02116a129-w3-int-1b	-9999	55249.5376300533	w3	9	241.577637526474	-19.5098608108526	02116a129	WISE	
02116a129-w4-int-1b	-9999	55249.5376300533	w4	9	241.577637526474	-19.5098608108526	02116a129	WISE	
02120a127-w1-int-1b	-9999	55249.6699283763	w1	8	241.578194281917	-19.509908585247	02120a127	WISE	
02120a127-w2-int-1b	-9999	55249.6699283763	w2	8	241.578194281917	-19.509908585247	02120a127	WISE	
02120a127-w3-int-1b	-9999	55249.6699341633	w3	9	241.57819430627	-19.5099085873368	02120a127	WISE	
02120a127-w4-int-1b	-9999	55249.6699341633	w4	9	241.57819430627	-19.5099085873368	02120a127	WISE	
02124a126-w1-int-1b	-9999	55249.8022324763	w1	8	241.578751061671	-19.5099563617276	02124a126	WISE	
02124a126-w2-int-1b	-9999	55249.8022324763	w2	8	241.578751061671	-19.5099563617276	02124a126	WISE	
02124a126-w3-int-1b	-9999	55249.8022382633	w3	9	241.578751086024	-19.5099563638173	02124a126	WISE	
02124a126-w4-int-1b	-9999	55249.8022382633	w4	9	241.578751086024	-19.5099563638173	02124a126	WISE	
rings.v3.skycell.0938.017.wrp.z.55256_61163	-9999	55256.6122023111	z	30	241.596614744459	-19.5105368551704	0938.017	Pan-STARRS1	
rings.v3.skycell.0938.017.wrp.z.55256_61698	-9999	55256.6175517111	z	30	241.596621208317	-19.5105359636037	0938.017	Pan-STARRS1	
rings.v3.skycell.0938.017.wrp.z.55256_62064	-9999	55256.6212134111	z	30	241.596625632872	-19.5105353533204	0938.017	Pan-STARRS1	
rings.v3.skycell.0938.017.wrp.z.55256_62605	-9999	55256.6266240111	z	30	241.59663217068	-19.5105344515537	0938.017	Pan-STARRS1	
rings.v3.skycell.0938.019.wrp.i.55326_46959	-9999	55326.4702555167	i	45	240.78941606514	-19.3460698751457	0938.019	Pan-STARRS1	
rings.v3.skycell.0938.019.wrp.i.55326_47713	-9999	55326.4777940167	i	45	240.789263096411	-19.3460416057707	0938.019	Pan-STARRS1	
rings.v3.skycell.0938.019.wrp.r.55327_48574	-9999	55327.4863762815	r	40	240.768716218574	-19.3422459118254	0938.019	Pan-STARRS1	
rings.v3.skycell.0938.019.wrp.r.55327_48701	-9999	55327.4876395815	r	40	240.768690373562	-19.3422411393588	0938.019	Pan-STARRS1	
rings.v3.skycell.0938.019.wrp.r.55327_49736	-9999	55327.4979881815	r	40	240.768478658453	-19.3422020446477	0938.019	Pan-STARRS1	
rings.v3.skycell.0938.019.wrp.r.55327_49862	-9999	55327.4992577815	r	40	240.768452684553	-19.342197248381	0938.019	Pan-STARRS1	
rings.v3.skycell.0937.010.wrp.g.55328_48089	-9999	55328.4815439426	g	43	240.74833668251	-19.3384863895502	0937.010	Pan-STARRS1	
