Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
02421b124-w1-int-1b	-9999	55259.6576680463	w1	8	256.095971568432	-4.27958647606301	02421b124	WISE	
02421b124-w2-int-1b	-9999	55259.6576680463	w2	8	256.095971568432	-4.27958647606301	02421b124	WISE	
02421b124-w3-int-1b	-9999	55259.6576738333	w3	9	256.095971622444	-4.2795864144957	02421b124	WISE	
02421b124-w4-int-1b	-9999	55259.6576738333	w4	9	256.095971622444	-4.2795864144957	02421b124	WISE	
02425b124-w1-int-1b	-9999	55259.7899720863	w1	8	256.097206406139	-4.27817890808187	02425b124	WISE	
02425b124-w2-int-1b	-9999	55259.7899720863	w2	8	256.097206406139	-4.27817890808187	02425b124	WISE	
02425b124-w3-int-1b	-9999	55259.7899778733	w3	9	256.097206460151	-4.27817884651464	02425b124	WISE	
02425b124-w4-int-1b	-9999	55259.7899778733	w4	9	256.097206460151	-4.27817884651464	02425b124	WISE	
02429b124-w1-int-1b	-9999	55259.9222760663	w1	8	256.098441243286	-4.27677134073905	02429b124	WISE	
02429b124-w2-int-1b	-9999	55259.9222760663	w2	8	256.098441243286	-4.27677134073905	02429b124	WISE	
02429b124-w3-int-1b	-9999	55259.9222818533	w3	9	256.098441297298	-4.27677127917181	02429b124	WISE	
02429b124-w4-int-1b	-9999	55259.9222818533	w4	9	256.098441297298	-4.27677127917181	02429b124	WISE	
02433b124-w1-int-1b	-9999	55260.0545800563	w1	8	256.099635145483	-4.27535922495191	02433b124	WISE	
02433b124-w2-int-1b	-9999	55260.0545800563	w2	8	256.099635145483	-4.27535922495191	02433b124	WISE	
02433b124-w3-int-1b	-9999	55260.0545858433	w3	9	256.099635195155	-4.27535916290235	02433b124	WISE	
02433b124-w4-int-1b	-9999	55260.0545858433	w4	9	256.099635195155	-4.27535916290235	02433b124	WISE	
02436a099-w1-int-1b	-9999	55260.1207957663	w1	8	256.100203496994	-4.27464924539468	02436a099	WISE	
02436a099-w2-int-1b	-9999	55260.1207957663	w2	8	256.100203496994	-4.27464924539468	02436a099	WISE	
02436a099-w3-int-1b	-9999	55260.1208015533	w3	9	256.100203546666	-4.2746491833452	02436a099	WISE	
02436a099-w4-int-1b	-9999	55260.1208015533	w4	9	256.100203546666	-4.2746491833452	02436a099	WISE	
02437b124-w1-int-1b	-9999	55260.1868840463	w1	8	256.100770754731	-4.27394063217023	02437b124	WISE	
02437b124-w2-int-1b	-9999	55260.1868840463	w2	8	256.100770754731	-4.27394063217023	02437b124	WISE	
02437b124-w3-int-1b	-9999	55260.1868898333	w3	9	256.100770804403	-4.27394057012075	02437b124	WISE	
02437b124-w4-int-1b	-9999	55260.1868898333	w4	9	256.100770804403	-4.27394057012075	02437b124	WISE	
02440a099-w1-int-1b	-9999	55260.2530996963	w1	8	256.101339105727	-4.2732306532563	02440a099	WISE	
02440a099-w2-int-1b	-9999	55260.2530996963	w2	8	256.101339105727	-4.2732306532563	02440a099	WISE	
02440a099-w3-int-1b	-9999	55260.2531054833	w3	9	256.101339155399	-4.27323059120682	02440a099	WISE	
02440a099-w4-int-1b	-9999	55260.2531054833	w4	9	256.101339155399	-4.27323059120682	02440a099	WISE	
02441b123-w1-int-1b	-9999	55260.3191879863	w1	8	256.101906363549	-4.27252203992466	02441b123	WISE	
02441b123-w2-int-1b	-9999	55260.3191879863	w2	8	256.101906363549	-4.27252203992466	02441b123	WISE	
02441b123-w3-int-1b	-9999	55260.3191937733	w3	9	256.101906413221	-4.27252197787518	02441b123	WISE	
02441b123-w4-int-1b	-9999	55260.3191937733	w4	9	256.101906413221	-4.27252197787518	02441b123	WISE	
02441b124-w1-int-1b	-9999	55260.3193153463	w1	8	256.101907456723	-4.27252067434245	02441b124	WISE	
02441b124-w2-int-1b	-9999	55260.3193153463	w2	8	256.101907456723	-4.27252067434245	02441b124	WISE	
02441b124-w3-int-1b	-9999	55260.3193211333	w3	9	256.101907506394	-4.27252061229297	02441b124	WISE	
02441b124-w4-int-1b	-9999	55260.3193211333	w4	9	256.101907506394	-4.27252061229297	02441b124	WISE	
02444a099-w1-int-1b	-9999	55260.3854036963	w1	8	256.10247471506	-4.27181206036742	02444a099	WISE	
02444a099-w2-int-1b	-9999	55260.3854036963	w2	8	256.10247471506	-4.27181206036742	02444a099	WISE	
02444a099-w3-int-1b	-9999	55260.3854094833	w3	9	256.102474764732	-4.27181199831794	02444a099	WISE	
02444a099-w4-int-1b	-9999	55260.3854094833	w4	9	256.102474764732	-4.27181199831794	02444a099	WISE	
02448a099-w1-int-1b	-9999	55260.5177076763	w1	8	256.103610324222	-4.27039346769301	02448a099	WISE	
02448a099-w2-int-1b	-9999	55260.5177076763	w2	8	256.103610324222	-4.27039346769301	02448a099	WISE	
02448a099-w3-int-1b	-9999	55260.5177134633	w3	9	256.103610373893	-4.27039340564353	02448a099	WISE	
02448a099-w4-int-1b	-9999	55260.5177134633	w4	9	256.103610373893	-4.27039340564353	02448a099	WISE	
02452a099-w1-int-1b	-9999	55260.6500116663	w1	8	256.104745933469	-4.26897487491132	02452a099	WISE	
02452a099-w2-int-1b	-9999	55260.6500116663	w2	8	256.104745933469	-4.26897487491132	02452a099	WISE	
02452a099-w3-int-1b	-9999	55260.6500174533	w3	9	256.104745983141	-4.26897481286184	02452a099	WISE	
02452a099-w4-int-1b	-9999	55260.6500174533	w4	9	256.104745983141	-4.26897481286184	02452a099	WISE	
02452a100-w1-int-1b	-9999	55260.6501389863	w1	8	256.104747026299	-4.26897350975803	02452a100	WISE	
02452a100-w2-int-1b	-9999	55260.6501389863	w2	8	256.104747026299	-4.26897350975803	02452a100	WISE	
02452a100-w3-int-1b	-9999	55260.6501447733	w3	9	256.104747075971	-4.26897344770847	02452a100	WISE	
02452a100-w4-int-1b	-9999	55260.6501447733	w4	9	256.104747075971	-4.26897344770847	02452a100	WISE	
02456a099-w1-int-1b	-9999	55260.7824430163	w1	8	256.10588263589	-4.26755491654743	02456a099	WISE	
02456a099-w2-int-1b	-9999	55260.7824430163	w2	8	256.10588263589	-4.26755491654743	02456a099	WISE	
02456a099-w3-int-1b	-9999	55260.7824488033	w3	9	256.105882685562	-4.26755485449794	02456a099	WISE	
02456a099-w4-int-1b	-9999	55260.7824488033	w4	9	256.105882685562	-4.26755485449794	02456a099	WISE	
02520a096-w1-int-1b	-9999	55262.8995615063	w1	8	256.121992709065	-4.24459645355619	02520a096	WISE	
02520a096-w2-int-1b	-9999	55262.8995615063	w2	8	256.121992709065	-4.24459645355619	02520a096	WISE	
02520a096-w3-int-1b	-9999	55262.8995672933	w3	9	256.121992750298	-4.24459639038146	02520a096	WISE	
02520a096-w4-int-1b	-9999	55262.8995672933	w4	9	256.121992750298	-4.24459639038146	02520a096	WISE	
02520a097-w1-int-1b	-9999	55262.8996889163	w1	8	256.121993616862	-4.2445950626637	02520a097	WISE	
02520a097-w2-int-1b	-9999	55262.8996889163	w2	8	256.121993616862	-4.2445950626637	02520a097	WISE	
02520a097-w3-int-1b	-9999	55262.8996947033	w3	9	256.121993658094	-4.24459499948896	02520a097	WISE	
02520a097-w4-int-1b	-9999	55262.8996947033	w4	9	256.121993658094	-4.24459499948896	02520a097	WISE	
02521b121-w1-int-1b	-9999	55262.9657772063	w1	8	256.122464495928	-4.24387359883122	02521b121	WISE	
02521b121-w2-int-1b	-9999	55262.9657772063	w2	8	256.122464495928	-4.24387359883122	02521b121	WISE	
02521b121-w3-int-1b	-9999	55262.9657829933	w3	9	256.12246453716	-4.24387353565649	02521b121	WISE	
02521b121-w4-int-1b	-9999	55262.9657829933	w4	9	256.12246453716	-4.24387353565649	02521b121	WISE	
02524a096-w1-int-1b	-9999	55263.0318655463	w1	8	256.122911476191	-4.24315036414479	02524a096	WISE	
02524a096-w2-int-1b	-9999	55263.0318655463	w2	8	256.122911476191	-4.24315036414479	02524a096	WISE	
02524a096-w3-int-1b	-9999	55263.0318713333	w3	9	256.122911513083	-4.24315030064847	02524a096	WISE	
