Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
IB2K79CKQ_FLT	-9999	55259.9907764699	F606W	129	257.783951192153	-19.2014580235304	2001KA77	HST/WFC3	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/ib2k79ckq_flt.fits
IB2K79CLQ_FLT	-9999	55259.9931605324	F814W	129	257.783963807817	-19.2014545136606	2001KA77	HST/WFC3	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/ib2k79clq_flt.fits
IB2K79CMQ_FLT	-9999	55259.9959731134	F606W	129	257.783978691058	-19.2014503729163	2001KA77	HST/WFC3	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/ib2k79cmq_flt.fits
IB2K79CNQ_FLT	-9999	55259.9983571759	F814W	129	257.783991306722	-19.2014468630465	2001KA77	HST/WFC3	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/ib2k79cnq_flt.fits
IB2K79COQ_FLT	-9999	55260.0053069796	F139M	453	257.784026313774	-19.2014363365589	2001KA77	HST/WFC3	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/ib2k79coq_flt.fits
IB2K79CPQ_FLT	-9999	55260.0108625351	F153M	453	257.78405386007	-19.2014278489047	2001KA77	HST/WFC3	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/ib2k79cpq_flt.fits
IB2K79D5Q_FLT	-9999	55260.0535940166	F139M	453	257.784265736999	-19.2013625646968	2001KA77	HST/WFC3	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/ib2k79d5q_flt.fits
IB2K79D6Q_FLT	-9999	55260.0591492249	F153M	453	257.784293281573	-19.201354077573	2001KA77	HST/WFC3	https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/HST/product/ib2k79d6q_flt.fits
02504a123-w1-int-1b	-9999	55262.3730196563	w1	8	257.795069791053	-19.1977704966553	02504a123	WISE	
02504a123-w2-int-1b	-9999	55262.3730196563	w2	8	257.795069791053	-19.1977704966553	02504a123	WISE	
02504a123-w3-int-1b	-9999	55262.3730254433	w3	9	257.795069815407	-19.1977704874926	02504a123	WISE	
02504a123-w4-int-1b	-9999	55262.3730254433	w4	9	257.795069815407	-19.1977704874926	02504a123	WISE	
02577b144-w1-int-1b	-9999	55264.8209618763	w1	8	257.804380826489	-19.1938212013694	02577b144	WISE	
02577b144-w2-int-1b	-9999	55264.8209618763	w2	8	257.804380826489	-19.1938212013694	02577b144	WISE	
02577b144-w3-int-1b	-9999	55264.8209676633	w3	9	257.804380846502	-19.1938211918852	02577b144	WISE	
02577b144-w4-int-1b	-9999	55264.8209676633	w4	9	257.804380846502	-19.1938211918852	02577b144	WISE	
02581b144-w1-int-1b	-9999	55264.9532659063	w1	8	257.804838377926	-19.1936043697647	02581b144	WISE	
