Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.0854.053.wrp.z.55250_65889	-9999	55250.6596341222	z	60	249.00969010655	-21.6898280589249	0854.053	Pan-STARRS1	
rings.v3.skycell.0854.054.wrp.z.55250_65889	-9999	55250.6596341222	z	60	249.00969010655	-21.6898280589249	0854.054	Pan-STARRS1	
02289b152-w1-int-1b	-9999	55255.2940593263	w1	8	249.035227681163	-21.6927221946819	02289b152	WISE	
02289b152-w2-int-1b	-9999	55255.2940593263	w2	8	249.035227681163	-21.6927221946819	02289b152	WISE	
02289b152-w3-int-1b	-9999	55255.2940651133	w3	9	249.035227706964	-21.6927221974146	02289b152	WISE	
02289b152-w4-int-1b	-9999	55255.2940651133	w4	9	249.035227706964	-21.6927221974146	02289b152	WISE	
02294a081-w1-int-1b	-9999	55255.4263634063	w1	8	249.035817536853	-21.6927846716085	02294a081	WISE	
02294a081-w2-int-1b	-9999	55255.4263634063	w2	8	249.035817536853	-21.6927846716085	02294a081	WISE	
02294a081-w3-int-1b	-9999	55255.4263691933	w3	9	249.035817562654	-21.6927846743413	02294a081	WISE	
02294a081-w4-int-1b	-9999	55255.4263691933	w4	9	249.035817562654	-21.6927846743413	02294a081	WISE	
02294a082-w1-int-1b	-9999	55255.4264907663	w1	8	249.035818104667	-21.6927847317508	02294a082	WISE	
02294a082-w2-int-1b	-9999	55255.4264907663	w2	8	249.035818104667	-21.6927847317508	02294a082	WISE	
02294a082-w3-int-1b	-9999	55255.4264965533	w3	9	249.035818130467	-21.6927847344835	02294a082	WISE	
02294a082-w4-int-1b	-9999	55255.4264965533	w4	9	249.035818130467	-21.6927847344835	02294a082	WISE	
02297b152-w1-int-1b	-9999	55255.5586674663	w1	8	249.036407392454	-21.6928471485258	02297b152	WISE	
02297b152-w2-int-1b	-9999	55255.5586674663	w2	8	249.036407392454	-21.6928471485258	02297b152	WISE	
02297b152-w3-int-1b	-9999	55255.5586732533	w3	9	249.036407418254	-21.6928471512585	02297b152	WISE	
02297b152-w4-int-1b	-9999	55255.5586732533	w4	9	249.036407418254	-21.6928471512585	02297b152	WISE	
02297b153-w1-int-1b	-9999	55255.5587947763	w1	8	249.036407960044	-21.6928472086444	02297b153	WISE	
02297b153-w2-int-1b	-9999	55255.5587947763	w2	8	249.036407960044	-21.6928472086444	02297b153	WISE	
02297b153-w3-int-1b	-9999	55255.5588005633	w3	9	249.036407985845	-21.6928472113771	02297b153	WISE	
02297b153-w4-int-1b	-9999	55255.5588005633	w4	9	249.036407985845	-21.6928472113771	02297b153	WISE	
02300a127-w1-int-1b	-9999	55255.6248831563	w1	8	249.036702604072	-21.692878417046	02300a127	WISE	
02300a127-w2-int-1b	-9999	55255.6248831563	w2	8	249.036702604072	-21.692878417046	02300a127	WISE	
02300a127-w3-int-1b	-9999	55255.6248889433	w3	9	249.036702629872	-21.6928784197788	02300a127	WISE	
02300a127-w4-int-1b	-9999	55255.6248889433	w4	9	249.036702629872	-21.6928784197788	02300a127	WISE	
02301b153-w1-int-1b	-9999	55255.6910988463	w1	8	249.03699781569	-21.6929096855663	02301b153	WISE	
02301b153-w2-int-1b	-9999	55255.6910988463	w2	8	249.03699781569	-21.6929096855663	02301b153	WISE	
02301b153-w3-int-1b	-9999	55255.6911046333	w3	9	249.03699784149	-21.6929096882991	02301b153	WISE	
02301b153-w4-int-1b	-9999	55255.6911046333	w4	9	249.03699784149	-21.6929096882991	02301b153	WISE	
02304a127-w1-int-1b	-9999	55255.7571872263	w1	8	249.037292459717	-21.692940893968	02304a127	WISE	
02304a127-w2-int-1b	-9999	55255.7571872263	w2	8	249.037292459717	-21.692940893968	02304a127	WISE	
02304a127-w3-int-1b	-9999	55255.7571930133	w3	9	249.037292485518	-21.6929408967007	02304a127	WISE	
02304a127-w4-int-1b	-9999	55255.7571930133	w4	9	249.037292485518	-21.6929408967007	02304a127	WISE	
02304a128-w1-int-1b	-9999	55255.7573145863	w1	8	249.037293027531	-21.6929409541102	02304a128	WISE	
02304a128-w2-int-1b	-9999	55255.7573145863	w2	8	249.037293027531	-21.6929409541102	02304a128	WISE	
02304a128-w3-int-1b	-9999	55255.7573203733	w3	9	249.037293053331	-21.692940956843	02304a128	WISE	
02304a128-w4-int-1b	-9999	55255.7573203733	w4	9	249.037293053331	-21.692940956843	02304a128	WISE	
02305b153-w1-int-1b	-9999	55255.8234029663	w1	8	249.037587671558	-21.6929721625119	02305b153	WISE	
02305b153-w2-int-1b	-9999	55255.8234029663	w2	8	249.037587671558	-21.6929721625119	02305b153	WISE	
02305b153-w3-int-1b	-9999	55255.8234087533	w3	9	249.037587697359	-21.6929721652446	02305b153	WISE	
02305b153-w4-int-1b	-9999	55255.8234087533	w4	9	249.037587697359	-21.6929721652446	02305b153	WISE	
02308a127-w1-int-1b	-9999	55255.8894913263	w1	8	249.037882315496	-21.6930033709041	02308a127	WISE	
02308a127-w2-int-1b	-9999	55255.8894913263	w2	8	249.037882315496	-21.6930033709041	02308a127	WISE	
02308a127-w3-int-1b	-9999	55255.8894971133	w3	9	249.037882341297	-21.6930033736369	02308a127	WISE	
02308a127-w4-int-1b	-9999	55255.8894971133	w4	9	249.037882341297	-21.6930033736369	02308a127	WISE	
02308a128-w1-int-1b	-9999	55255.8896186463	w1	8	249.037882883131	-21.6930034310275	02308a128	WISE	
02308a128-w2-int-1b	-9999	55255.8896186463	w2	8	249.037882883131	-21.6930034310275	02308a128	WISE	
02308a128-w3-int-1b	-9999	55255.8896244333	w3	9	249.037882908932	-21.6930034337602	02308a128	WISE	
02308a128-w4-int-1b	-9999	55255.8896244333	w4	9	249.037882908932	-21.6930034337602	02308a128	WISE	
02309b152-w1-int-1b	-9999	55255.9557070263	w1	8	249.038177527159	-21.6930346394291	02309b152	WISE	
02309b152-w2-int-1b	-9999	55255.9557070263	w2	8	249.038177527159	-21.6930346394291	02309b152	WISE	
02309b152-w3-int-1b	-9999	55255.9557128133	w3	9	249.038177552959	-21.6930346421619	02309b152	WISE	
