Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
06497b149-w1-int-1b	-9999	55394.4816519563	w1	8	23.0055389922277	10.884466489776	06497b149	WISE	
06497b149-w2-int-1b	-9999	55394.4816519563	w2	8	23.0055389922277	10.884466489776	06497b149	WISE	
06497b149-w3-int-1b	-9999	55394.4816577433	w3	9	23.005539006213	10.8844665047258	06497b149	WISE	
06497b149-w4-int-1b	-9999	55394.4816577433	w4	9	23.005539006213	10.8844665047258	06497b149	WISE	
06501b149-w1-int-1b	-9999	55394.6139556563	w1	8	23.0058587261694	10.8848082743343	06501b149	WISE	
06501b149-w2-int-1b	-9999	55394.6139556563	w2	8	23.0058587261694	10.8848082743343	06501b149	WISE	
06501b149-w3-int-1b	-9999	55394.6139614433	w3	9	23.0058587401547	10.8848082892841	06501b149	WISE	
06501b149-w4-int-1b	-9999	55394.6139614433	w4	9	23.0058587401547	10.8848082892841	06501b149	WISE	
06505b148-w1-int-1b	-9999	55394.7461320563	w1	8	23.0061781524694	10.8851497300344	06505b148	WISE	
06505b148-w2-int-1b	-9999	55394.7461320563	w2	8	23.0061781524694	10.8851497300344	06505b148	WISE	
06505b148-w3-int-1b	-9999	55394.7461378433	w3	9	23.0061781664547	10.8851497449841	06505b148	WISE	
06505b148-w4-int-1b	-9999	55394.7461378433	w4	9	23.0061781664547	10.8851497449841	06505b148	WISE	
06505b149-w1-int-1b	-9999	55394.7462594263	w1	8	23.0061784602802	10.8851500590735	06505b149	WISE	
06505b149-w2-int-1b	-9999	55394.7462594263	w2	8	23.0061784602802	10.8851500590735	06505b149	WISE	
06505b149-w3-int-1b	-9999	55394.7462652133	w3	9	23.0061784742655	10.8851500740233	06505b149	WISE	
06505b149-w4-int-1b	-9999	55394.7462652133	w4	9	23.0061784742655	10.8851500740233	06505b149	WISE	
06509b148-w1-int-1b	-9999	55394.8784358663	w1	8	23.0064978866769	10.8854915148769	06509b148	WISE	
06509b148-w2-int-1b	-9999	55394.8784358663	w2	8	23.0064978866769	10.8854915148769	06509b148	WISE	
06509b148-w3-int-1b	-9999	55394.8784416533	w3	9	23.0064979006622	10.8854915298266	06509b148	WISE	
06509b148-w4-int-1b	-9999	55394.8784416533	w4	9	23.0064979006622	10.8854915298266	06509b148	WISE	
