Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.0853.058.wrp.y.55243_64037	-9999	55243.6409392111	y	30	242.590711965816	-21.6498131982469	0853.058	Pan-STARRS1	
02129b154-w1-int-1b	-9999	55250.0011343863	w1	8	242.628588201741	-21.6623352554879	02129b154	WISE	
02129b154-w2-int-1b	-9999	55250.0011343863	w2	8	242.628588201741	-21.6623352554879	02129b154	WISE	
02129b154-w3-int-1b	-9999	55250.0011401733	w3	9	242.628588226577	-21.6623352652936	02129b154	WISE	
02129b154-w4-int-1b	-9999	55250.0011401733	w4	9	242.628588226577	-21.6623352652936	02129b154	WISE	
02134a085-w1-int-1b	-9999	55250.1334384863	w1	8	242.629156006837	-21.6625594374351	02134a085	WISE	
02134a085-w2-int-1b	-9999	55250.1334384863	w2	8	242.629156006837	-21.6625594374351	02134a085	WISE	
02134a085-w3-int-1b	-9999	55250.1334442733	w3	9	242.629156031673	-21.6625594472408	02134a085	WISE	
02134a085-w4-int-1b	-9999	55250.1334442733	w4	9	242.629156031673	-21.6625594472408	02134a085	WISE	
02137b154-w1-int-1b	-9999	55250.2657424963	w1	8	242.629723811546	-21.6627836192298	02137b154	WISE	
02137b154-w2-int-1b	-9999	55250.2657424963	w2	8	242.629723811546	-21.6627836192298	02137b154	WISE	
02137b154-w3-int-1b	-9999	55250.2657482833	w3	9	242.629723836382	-21.6627836290356	02137b154	WISE	
02137b154-w4-int-1b	-9999	55250.2657482833	w4	9	242.629723836382	-21.6627836290356	02137b154	WISE	
02140a129-w1-int-1b	-9999	55250.3319582063	w1	8	242.630007987302	-21.6628958180718	02140a129	WISE	
02140a129-w2-int-1b	-9999	55250.3319582063	w2	8	242.630007987302	-21.6628958180718	02140a129	WISE	
02140a129-w3-int-1b	-9999	55250.3319639933	w3	9	242.630008012138	-21.6628958278775	02140a129	WISE	
02140a129-w4-int-1b	-9999	55250.3319639933	w4	9	242.630008012138	-21.6628958278775	02140a129	WISE	
02141b154-w1-int-1b	-9999	55250.3980465963	w1	8	242.630291616642	-21.6630078011771	02141b154	WISE	
02141b154-w2-int-1b	-9999	55250.3980465963	w2	8	242.630291616642	-21.6630078011771	02141b154	WISE	
02141b154-w3-int-1b	-9999	55250.3980523833	w3	9	242.630291641478	-21.6630078109828	02141b154	WISE	
02141b154-w4-int-1b	-9999	55250.3980523833	w4	9	242.630291641478	-21.6630078109828	02141b154	WISE	
02144a085-w1-int-1b	-9999	55250.4642623563	w1	8	242.630575792612	-21.6631200001037	02144a085	WISE	
02144a085-w2-int-1b	-9999	55250.4642623563	w2	8	242.630575792612	-21.6631200001037	02144a085	WISE	
02144a085-w3-int-1b	-9999	55250.4642681433	w3	9	242.630575817448	-21.6631200099095	02144a085	WISE	
02144a085-w4-int-1b	-9999	55250.4642681433	w4	9	242.630575817448	-21.6631200099095	02144a085	WISE	
02146a090-w1-int-1b	-9999	55250.5303507063	w1	8	242.630859421781	-21.6632319831412	02146a090	WISE	
02146a090-w2-int-1b	-9999	55250.5303507063	w2	8	242.630859421781	-21.6632319831412	02146a090	WISE	
02146a090-w3-int-1b	-9999	55250.5303564933	w3	9	242.630859446617	-21.663231992947	02146a090	WISE	
02146a090-w4-int-1b	-9999	55250.5303564933	w4	9	242.630859446617	-21.663231992947	02146a090	WISE	
02146a091-w1-int-1b	-9999	55250.5304780663	w1	8	242.630859968368	-21.6632321989457	02146a091	WISE	
02146a091-w2-int-1b	-9999	55250.5304780663	w2	8	242.630859968368	-21.6632321989457	02146a091	WISE	
02146a091-w3-int-1b	-9999	55250.5304838533	w3	9	242.630859993204	-21.6632322087514	02146a091	WISE	
02146a091-w4-int-1b	-9999	55250.5304838533	w4	9	242.630859993204	-21.6632322087514	02146a091	WISE	
02148a129-w1-int-1b	-9999	55250.5965664163	w1	8	242.631143597536	-21.6633441819832	02148a129	WISE	
02148a129-w2-int-1b	-9999	55250.5965664163	w2	8	242.631143597536	-21.6633441819832	02148a129	WISE	
02148a129-w3-int-1b	-9999	55250.5965722033	w3	9	242.631143622372	-21.6633441917889	02148a129	WISE	
02148a129-w4-int-1b	-9999	55250.5965722033	w4	9	242.631143622372	-21.6633441917889	02148a129	WISE	
02149b154-w1-int-1b	-9999	55250.6627821263	w1	8	242.631427773292	-21.6634563808251	02149b154	WISE	
02149b154-w2-int-1b	-9999	55250.6627821263	w2	8	242.631427773292	-21.6634563808251	02149b154	WISE	
02149b154-w3-int-1b	-9999	55250.6627879133	w3	9	242.631427798128	-21.6634563906309	02149b154	WISE	
