Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
06649b156-w4-int-1b	-9999	55399.5093293933	w4	9	28.9207409862099	10.4653966633833	06649b156	WISE	
06653b156-w1-int-1b	-9999	55399.6416273463	w1	8	28.9212040290453	10.4655069116775	06653b156	WISE	
06653b156-w2-int-1b	-9999	55399.6416273463	w2	8	28.9212040290453	10.4655069116775	06653b156	WISE	
06653b156-w3-int-1b	-9999	55399.6416331333	w3	9	28.9212040492999	10.4655069165	06653b156	WISE	
06653b156-w4-int-1b	-9999	55399.6416331333	w4	9	28.9212040492999	10.4655069165	06653b156	WISE	
06657b155-w1-int-1b	-9999	55399.7738037663	w1	8	28.9216666465154	10.4656170586942	06657b155	WISE	
06657b155-w2-int-1b	-9999	55399.7738037663	w2	8	28.9216666465154	10.4656170586942	06657b155	WISE	
06657b155-w3-int-1b	-9999	55399.7738095533	w3	9	28.9216666667698	10.4656170635167	06657b155	WISE	
06657b155-w4-int-1b	-9999	55399.7738095533	w4	9	28.9216666667698	10.4656170635167	06657b155	WISE	
06661b155-w1-int-1b	-9999	55399.9061075763	w1	8	28.9221297098504	10.4657273118692	06661b155	WISE	
06661b155-w2-int-1b	-9999	55399.9061075763	w2	8	28.9221297098504	10.4657273118692	06661b155	WISE	
06661b155-w3-int-1b	-9999	55399.9061133633	w3	9	28.9221297301048	10.4657273166917	06661b155	WISE	
06661b155-w4-int-1b	-9999	55399.9061133633	w4	9	28.9221297301048	10.4657273166917	06661b155	WISE	
06664a130-w1-int-1b	-9999	55399.9723231863	w1	8	28.9223614644854	10.4657824915442	06664a130	WISE	
06664a130-w2-int-1b	-9999	55399.9723231863	w2	8	28.9223614644854	10.4657824915442	06664a130	WISE	
06664a130-w3-int-1b	-9999	55399.9723289733	w3	9	28.9223614847399	10.4657824963667	06664a130	WISE	
06664a130-w4-int-1b	-9999	55399.9723289733	w4	9	28.9223614847399	10.4657824963667	06664a130	WISE	
06665b155-w1-int-1b	-9999	55400.0384114163	w1	8	28.9225815699606	10.4658322301503	06665b155	WISE	
06665b155-w2-int-1b	-9999	55400.0384114163	w2	8	28.9225815699606	10.4658322301503	06665b155	WISE	
06665b155-w3-int-1b	-9999	55400.0384172033	w3	9	28.9225815885272	10.465832234169	06665b155	WISE	
06665b155-w4-int-1b	-9999	55400.0384172033	w4	9	28.9225815885272	10.465832234169	06665b155	WISE	
06668a131-w1-int-1b	-9999	55400.1046269563	w1	8	28.9227940114848	10.4658782131641	06668a131	WISE	
06668a131-w2-int-1b	-9999	55400.1046269563	w2	8	28.9227940114848	10.4658782131641	06668a131	WISE	
06668a131-w3-int-1b	-9999	55400.1046327433	w3	9	28.9227940300514	10.4658782171829	06668a131	WISE	
06668a131-w4-int-1b	-9999	55400.1046327433	w4	9	28.9227940300514	10.4658782171829	06668a131	WISE	
06669b155-w1-int-1b	-9999	55400.1707151863	w1	8	28.923006044556	10.4659241077683	06669b155	WISE	
06669b155-w2-int-1b	-9999	55400.1707151863	w2	8	28.923006044556	10.4659241077683	06669b155	WISE	
06669b155-w3-int-1b	-9999	55400.1707209733	w3	9	28.9230060631226	10.4659241117871	06669b155	WISE	
06669b155-w4-int-1b	-9999	55400.1707209733	w4	9	28.9230060631226	10.4659241117871	06669b155	WISE	
06672a129-w1-int-1b	-9999	55400.2368033263	w1	8	28.9232180773385	10.46597000231	06672a129	WISE	
06672a129-w2-int-1b	-9999	55400.2368033263	w2	8	28.9232180773385	10.46597000231	06672a129	WISE	
06672a129-w3-int-1b	-9999	55400.2368091133	w3	9	28.9232180959052	10.4659700063287	06672a129	WISE	
06672a129-w4-int-1b	-9999	55400.2368091133	w4	9	28.9232180959052	10.4659700063287	06672a129	WISE	
06672a131-w1-int-1b	-9999	55400.2369307263	w1	8	28.9232184860802	10.4659700907822	06672a131	WISE	
06672a131-w2-int-1b	-9999	55400.2369307263	w2	8	28.9232184860802	10.4659700907822	06672a131	WISE	
06672a131-w3-int-1b	-9999	55400.2369365133	w3	9	28.9232185046468	10.4659700948009	06672a131	WISE	
06672a131-w4-int-1b	-9999	55400.2369365133	w4	9	28.9232185046468	10.4659700948009	06672a131	WISE	
06673b155-w1-int-1b	-9999	55400.3030188663	w1	8	28.9234305188627	10.4660159853239	06673b155	WISE	
06673b155-w2-int-1b	-9999	55400.3030188663	w2	8	28.9234305188627	10.4660159853239	06673b155	WISE	
06673b155-w3-int-1b	-9999	55400.3030246533	w3	9	28.9234305374293	10.4660159893426	06673b155	WISE	
06673b155-w4-int-1b	-9999	55400.3030246533	w4	9	28.9234305374293	10.4660159893426	06673b155	WISE	
06676a130-w1-int-1b	-9999	55400.3691071063	w1	8	28.923642551966	10.466061879935	06676a130	WISE	
06676a130-w2-int-1b	-9999	55400.3691071063	w2	8	28.923642551966	10.466061879935	06676a130	WISE	
06676a130-w3-int-1b	-9999	55400.3691128933	w3	9	28.9236425705327	10.4660618839537	06676a130	WISE	
06676a130-w4-int-1b	-9999	55400.3691128933	w4	9	28.9236425705327	10.4660618839537	06676a130	WISE	
06676a131-w1-int-1b	-9999	55400.3692344663	w1	8	28.9236429605794	10.4660619683794	06676a131	WISE	
06676a131-w2-int-1b	-9999	55400.3692344663	w2	8	28.9236429605794	10.4660619683794	06676a131	WISE	
06676a131-w3-int-1b	-9999	55400.3692402533	w3	9	28.923642979146	10.4660619723982	06676a131	WISE	
06676a131-w4-int-1b	-9999	55400.3692402533	w4	9	28.923642979146	10.4660619723982	06676a131	WISE	
06677b155-w1-int-1b	-9999	55400.4353226963	w1	8	28.9238549936506	10.4661078629836	06677b155	WISE	
