Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
01457b153-w1-int-1b	-9999	55227.7690856363	w1	8	220.561210963977	-15.9688075189544	01457b153	WISE	
01457b153-w2-int-1b	-9999	55227.7690856363	w2	8	220.561210963977	-15.9688075189544	01457b153	WISE	
01457b153-w3-int-1b	-9999	55227.7690914233	w3	9	220.561210986884	-15.9688075258667	01457b153	WISE	
01457b153-w4-int-1b	-9999	55227.7690914233	w4	9	220.561210986884	-15.9688075258667	01457b153	WISE	
01461b153-w1-int-1b	-9999	55227.9013899163	w1	8	220.561734668419	-15.9689655490667	01461b153	WISE	
01461b153-w2-int-1b	-9999	55227.9013899163	w2	8	220.561734668419	-15.9689655490667	01461b153	WISE	
01461b153-w3-int-1b	-9999	55227.9013957033	w3	9	220.561734691326	-15.9689655559789	01461b153	WISE	
01461b153-w4-int-1b	-9999	55227.9013957033	w4	9	220.561734691326	-15.9689655559789	01461b153	WISE	
01461b154-w1-int-1b	-9999	55227.9015172763	w1	8	220.561735172552	-15.9689657011911	01461b154	WISE	
01461b154-w2-int-1b	-9999	55227.9015172763	w2	8	220.561735172552	-15.9689657011911	01461b154	WISE	
01461b154-w3-int-1b	-9999	55227.9015230633	w3	9	220.561735195459	-15.9689657081034	01461b154	WISE	
01461b154-w4-int-1b	-9999	55227.9015230633	w4	9	220.561735195459	-15.9689657081034	01461b154	WISE	
01465b153-w1-int-1b	-9999	55228.0336941863	w1	8	220.562245737501	-15.9691198353685	01465b153	WISE	
01465b153-w2-int-1b	-9999	55228.0336941863	w2	8	220.562245737501	-15.9691198353685	01465b153	WISE	
01465b153-w3-int-1b	-9999	55228.0336999733	w3	9	220.562245758238	-15.9691198416377	01465b153	WISE	
01465b153-w4-int-1b	-9999	55228.0336999733	w4	9	220.562245758238	-15.9691198416377	01465b153	WISE	
01465b154-w1-int-1b	-9999	55228.0338216063	w1	8	220.562246194089	-15.9691199734068	01465b154	WISE	
01465b154-w2-int-1b	-9999	55228.0338216063	w2	8	220.562246194089	-15.9691199734068	01465b154	WISE	
01465b154-w3-int-1b	-9999	55228.0338273933	w3	9	220.562246214826	-15.969119979676	01465b154	WISE	
01465b154-w4-int-1b	-9999	55228.0338273933	w4	9	220.562246214826	-15.969119979676	01465b154	WISE	
