Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
01885b149-w1-int-1b	-9999	55241.9286830363	w1	8	233.869196902904	-18.7278850136413	01885b149	WISE	
01885b149-w2-int-1b	-9999	55241.9286830363	w2	8	233.869196902904	-18.7278850136413	01885b149	WISE	
01885b149-w3-int-1b	-9999	55241.9286888233	w3	9	233.869196927499	-18.7278850184638	01885b149	WISE	
01885b149-w4-int-1b	-9999	55241.9286888233	w4	9	233.869196927499	-18.7278850184638	01885b149	WISE	
01889b149-w1-int-1b	-9999	55242.0609872363	w1	8	233.869731243271	-18.7279884907817	01889b149	WISE	
01889b149-w2-int-1b	-9999	55242.0609872363	w2	8	233.869731243271	-18.7279884907817	01889b149	WISE	
01889b149-w3-int-1b	-9999	55242.0609930233	w3	9	233.869731265213	-18.7279884949612	01889b149	WISE	
01889b149-w4-int-1b	-9999	55242.0609930233	w4	9	233.869731265213	-18.7279884949612	01889b149	WISE	
01889b150-w1-int-1b	-9999	55242.0611145463	w1	8	233.869731725988	-18.7279885827278	01889b150	WISE	
01889b150-w2-int-1b	-9999	55242.0611145463	w2	8	233.869731725988	-18.7279885827278	01889b150	WISE	
01889b150-w3-int-1b	-9999	55242.0611203333	w3	9	233.86973174793	-18.7279885869073	01889b150	WISE	
01889b150-w4-int-1b	-9999	55242.0611203333	w4	9	233.86973174793	-18.7279885869073	01889b150	WISE	
01893b150-w1-int-1b	-9999	55242.1934187163	w1	8	233.870233379299	-18.7280841357395	01893b150	WISE	
01893b150-w2-int-1b	-9999	55242.1934187163	w2	8	233.870233379299	-18.7280841357395	01893b150	WISE	
01893b150-w3-int-1b	-9999	55242.1934245033	w3	9	233.870233401242	-18.728084139919	01893b150	WISE	
01893b150-w4-int-1b	-9999	55242.1934245033	w4	9	233.870233401242	-18.728084139919	01893b150	WISE	
01896a125-w1-int-1b	-9999	55242.2595070863	w1	8	233.870483964369	-18.728131866229	01896a125	WISE	
01896a125-w2-int-1b	-9999	55242.2595070863	w2	8	233.870483964369	-18.728131866229	01896a125	WISE	
01896a125-w3-int-1b	-9999	55242.2595128733	w3	9	233.870483986311	-18.7281318704085	01896a125	WISE	
01896a125-w4-int-1b	-9999	55242.2595128733	w4	9	233.870483986311	-18.7281318704085	01896a125	WISE	
01897b150-w1-int-1b	-9999	55242.3257228663	w1	8	233.870735032535	-18.7281796887368	01897b150	WISE	
01897b150-w2-int-1b	-9999	55242.3257228663	w2	8	233.870735032535	-18.7281796887368	01897b150	WISE	
01897b150-w3-int-1b	-9999	55242.3257286533	w3	9	233.870735054477	-18.7281796929163	01897b150	WISE	
01897b150-w4-int-1b	-9999	55242.3257286533	w4	9	233.870735054477	-18.7281796929163	01897b150	WISE	
01900a125-w1-int-1b	-9999	55242.3918112963	w1	8	233.870985617832	-18.7282274192695	01900a125	WISE	
01900a125-w2-int-1b	-9999	55242.3918112963	w2	8	233.870985617832	-18.7282274192695	01900a125	WISE	
01900a125-w3-int-1b	-9999	55242.3918170833	w3	9	233.870985639774	-18.728227423449	01900a125	WISE	
01900a125-w4-int-1b	-9999	55242.3918170833	w4	9	233.870985639774	-18.728227423449	01900a125	WISE	
01900a126-w1-int-1b	-9999	55242.3919386063	w1	8	233.870986100549	-18.7282275112156	01900a126	WISE	
01900a126-w2-int-1b	-9999	55242.3919386063	w2	8	233.870986100549	-18.7282275112156	01900a126	WISE	
01900a126-w3-int-1b	-9999	55242.3919443933	w3	9	233.870986122491	-18.7282275153951	01900a126	WISE	
01900a126-w4-int-1b	-9999	55242.3919443933	w4	9	233.870986122491	-18.7282275153951	01900a126	WISE	
01902a072-w1-int-1b	-9999	55242.4580270263	w1	8	233.871236685808	-18.7282752417412	01902a072	WISE	
01902a072-w2-int-1b	-9999	55242.4580270263	w2	8	233.871236685808	-18.7282752417412	01902a072	WISE	
01902a072-w3-int-1b	-9999	55242.4580328133	w3	9	233.871236707751	-18.7282752459207	01902a072	WISE	
01902a072-w4-int-1b	-9999	55242.4580328133	w4	9	233.871236707751	-18.7282752459207	01902a072	WISE	
01904a072-w1-int-1b	-9999	55242.5242427663	w1	8	233.871487753822	-18.7283230642201	01904a072	WISE	
01904a072-w2-int-1b	-9999	55242.5242427663	w2	8	233.871487753822	-18.7283230642201	01904a072	WISE	
01904a072-w3-int-1b	-9999	55242.5242485533	w3	9	233.871487775765	-18.7283230683996	01904a072	WISE	
01904a072-w4-int-1b	-9999	55242.5242485533	w4	9	233.871487775765	-18.7283230683996	01904a072	WISE	
01905b149-w1-int-1b	-9999	55242.5903311963	w1	8	233.871738339119	-18.7283707947529	01905b149	WISE	
01905b149-w2-int-1b	-9999	55242.5903311963	w2	8	233.871738339119	-18.7283707947529	01905b149	WISE	
01905b149-w3-int-1b	-9999	55242.5903369833	w3	9	233.871738361062	-18.7283707989324	01905b149	WISE	
01905b149-w4-int-1b	-9999	55242.5903369833	w4	9	233.871738361062	-18.7283707989324	01905b149	WISE	
01908a125-w1-int-1b	-9999	55242.6565469163	w1	8	233.871989407058	-18.7284186172173	01908a125	WISE	
01908a125-w2-int-1b	-9999	55242.6565469163	w2	8	233.871989407058	-18.7284186172173	01908a125	WISE	
01908a125-w3-int-1b	-9999	55242.6565527033	w3	9	233.871989429	-18.7284186213968	01908a125	WISE	
01908a125-w4-int-1b	-9999	55242.6565527033	w4	9	233.871989429	-18.7284186213968	01908a125	WISE	
01909b150-w1-int-1b	-9999	55242.7227627063	w1	8	233.872240475262	-18.7284664397323	01909b150	WISE	
01909b150-w2-int-1b	-9999	55242.7227627063	w2	8	233.872240475262	-18.7284664397323	01909b150	WISE	
01909b150-w3-int-1b	-9999	55242.7227684933	w3	9	233.872240497204	-18.7284664439118	01909b150	WISE	
01909b150-w4-int-1b	-9999	55242.7227684933	w4	9	233.872240497204	-18.7284664439118	01909b150	WISE	
01912a125-w1-int-1b	-9999	55242.7888511363	w1	8	233.872491060559	-18.7285141702651	01912a125	WISE	
01912a125-w2-int-1b	-9999	55242.7888511363	w2	8	233.872491060559	-18.7285141702651	01912a125	WISE	
01912a125-w3-int-1b	-9999	55242.7888569233	w3	9	233.872491082501	-18.7285141744446	01912a125	WISE	
01912a125-w4-int-1b	-9999	55242.7888569233	w4	9	233.872491082501	-18.7285141744446	01912a125	WISE	
01916a125-w1-int-1b	-9999	55242.9211553363	w1	8	233.872992713984	-18.7286097232985	01916a125	WISE	
01916a125-w2-int-1b	-9999	55242.9211553363	w2	8	233.872992713984	-18.7286097232985	01916a125	WISE	
01916a125-w3-int-1b	-9999	55242.9211611233	w3	9	233.872992735926	-18.728609727478	01916a125	WISE	
01916a125-w4-int-1b	-9999	55242.9211611233	w4	9	233.872992735926	-18.728609727478	01916a125	WISE	
01920a124-w1-int-1b	-9999	55243.0534595363	w1	8	233.873474320083	-18.7286993363833	01920a124	WISE	
01920a124-w2-int-1b	-9999	55243.0534595363	w2	8	233.873474320083	-18.7286993363833	01920a124	WISE	
01920a124-w3-int-1b	-9999	55243.0534653233	w3	9	233.873474339855	-18.7286993399198	01920a124	WISE	
01920a124-w4-int-1b	-9999	55243.0534653233	w4	9	233.873474339855	-18.7286993399198	01920a124	WISE	
