Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.0856.006.wrp.z.55250_66234	-9999	55250.6630852222	z	60	256.461768994976	-23.7545501833889	0856.006	Pan-STARRS1	
rings.v3.skycell.0856.006.wrp.z.55250_66322	-9999	55250.6639661223	z	60	256.461777987498	-23.7545515047391	0856.006	Pan-STARRS1	
02485b154-w1-int-1b	-9999	55261.7783520863	w1	8	256.547591073801	-23.7690037245403	02485b154	WISE	
02485b154-w2-int-1b	-9999	55261.7783520863	w2	8	256.547591073801	-23.7690037245403	02485b154	WISE	
02485b154-w3-int-1b	-9999	55261.7783578733	w3	9	256.547591105147	-23.7690037309703	02485b154	WISE	
02485b154-w4-int-1b	-9999	55261.7783578733	w4	9	256.547591105147	-23.7690037309703	02485b154	WISE	
02489b154-w1-int-1b	-9999	55261.9106560763	w1	8	256.548307720414	-23.7691507289737	02489b154	WISE	
02489b154-w2-int-1b	-9999	55261.9106560763	w2	8	256.548307720414	-23.7691507289737	02489b154	WISE	
02489b154-w3-int-1b	-9999	55261.9106618633	w3	9	256.54830775176	-23.7691507354037	02489b154	WISE	
02489b154-w4-int-1b	-9999	55261.9106618633	w4	9	256.54830775176	-23.7691507354037	02489b154	WISE	
02489b155-w1-int-1b	-9999	55261.9107834363	w1	8	256.54830841028	-23.7691508704848	02489b155	WISE	
02489b155-w2-int-1b	-9999	55261.9107834363	w2	8	256.54830841028	-23.7691508704848	02489b155	WISE	
02489b155-w3-int-1b	-9999	55261.9107892233	w3	9	256.548308441627	-23.7691508769148	02489b155	WISE	
02489b155-w4-int-1b	-9999	55261.9107892233	w4	9	256.548308441627	-23.7691508769148	02489b155	WISE	
02493b155-w1-int-1b	-9999	55262.0430874763	w1	8	256.549003513425	-23.769295481225	02493b155	WISE	
02493b155-w2-int-1b	-9999	55262.0430874763	w2	8	256.549003513425	-23.769295481225	02493b155	WISE	
02493b155-w3-int-1b	-9999	55262.0430932633	w3	9	256.549003541878	-23.7692954873335	02493b155	WISE	
02493b155-w4-int-1b	-9999	55262.0430932633	w4	9	256.549003541878	-23.7692954873335	02493b155	WISE	
02498a094-w1-int-1b	-9999	55262.1753914563	w1	8	256.549654007994	-23.7694351354261	02498a094	WISE	
02498a094-w2-int-1b	-9999	55262.1753914563	w2	8	256.549654007994	-23.7694351354261	02498a094	WISE	
02498a094-w3-int-1b	-9999	55262.1753972433	w3	9	256.549654036446	-23.7694351415346	02498a094	WISE	
02498a094-w4-int-1b	-9999	55262.1753972433	w4	9	256.549654036446	-23.7694351415346	02498a094	WISE	
02500a129-w1-int-1b	-9999	55262.2414797463	w1	8	256.549978942086	-23.7695048952878	02500a129	WISE	
02500a129-w2-int-1b	-9999	55262.2414797463	w2	8	256.549978942086	-23.7695048952878	02500a129	WISE	
02500a129-w3-int-1b	-9999	55262.2414855333	w3	9	256.549978970539	-23.7695049013963	02500a129	WISE	
02500a129-w4-int-1b	-9999	55262.2414855333	w4	9	256.549978970539	-23.7695049013963	02500a129	WISE	
02500a130-w1-int-1b	-9999	55262.2416070763	w1	8	256.549979568125	-23.7695050296917	02500a130	WISE	
02500a130-w2-int-1b	-9999	55262.2416070763	w2	8	256.549979568125	-23.7695050296917	02500a130	WISE	
02500a130-w3-int-1b	-9999	55262.2416128633	w3	9	256.549979596578	-23.7695050358002	02500a130	WISE	
02500a130-w4-int-1b	-9999	55262.2416128633	w4	9	256.549979596578	-23.7695050358002	02500a130	WISE	
02501b155-w1-int-1b	-9999	55262.3076953563	w1	8	256.550304502169	-23.7695747895428	02501b155	WISE	
02501b155-w2-int-1b	-9999	55262.3076953563	w2	8	256.550304502169	-23.7695747895428	02501b155	WISE	
02501b155-w3-int-1b	-9999	55262.3077011433	w3	9	256.550304530621	-23.7695747956513	02501b155	WISE	
02501b155-w4-int-1b	-9999	55262.3077011433	w4	9	256.550304530621	-23.7695747956513	02501b155	WISE	
02558a102-w1-int-1b	-9999	55264.1602059163	w1	8	256.558855832245	-23.7714935392496	02558a102	WISE	
