Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
01321b149-w1-int-1b	-9999	55223.2692114663	w1	8	216.345182613487	-11.7527275517702	01321b149	WISE	
01321b149-w2-int-1b	-9999	55223.2692114663	w2	8	216.345182613487	-11.7527275517702	01321b149	WISE	
01321b149-w3-int-1b	-9999	55223.2692172533	w3	9	216.345182637117	-11.7527275554674	01321b149	WISE	
01321b149-w4-int-1b	-9999	55223.2692172533	w4	9	216.345182637117	-11.7527275554674	01321b149	WISE	
01325b149-w1-int-1b	-9999	55223.4015157863	w1	8	216.345722856127	-11.7528120795301	01325b149	WISE	
01325b149-w2-int-1b	-9999	55223.4015157863	w2	8	216.345722856127	-11.7528120795301	01325b149	WISE	
01325b149-w3-int-1b	-9999	55223.4015215733	w3	9	216.345722879758	-11.7528120832274	01325b149	WISE	
01325b149-w4-int-1b	-9999	55223.4015215733	w4	9	216.345722879758	-11.7528120832274	01325b149	WISE	
01330a070-w1-int-1b	-9999	55223.5338200663	w1	8	216.346263098604	-11.7528966072646	01330a070	WISE	
01330a070-w2-int-1b	-9999	55223.5338200663	w2	8	216.346263098604	-11.7528966072646	01330a070	WISE	
01330a070-w3-int-1b	-9999	55223.5338258533	w3	9	216.346263122234	-11.7528966109618	01330a070	WISE	
01330a070-w4-int-1b	-9999	55223.5338258533	w4	9	216.346263122234	-11.7528966109618	01330a070	WISE	
01330a071-w1-int-1b	-9999	55223.5339474263	w1	8	216.346263618657	-11.7528966886335	01330a071	WISE	
01330a071-w2-int-1b	-9999	55223.5339474263	w2	8	216.346263618657	-11.7528966886335	01330a071	WISE	
01330a071-w3-int-1b	-9999	55223.5339532133	w3	9	216.346263642288	-11.7528966923307	01330a071	WISE	
01330a071-w4-int-1b	-9999	55223.5339532133	w4	9	216.346263642288	-11.7528966923307	01330a071	WISE	
01332a124-w1-int-1b	-9999	55223.6000358563	w1	8	216.346533479747	-11.7529389117971	01332a124	WISE	
01332a124-w2-int-1b	-9999	55223.6000358563	w2	8	216.346533479747	-11.7529389117971	01332a124	WISE	
01332a124-w3-int-1b	-9999	55223.6000416433	w3	9	216.346533503377	-11.7529389154943	01332a124	WISE	
01332a124-w4-int-1b	-9999	55223.6000416433	w4	9	216.346533503377	-11.7529389154943	01332a124	WISE	
01333b148-w1-int-1b	-9999	55223.6661243363	w1	8	216.34680334104	-11.7529811349926	01333b148	WISE	
01333b148-w2-int-1b	-9999	55223.6661243363	w2	8	216.34680334104	-11.7529811349926	01333b148	WISE	
