Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.0854.083.wrp.z.55250_65889	-9999	55250.6596341222	z	60	249.428853256944	-20.7351997967346	0854.083	Pan-STARRS1	
02297b151-w1-int-1b	-9999	55255.5585401063	w1	8	249.457806216351	-20.7371551500295	02297b151	WISE	
02297b151-w2-int-1b	-9999	55255.5585401063	w2	8	249.457806216351	-20.7371551500295	02297b151	WISE	
02297b151-w3-int-1b	-9999	55255.5585458933	w3	9	249.457806244563	-20.737155151637	02297b151	WISE	
02297b151-w4-int-1b	-9999	55255.5585458933	w4	9	249.457806244563	-20.737155151637	02297b151	WISE	
02301b151-w1-int-1b	-9999	55255.6908441663	w1	8	249.458451198644	-20.7371919011573	02301b151	WISE	
02301b151-w2-int-1b	-9999	55255.6908441663	w2	8	249.458451198644	-20.7371919011573	02301b151	WISE	
02301b151-w3-int-1b	-9999	55255.6908499533	w3	9	249.458451226855	-20.7371919027648	02301b151	WISE	
02301b151-w4-int-1b	-9999	55255.6908499533	w4	9	249.458451226855	-20.7371919027648	02301b151	WISE	
02301b152-w1-int-1b	-9999	55255.6909715263	w1	8	249.458451819524	-20.7371919365351	02301b152	WISE	
02301b152-w2-int-1b	-9999	55255.6909715263	w2	8	249.458451819524	-20.7371919365351	02301b152	WISE	
02301b152-w3-int-1b	-9999	55255.6909773133	w3	9	249.458451847735	-20.7371919381426	02301b152	WISE	
02301b152-w4-int-1b	-9999	55255.6909773133	w4	9	249.458451847735	-20.7371919381426	02301b152	WISE	
02305b150-w1-int-1b	-9999	55255.8231482763	w1	8	249.45909618118	-20.737228652299	02305b150	WISE	
02305b150-w2-int-1b	-9999	55255.8231482763	w2	8	249.45909618118	-20.737228652299	02305b150	WISE	
02305b150-w3-int-1b	-9999	55255.8231540633	w3	9	249.459096209392	-20.7372286539065	02305b150	WISE	
02305b150-w4-int-1b	-9999	55255.8231540633	w4	9	249.459096209392	-20.7372286539065	02305b150	WISE	
02305b151-w1-int-1b	-9999	55255.8232756063	w1	8	249.459096801914	-20.7372286876684	02305b151	WISE	
02305b151-w2-int-1b	-9999	55255.8232756063	w2	8	249.459096801914	-20.7372286876684	02305b151	WISE	
02305b151-w3-int-1b	-9999	55255.8232813933	w3	9	249.459096830125	-20.7372286892759	02305b151	WISE	
02305b151-w4-int-1b	-9999	55255.8232813933	w4	9	249.459096830125	-20.7372286892759	02305b151	WISE	
02308a126-w1-int-1b	-9999	55255.8893639663	w1	8	249.459418982669	-20.7372470455462	02308a126	WISE	
02308a126-w2-int-1b	-9999	55255.8893639663	w2	8	249.459418982669	-20.7372470455462	02308a126	WISE	
02308a126-w3-int-1b	-9999	55255.8893697533	w3	9	249.45941901088	-20.7372470471537	02308a126	WISE	
02308a126-w4-int-1b	-9999	55255.8893697533	w4	9	249.45941901088	-20.7372470471537	02308a126	WISE	
02309b151-w1-int-1b	-9999	55255.9555797063	w1	8	249.459741784401	-20.7372654388073	02309b151	WISE	
02309b151-w2-int-1b	-9999	55255.9555797063	w2	8	249.459741784401	-20.7372654388073	02309b151	WISE	
02309b151-w3-int-1b	-9999	55255.9555854933	w3	9	249.459741812613	-20.7372654404148	02309b151	WISE	
02309b151-w4-int-1b	-9999	55255.9555854933	w4	9	249.459741812613	-20.7372654404148	02309b151	WISE	
02312a125-w1-int-1b	-9999	55256.0216680863	w1	8	249.460054936884	-20.7372819910168	02312a125	WISE	
02312a125-w2-int-1b	-9999	55256.0216680863	w2	8	249.460054936884	-20.7372819910168	02312a125	WISE	
02312a125-w3-int-1b	-9999	55256.0216738733	w3	9	249.460054962685	-20.7372819921421	02312a125	WISE	
02312a125-w4-int-1b	-9999	55256.0216738733	w4	9	249.460054962685	-20.7372819921421	02312a125	WISE	
02312a127-w1-int-1b	-9999	55256.0217954563	w1	8	249.460055504742	-20.7372820157832	02312a127	WISE	
02312a127-w2-int-1b	-9999	55256.0217954563	w2	8	249.460055504742	-20.7372820157832	02312a127	WISE	
02312a127-w3-int-1b	-9999	55256.0218012433	w3	9	249.460055530543	-20.7372820169084	02312a127	WISE	
02312a127-w4-int-1b	-9999	55256.0218012433	w4	9	249.460055530543	-20.7372820169084	02312a127	WISE	
02314a071-w1-int-1b	-9999	55256.0878838163	w1	8	249.460350148681	-20.7372948662976	02314a071	WISE	
