Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
01845b151-w1-int-1b	-9999	55240.6055138863	w1	8	232.243604010407	-19.1183891535467	01845b151	WISE	
01845b151-w2-int-1b	-9999	55240.6055138863	w2	8	232.243604010407	-19.1183891535467	01845b151	WISE	
01845b151-w3-int-1b	-9999	55240.6055196733	w3	9	232.243604032108	-19.1183891596552	01845b151	WISE	
01845b151-w4-int-1b	-9999	55240.6055196733	w4	9	232.243604032108	-19.1183891596552	01845b151	WISE	
rings.v3.skycell.0935.020.wrp.y.55240_64256	-9999	55240.6431277111	y	30	232.24374506225	-19.1184288570284	0935.020	Pan-STARRS1	
01849b151-w1-int-1b	-9999	55240.7378180563	w1	8	232.244100151044	-19.1185288079484	01849b151	WISE	
01849b151-w2-int-1b	-9999	55240.7378180563	w2	8	232.244100151044	-19.1185288079484	01849b151	WISE	
01849b151-w3-int-1b	-9999	55240.7378238433	w3	9	232.244100172745	-19.1185288140569	01849b151	WISE	
01849b151-w4-int-1b	-9999	55240.7378238433	w4	9	232.244100172745	-19.1185288140569	01849b151	WISE	
01849b152-w1-int-1b	-9999	55240.7379454163	w1	8	232.244100628644	-19.1185289423839	01849b152	WISE	
01849b152-w2-int-1b	-9999	55240.7379454163	w2	8	232.244100628644	-19.1185289423839	01849b152	WISE	
01849b152-w3-int-1b	-9999	55240.7379512033	w3	9	232.244100650345	-19.1185289484924	01849b152	WISE	
01849b152-w4-int-1b	-9999	55240.7379512033	w4	9	232.244100650345	-19.1185289484924	01849b152	WISE	
01853b150-w1-int-1b	-9999	55240.8701222563	w1	8	232.244596291794	-19.1186684623817	01853b150	WISE	
01853b150-w2-int-1b	-9999	55240.8701222563	w2	8	232.244596291794	-19.1186684623817	01853b150	WISE	
01853b150-w3-int-1b	-9999	55240.8701280433	w3	9	232.244596313495	-19.1186684684902	01853b150	WISE	
01853b150-w4-int-1b	-9999	55240.8701280433	w4	9	232.244596313495	-19.1186684684902	01853b150	WISE	
01853b151-w1-int-1b	-9999	55240.8702496163	w1	8	232.244596769394	-19.1186685968172	01853b151	WISE	
01853b151-w2-int-1b	-9999	55240.8702496163	w2	8	232.244596769394	-19.1186685968172	01853b151	WISE	
01853b151-w3-int-1b	-9999	55240.8702554033	w3	9	232.244596791095	-19.1186686029257	01853b151	WISE	
01853b151-w4-int-1b	-9999	55240.8702554033	w4	9	232.244596791095	-19.1186686029257	01853b151	WISE	
01857b151-w1-int-1b	-9999	55241.0025537863	w1	8	232.245091952362	-19.1188080384034	01857b151	WISE	
