Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
06649b181-w1-int-1b	-9999	55399.5122523963	w1	8	34.4295504772404	-4.78804431842768	06649b181	WISE	
06649b181-w2-int-1b	-9999	55399.5122523963	w2	8	34.4295504772404	-4.78804431842768	06649b181	WISE	
06649b181-w3-int-1b	-9999	55399.5122581833	w3	9	34.4295506486802	-4.78804448367863	06649b181	WISE	
06649b181-w4-int-1b	-9999	55399.5122581833	w4	9	34.4295506486802	-4.78804448367863	06649b181	WISE	
06653b180-w1-int-1b	-9999	55399.6444287663	w1	8	34.4334662022017	-4.79181868810444	06653b180	WISE	
06653b180-w2-int-1b	-9999	55399.6444287663	w2	8	34.4334662022017	-4.79181868810444	06653b180	WISE	
06653b180-w4-int-1b	-9999	55399.6444345533	w4	9	34.4334663736416	-4.7918188533554	06653b180	WISE	
06653b181-w1-int-1b	-9999	55399.6445561263	w1	8	34.4334699752417	-4.79182232493998	06653b181	WISE	
06653b181-w2-int-1b	-9999	55399.6445561263	w2	8	34.4334699752417	-4.79182232493998	06653b181	WISE	
06653b181-w3-int-1b	-9999	55399.6445619133	w3	9	34.4334701466815	-4.79182249019093	06653b181	WISE	
06653b181-w4-int-1b	-9999	55399.6445619133	w4	9	34.4334701466815	-4.79182249019093	06653b181	WISE	
06657b180-w1-int-1b	-9999	55399.7767325963	w1	8	34.4373857031654	-4.79559669747211	06657b180	WISE	
06657b180-w2-int-1b	-9999	55399.7767325963	w2	8	34.4373857031654	-4.79559669747211	06657b180	WISE	
06657b180-w3-int-1b	-9999	55399.7767383833	w3	9	34.4373858746052	-4.79559686272306	06657b180	WISE	
06657b180-w4-int-1b	-9999	55399.7767383833	w4	9	34.4373858746052	-4.79559686272306	06657b180	WISE	
06657b181-w1-int-1b	-9999	55399.7768599063	w1	8	34.4373894747241	-4.79560033287985	06657b181	WISE	
06657b181-w2-int-1b	-9999	55399.7768599063	w2	8	34.4373894747241	-4.79560033287985	06657b181	WISE	
06657b181-w3-int-1b	-9999	55399.7768656933	w3	9	34.4373896461639	-4.79560049813081	06657b181	WISE	
06657b181-w4-int-1b	-9999	55399.7768656933	w4	9	34.4373896461639	-4.79560049813081	06657b181	WISE	
06661b180-w1-int-1b	-9999	55399.9090364163	w1	8	34.4413052038328	-4.7993747065543	06661b180	WISE	
06661b180-w2-int-1b	-9999	55399.9090364163	w2	8	34.4413052038328	-4.7993747065543	06661b180	WISE	
06661b180-w3-int-1b	-9999	55399.9090422033	w3	9	34.4413053752727	-4.79937487180525	06661b180	WISE	
06661b180-w4-int-1b	-9999	55399.9090422033	w4	9	34.4413053752727	-4.79937487180525	06661b180	WISE	
06661b181-w1-int-1b	-9999	55399.9091637263	w1	8	34.4413089753916	-4.79937834196204	06661b181	WISE	
06661b181-w2-int-1b	-9999	55399.9091637263	w2	8	34.4413089753916	-4.79937834196204	06661b181	WISE	
06661b181-w3-int-1b	-9999	55399.9091695133	w3	9	34.4413091468316	-4.7993785072132	06661b181	WISE	
06661b181-w4-int-1b	-9999	55399.9091695133	w4	9	34.4413091468316	-4.7993785072132	06661b181	WISE	
06664a156-w1-int-1b	-9999	55399.9752519563	w1	8	34.4432668392053	-4.80126552808537	06664a156	WISE	
06664a156-w2-int-1b	-9999	55399.9752519563	w2	8	34.4432668392053	-4.80126552808537	06664a156	WISE	
06664a156-w3-int-1b	-9999	55399.9752577433	w3	9	34.4432670106454	-4.80126569333653	06664a156	WISE	
06664a156-w4-int-1b	-9999	55399.9752577433	w4	9	34.4432670106454	-4.80126569333653	06664a156	WISE	
06665b180-w1-int-1b	-9999	55400.0413401363	w1	8	34.4451747488731	-4.80317453118618	06665b180	WISE	
06665b180-w2-int-1b	-9999	55400.0413401363	w2	8	34.4451747488731	-4.80317453118618	06665b180	WISE	
06665b180-w3-int-1b	-9999	55400.0413459233	w3	9	34.4451749133205	-4.8031746994916	06665b180	WISE	
06665b180-w4-int-1b	-9999	55400.0413459233	w4	9	34.4451749133205	-4.8031746994916	06665b180	WISE	
06665b181-w1-int-1b	-9999	55400.0414675163	w1	8	34.4451783685881	-4.8031782358212	06665b181	WISE	
06665b181-w2-int-1b	-9999	55400.0414675163	w2	8	34.4451783685881	-4.8031782358212	06665b181	WISE	
06665b181-w3-int-1b	-9999	55400.0414733033	w3	9	34.4451785330355	-4.80317840412662	06665b181	WISE	
