Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03689b167-w1-int-1b	-9999	55301.6083785063	w1	8	299.547007790812	-30.6794906329474	03689b167	WISE	
03689b167-w2-int-1b	-9999	55301.6083785063	w2	8	299.547007790812	-30.6794906329474	03689b167	WISE	
03689b167-w3-int-1b	-9999	55301.6083842933	w3	9	299.54700821061	-30.6794907377564	03689b167	WISE	
03689b167-w4-int-1b	-9999	55301.6083842933	w4	9	299.54700821061	-30.6794907377564	03689b167	WISE	
03693b165-w1-int-1b	-9999	55301.7405554163	w1	8	299.556596124158	-30.6818845036507	03693b165	WISE	
03693b165-w2-int-1b	-9999	55301.7405554163	w2	8	299.556596124158	-30.6818845036507	03693b165	WISE	
03693b165-w3-int-1b	-9999	55301.7405612033	w3	9	299.556596543957	-30.6818846084598	03693b165	WISE	
03693b165-w4-int-1b	-9999	55301.7405612033	w4	9	299.556596543957	-30.6818846084598	03693b165	WISE	
03693b167-w1-int-1b	-9999	55301.7406827363	w1	8	299.556605360163	-30.6818868095574	03693b167	WISE	
03693b167-w2-int-1b	-9999	55301.7406827363	w2	8	299.556605360163	-30.6818868095574	03693b167	WISE	
03693b167-w3-int-1b	-9999	55301.7406885233	w3	9	299.556605779961	-30.6818869143664	03693b167	WISE	
03693b167-w4-int-1b	-9999	55301.7406885233	w4	9	299.556605779961	-30.6818869143664	03693b167	WISE	
03697b166-w1-int-1b	-9999	55301.8729869663	w1	8	299.566202929514	-30.6842829861674	03697b166	WISE	
03697b166-w2-int-1b	-9999	55301.8729869663	w2	8	299.566202929514	-30.6842829861674	03697b166	WISE	
03697b166-w3-int-1b	-9999	55301.8729927533	w3	9	299.566203349313	-30.6842830909764	03697b166	WISE	
03697b166-w4-int-1b	-9999	55301.8729927533	w4	9	299.566203349313	-30.6842830909764	03697b166	WISE	
03701b166-w1-int-1b	-9999	55302.0052911463	w1	8	299.575787046908	-30.6866819544213	03701b166	WISE	
03701b166-w2-int-1b	-9999	55302.0052911463	w2	8	299.575787046908	-30.6866819544213	03701b166	WISE	
03701b166-w3-int-1b	-9999	55302.0052969333	w3	9	299.575787451998	-30.6866820622845	03701b166	WISE	
03701b166-w4-int-1b	-9999	55302.0052969333	w4	9	299.575787451998	-30.6866820622845	03701b166	WISE	
03704a141-w1-int-1b	-9999	55302.0713795863	w1	8	299.580413237708	-30.6879137695112	03704a141	WISE	
03704a141-w2-int-1b	-9999	55302.0713795863	w2	8	299.580413237708	-30.6879137695112	03704a141	WISE	
03704a141-w3-int-1b	-9999	55302.0713853733	w3	9	299.580413642798	-30.6879138773746	03704a141	WISE	
03704a141-w4-int-1b	-9999	55302.0713853733	w4	9	299.580413642798	-30.6879138773746	03704a141	WISE	
03705b166-w1-int-1b	-9999	55302.1375953263	w1	8	299.585048339508	-30.6891479573318	03705b166	WISE	
03705b166-w2-int-1b	-9999	55302.1375953263	w2	8	299.585048339508	-30.6891479573318	03705b166	WISE	
03705b166-w3-int-1b	-9999	55302.1376011133	w3	9	299.585048744598	-30.6891480651952	03705b166	WISE	
03705b166-w4-int-1b	-9999	55302.1376011133	w4	9	299.585048744598	-30.6891480651952	03705b166	WISE	
03708a141-w1-int-1b	-9999	55302.2036837663	w1	8	299.589674530308	-30.6903797724219	03708a141	WISE	
03708a141-w2-int-1b	-9999	55302.2036837663	w2	8	299.589674530308	-30.6903797724219	03708a141	WISE	
03708a141-w3-int-1b	-9999	55302.2036895533	w3	9	299.589674935398	-30.6903798802851	03708a141	WISE	
03708a141-w4-int-1b	-9999	55302.2036895533	w4	9	299.589674935398	-30.6903798802851	03708a141	WISE	
03708a142-w1-int-1b	-9999	55302.2038111263	w1	8	299.589683445508	-30.6903821462708	03708a142	WISE	
03708a142-w2-int-1b	-9999	55302.2038111263	w2	8	299.589683445508	-30.6903821462708	03708a142	WISE	
03708a142-w3-int-1b	-9999	55302.2038169133	w3	9	299.589683850598	-30.690382254134	03708a142	WISE	
03708a142-w4-int-1b	-9999	55302.2038169133	w4	9	299.589683850598	-30.690382254134	03708a142	WISE	
03709b166-w1-int-1b	-9999	55302.2698995563	w1	8	299.594309635608	-30.6916139611743	03709b166	WISE	
03709b166-w2-int-1b	-9999	55302.2698995563	w2	8	299.594309635608	-30.6916139611743	03709b166	WISE	
03709b166-w3-int-1b	-9999	55302.2699053433	w3	9	299.594310040698	-30.6916140690376	03709b166	WISE	
03709b166-w4-int-1b	-9999	55302.2699053433	w4	9	299.594310040698	-30.6916140690376	03709b166	WISE	
03712a141-w1-int-1b	-9999	55302.3359879963	w1	8	299.598935826408	-30.6928457762644	03712a141	WISE	
03712a141-w2-int-1b	-9999	55302.3359879963	w2	8	299.598935826408	-30.6928457762644	03712a141	WISE	
03712a141-w3-int-1b	-9999	55302.3359937833	w3	9	299.598936231498	-30.6928458841276	03712a141	WISE	
03712a141-w4-int-1b	-9999	55302.3359937833	w4	9	299.598936231498	-30.6928458841276	03712a141	WISE	
03712a142-w1-int-1b	-9999	55302.3361153563	w1	8	299.598944741608	-30.6928481501133	03712a142	WISE	
03712a142-w2-int-1b	-9999	55302.3361153563	w2	8	299.598944741608	-30.6928481501133	03712a142	WISE	
03712a142-w3-int-1b	-9999	55302.3361211433	w3	9	299.598945146698	-30.6928482579765	03712a142	WISE	
03712a142-w4-int-1b	-9999	55302.3361211433	w4	9	299.598945146698	-30.6928482579765	03712a142	WISE	
03713b166-w1-int-1b	-9999	55302.4022037863	w1	8	299.603570931708	-30.6940799650169	03713b166	WISE	
03713b166-w2-int-1b	-9999	55302.4022037863	w2	8	299.603570931708	-30.6940799650169	03713b166	WISE	
03713b166-w3-int-1b	-9999	55302.4022095733	w3	9	299.603571336798	-30.6940800728801	03713b166	WISE	
03713b166-w4-int-1b	-9999	55302.4022095733	w4	9	299.603571336798	-30.6940800728801	03713b166	WISE	
03716a141-w1-int-1b	-9999	55302.4682922263	w1	8	299.608197122508	-30.6953117801069	03716a141	WISE	
03716a141-w2-int-1b	-9999	55302.4682922263	w2	8	299.608197122508	-30.6953117801069	03716a141	WISE	
03716a141-w3-int-1b	-9999	55302.4682980133	w3	9	299.608197527598	-30.6953118879701	03716a141	WISE	
03716a141-w4-int-1b	-9999	55302.4682980133	w4	9	299.608197527598	-30.6953118879701	03716a141	WISE	
03716a142-w1-int-1b	-9999	55302.4684195363	w1	8	299.608206034208	-30.6953141530238	03716a142	WISE	
03716a142-w2-int-1b	-9999	55302.4684195363	w2	8	299.608206034208	-30.6953141530238	03716a142	WISE	
03716a142-w3-int-1b	-9999	55302.4684253233	w3	9	299.608206439298	-30.695314260887	03716a142	WISE	
03716a142-w4-int-1b	-9999	55302.4684253233	w4	9	299.608206439298	-30.695314260887	03716a142	WISE	
03717c166-w1-int-1b	-9999	55302.5345079763	w1	8	299.612832225008	-30.6965459681138	03717c166	WISE	
03717c166-w2-int-1b	-9999	55302.5345079763	w2	8	299.612832225008	-30.6965459681138	03717c166	WISE	
03717c166-w3-int-1b	-9999	55302.5345137633	w3	9	299.612832630098	-30.696546075977	03717c166	WISE	
03717c166-w4-int-1b	-9999	55302.5345137633	w4	9	299.612832630098	-30.696546075977	03717c166	WISE	
03720a142-w1-int-1b	-9999	55302.6007237163	w1	8	299.617467326808	-30.6977801559343	03720a142	WISE	
03720a142-w2-int-1b	-9999	55302.6007237163	w2	8	299.617467326808	-30.6977801559343	03720a142	WISE	
03720a142-w3-int-1b	-9999	55302.6007295033	w3	9	299.617467731898	-30.6977802637976	03720a142	WISE	
03720a142-w4-int-1b	-9999	55302.6007295033	w4	9	299.617467731898	-30.6977802637976	03720a142	WISE	
03724a142-w1-int-1b	-9999	55302.7330279563	w1	8	299.626728623608	-30.7002461599633	03724a142	WISE	
03724a142-w2-int-1b	-9999	55302.7330279563	w2	8	299.626728623608	-30.7002461599633	03724a142	WISE	
03724a142-w3-int-1b	-9999	55302.7330337433	w3	9	299.626729028698	-30.7002462678265	03724a142	WISE	
03724a142-w4-int-1b	-9999	55302.7330337433	w4	9	299.626729028698	-30.7002462678265	03724a142	WISE	
03728a142-w1-int-1b	-9999	55302.8653321263	w1	8	299.635989915508	-30.7027121626874	03728a142	WISE	
03728a142-w2-int-1b	-9999	55302.8653321263	w2	8	299.635989915508	-30.7027121626874	03728a142	WISE	
03728a142-w3-int-1b	-9999	55302.8653379133	w3	9	299.635990320598	-30.7027122705507	03728a142	WISE	
03728a142-w4-int-1b	-9999	55302.8653379133	w4	9	299.635990320598	-30.7027122705507	03728a142	WISE	
08938a132-w1-int-1b	-9999	55475.2063315863	w1	8	292.164786876878	-33.0011525730551	08938a132	WISE	
08938a132-w2-int-1b	-9999	55475.2063315863	w2	8	292.164786876878	-33.0011525730551	08938a132	WISE	
08942a132-w1-int-1b	-9999	55475.3386355663	w1	8	292.170955549946	-32.9977236949067	08942a132	WISE	
08942a132-w2-int-1b	-9999	55475.3386355663	w2	8	292.170955549946	-32.9977236949067	08942a132	WISE	
08947a056-w1-int-1b	-9999	55475.4709395963	w1	8	292.177124225345	-32.9942948154625	08947a056	WISE	
08947a056-w2-int-1b	-9999	55475.4709395963	w2	8	292.177124225345	-32.9942948154625	08947a056	WISE	
08950a133-w1-int-1b	-9999	55475.6032435163	w1	8	292.183292895614	-32.9908659388692	08950a133	WISE	
08950a133-w2-int-1b	-9999	55475.6032435163	w2	8	292.183292895614	-32.9908659388692	08950a133	WISE	
08953a109-w1-int-1b	-9999	55475.6693318563	w1	8	292.186374264467	-32.9891531493909	08953a109	WISE	
08953a109-w2-int-1b	-9999	55475.6693318563	w2	8	292.186374264467	-32.9891531493909	08953a109	WISE	
08954a132-w1-int-1b	-9999	55475.7354201863	w1	8	292.189455632853	-32.9874403601717	08954a132	WISE	
08954a132-w2-int-1b	-9999	55475.7354201863	w2	8	292.189455632853	-32.9874403601717	08954a132	WISE	
08957a109-w1-int-1b	-9999	55475.8016358763	w1	8	292.192542939399	-32.9857242702059	08957a109	WISE	
08957a109-w2-int-1b	-9999	55475.8016358763	w2	8	292.192542939399	-32.9857242702059	08957a109	WISE	
08958a133-w1-int-1b	-9999	55475.8677242163	w1	8	292.195624308252	-32.9840114807275	08958a133	WISE	
08958a133-w2-int-1b	-9999	55475.8677242163	w2	8	292.195624308252	-32.9840114807275	08958a133	WISE	
08961a108-w1-int-1b	-9999	55475.9338125463	w1	8	292.198705676638	-32.9822986915085	08961a108	WISE	
08961a108-w2-int-1b	-9999	55475.9338125463	w2	8	292.198705676638	-32.9822986915085	08961a108	WISE	
08961a109-w1-int-1b	-9999	55475.9339399063	w1	8	292.198711614798	-32.9822953907616	08961a109	WISE	
08961a109-w2-int-1b	-9999	55475.9339399063	w2	8	292.198711614798	-32.9822953907616	08961a109	WISE	
08962a133-w1-int-1b	-9999	55476.0000282363	w1	8	292.201793052599	-32.9805825944834	08962a133	WISE	
