Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.1691.059.wrp.y.55213_33321	-9999	55213.3337735111	y	30	52.5626954165037	18.0163769763359	1691.059	Pan-STARRS1	
rings.v3.skycell.1691.059.wrp.y.55213_34212	-9999	55213.3426894111	y	30	52.5627151057828	18.016323233272	1691.059	Pan-STARRS1	
01690b148-w1-int-1b	-9999	55235.4773579463	w1	8	53.2778840856616	18.0516162949071	01690b148	WISE	
01690b148-w2-int-1b	-9999	55235.4773579463	w2	8	53.2778840856616	18.0516162949071	01690b148	WISE	
01690b148-w3-int-1b	-9999	55235.4773637333	w3	9	53.27788444542	18.0516163468293	01690b148	WISE	
01690b148-w4-int-1b	-9999	55235.4773637333	w4	9	53.27788444542	18.0516163468293	01690b148	WISE	
01694a148-w1-int-1b	-9999	55235.6096621063	w1	8	53.2861089942748	18.0528033572315	01694a148	WISE	
01694a148-w2-int-1b	-9999	55235.6096621063	w2	8	53.2861089942748	18.0528033572315	01694a148	WISE	
01694a148-w3-int-1b	-9999	55235.6096678933	w3	9	53.2861093540336	18.0528034091538	01694a148	WISE	
01694a148-w4-int-1b	-9999	55235.6096678933	w4	9	53.2861093540336	18.0528034091538	01694a148	WISE	
01694a149-w1-int-1b	-9999	55235.6097894163	w1	8	53.2861169087135	18.0528044994852	01694a149	WISE	
01694a149-w2-int-1b	-9999	55235.6097894163	w2	8	53.2861169087135	18.0528044994852	01694a149	WISE	
01694a149-w3-int-1b	-9999	55235.6097952033	w3	9	53.2861172684719	18.0528045514074	01694a149	WISE	
01694a149-w4-int-1b	-9999	55235.6097952033	w4	9	53.2861172684719	18.0528045514074	01694a149	WISE	
01698a148-w1-int-1b	-9999	55235.7419662763	w1	8	53.2943339035099	18.0539904196457	01698a148	WISE	
01698a148-w2-int-1b	-9999	55235.7419662763	w2	8	53.2943339035099	18.0539904196457	01698a148	WISE	
01698a148-w3-int-1b	-9999	55235.7419720633	w3	9	53.2943342632683	18.0539904715679	01698a148	WISE	
01698a148-w4-int-1b	-9999	55235.7419720633	w4	9	53.2943342632683	18.0539904715679	01698a148	WISE	
01698a149-w1-int-1b	-9999	55235.7420936363	w1	8	53.2943418210565	18.0539915623479	01698a149	WISE	
01698a149-w2-int-1b	-9999	55235.7420936363	w2	8	53.2943418210565	18.0539915623479	01698a149	WISE	
01698a149-w3-int-1b	-9999	55235.7420994233	w3	9	53.2943421808154	18.0539916142702	01698a149	WISE	
01698a149-w4-int-1b	-9999	55235.7420994233	w4	9	53.2943421808154	18.0539916142702	01698a149	WISE	
01702a149-w1-int-1b	-9999	55235.8743978363	w1	8	53.3025667321565	18.0551786250313	01702a149	WISE	
01702a149-w2-int-1b	-9999	55235.8743978363	w2	8	53.3025667321565	18.0551786250313	01702a149	WISE	
01702a149-w3-int-1b	-9999	55235.8744036233	w3	9	53.3025670919149	18.0551786769535	01702a149	WISE	
01702a149-w4-int-1b	-9999	55235.8744036233	w4	9	53.3025670919149	18.0551786769535	01702a149	WISE	
01705a124-w1-int-1b	-9999	55235.9404862163	w1	8	53.3066752264466	18.0557715846629	01705a124	WISE	
01705a124-w2-int-1b	-9999	55235.9404862163	w2	8	53.3066752264466	18.0557715846629	01705a124	WISE	
01705a124-w3-int-1b	-9999	55235.9404920033	w3	9	53.306675586205	18.0557716365852	01705a124	WISE	
01705a124-w4-int-1b	-9999	55235.9404920033	w4	9	53.306675586205	18.0557716365852	01705a124	WISE	
01706a148-w1-int-1b	-9999	55236.0067019463	w1	8	53.3108092302708	18.0563699687062	01706a148	WISE	
01706a148-w2-int-1b	-9999	55236.0067019463	w2	8	53.3108092302708	18.0563699687062	01706a148	WISE	
01706a148-w3-int-1b	-9999	55236.0067077333	w3	9	53.3108096052201	18.0563700243257	01706a148	WISE	
01706a148-w4-int-1b	-9999	55236.0067077333	w4	9	53.3108096052201	18.0563700243257	01706a148	WISE	
01709a125-w1-int-1b	-9999	55236.0729177263	w1	8	53.3150994610164	18.057006375925	01709a125	WISE	
01709a125-w2-int-1b	-9999	55236.0729177263	w2	8	53.3150994610164	18.057006375925	01709a125	WISE	
01709a125-w3-int-1b	-9999	55236.0729235133	w3	9	53.3150998359657	18.0570064315445	01709a125	WISE	
01709a125-w4-int-1b	-9999	55236.0729235133	w4	9	53.3150998359657	18.0570064315445	01709a125	WISE	
01710b148-w1-int-1b	-9999	55236.1390061563	w1	8	53.3193814405436	18.0576415591689	01710b148	WISE	
01710b148-w2-int-1b	-9999	55236.1390061563	w2	8	53.3193814405436	18.0576415591689	01710b148	WISE	
01710b148-w3-int-1b	-9999	55236.1390119433	w3	9	53.3193818154929	18.0576416147884	01710b148	WISE	
01710b148-w4-int-1b	-9999	55236.1390119433	w4	9	53.3193818154929	18.0576416147884	01710b148	WISE	
01713a125-w1-int-1b	-9999	55236.2052219363	w1	8	53.3236716712896	18.0582779663878	01713a125	WISE	
01713a125-w2-int-1b	-9999	55236.2052219363	w2	8	53.3236716712896	18.0582779663878	01713a125	WISE	
01713a125-w3-int-1b	-9999	55236.2052277233	w3	9	53.3236720462389	18.0582780220073	01713a125	WISE	
01713a125-w4-int-1b	-9999	55236.2052277233	w4	9	53.3236720462389	18.0582780220073	01713a125	WISE	
01714a148-w1-int-1b	-9999	55236.2713103463	w1	8	53.3279536495209	18.0589131494395	01714a148	WISE	
01714a148-w2-int-1b	-9999	55236.2713103463	w2	8	53.3279536495209	18.0589131494395	01714a148	WISE	
01714a148-w3-int-1b	-9999	55236.2713161333	w3	9	53.3279540244702	18.058913205059	01714a148	WISE	
01714a148-w4-int-1b	-9999	55236.2713161333	w4	9	53.3279540244702	18.058913205059	01714a148	WISE	
01714a149-w1-int-1b	-9999	55236.2714376763	w1	8	53.3279618994438	18.0589143732223	01714a149	WISE	
01714a149-w2-int-1b	-9999	55236.2714376763	w2	8	53.3279618994438	18.0589143732223	01714a149	WISE	
01714a149-w3-int-1b	-9999	55236.2714434633	w3	9	53.3279622743931	18.0589144288418	01714a149	WISE	
01714a149-w4-int-1b	-9999	55236.2714434633	w4	9	53.3279622743931	18.0589144288418	01714a149	WISE	
01717a124-w1-int-1b	-9999	55236.3375261363	w1	8	53.3322438809147	18.0595495567545	01717a124	WISE	
01717a124-w2-int-1b	-9999	55236.3375261363	w2	8	53.3322438809147	18.0595495567545	01717a124	WISE	
01717a124-w3-int-1b	-9999	55236.3375319233	w3	9	53.3322442558639	18.059549612374	01717a124	WISE	
01717a124-w4-int-1b	-9999	55236.3375319233	w4	9	53.3322442558639	18.059549612374	01717a124	WISE	
01718a149-w1-int-1b	-9999	55236.4037418763	w1	8	53.3365341090684	18.0601859635889	01718a149	WISE	
01718a149-w2-int-1b	-9999	55236.4037418763	w2	8	53.3365341090684	18.0601859635889	01718a149	WISE	
01718a149-w3-int-1b	-9999	55236.4037476633	w3	9	53.3365344840181	18.0601860192084	01718a149	WISE	
01718a149-w4-int-1b	-9999	55236.4037476633	w4	9	53.3365344840181	18.0601860192084	01718a149	WISE	
01721a124-w1-int-1b	-9999	55236.4698302963	w1	8	53.3408160879478	18.0608211467367	01721a124	WISE	
