Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
05109b147-w1-int-1b	-9999	55348.5744137863	w1	8	342.295163515528	-3.5092247834015	05109b147	WISE	
05109b147-w2-int-1b	-9999	55348.5744137863	w2	8	342.295163515528	-3.5092247834015	05109b147	WISE	
05109b147-w3-int-1b	-9999	55348.5744195733	w3	9	342.295162528603	-3.50922488837122	05109b147	WISE	
05109b147-w4-int-1b	-9999	55348.5744195733	w4	9	342.295162528603	-3.50922488837122	05109b147	WISE	
05109b148-w1-int-1b	-9999	55348.5745410963	w1	8	342.295141803868	-3.50922709266342	05109b148	WISE	
05109b148-w2-int-1b	-9999	55348.5745410963	w2	8	342.295141803868	-3.50922709266342	05109b148	WISE	
05109b148-w3-int-1b	-9999	55348.5745468833	w3	9	342.295140816944	-3.50922719763314	05109b148	WISE	
05109b148-w4-int-1b	-9999	55348.5745468833	w4	9	342.295140816944	-3.50922719763314	05109b148	WISE	
05113b147-w1-int-1b	-9999	55348.7067176163	w1	8	342.272600199854	-3.51162462787337	05113b147	WISE	
05113b147-w2-int-1b	-9999	55348.7067176163	w2	8	342.272600199854	-3.51162462787337	05113b147	WISE	
05113b147-w3-int-1b	-9999	55348.7067234033	w3	9	342.272599212928	-3.51162473284323	05113b147	WISE	
05113b147-w4-int-1b	-9999	55348.7067234033	w4	9	342.272599212928	-3.51162473284323	05113b147	WISE	
05113b148-w1-int-1b	-9999	55348.7068449263	w1	8	342.272578488193	-3.51162693713543	05113b148	WISE	
05113b148-w2-int-1b	-9999	55348.7068449263	w2	8	342.272578488193	-3.51162693713543	05113b148	WISE	
05113b148-w3-int-1b	-9999	55348.7068507133	w3	9	342.272577501269	-3.51162704210515	05113b148	WISE	
05113b148-w4-int-1b	-9999	55348.7068507133	w4	9	342.272577501269	-3.51162704210515	05113b148	WISE	
05116a122-w1-int-1b	-9999	55348.7729331863	w1	8	342.261307686186	-3.5128257047404	05116a122	WISE	
05116a122-w2-int-1b	-9999	55348.7729331863	w2	8	342.261307686186	-3.5128257047404	05116a122	WISE	
05116a122-w3-int-1b	-9999	55348.7729389733	w3	9	342.261306699262	-3.51282580971012	05116a122	WISE	
05116a122-w4-int-1b	-9999	55348.7729389733	w4	9	342.261306699262	-3.51282580971012	05116a122	WISE	
05117b147-w1-int-1b	-9999	55348.8390214863	w1	8	342.250036877356	-3.51402447307099	05117b147	WISE	
05117b147-w2-int-1b	-9999	55348.8390214863	w2	8	342.250036877356	-3.51402447307099	05117b147	WISE	
05117b147-w3-int-1b	-9999	55348.8390272733	w3	9	342.250035890432	-3.51402457804071	05117b147	WISE	
05117b147-w4-int-1b	-9999	55348.8390272733	w4	9	342.250035890432	-3.51402457804071	05117b147	WISE	
05117b148-w1-int-1b	-9999	55348.8391487963	w1	8	342.250015165697	-3.51402678233291	05117b148	WISE	
05117b148-w2-int-1b	-9999	55348.8391487963	w2	8	342.250015165697	-3.51402678233291	05117b148	WISE	
