Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
07173b137-w1-int-1b	-9999	55416.8380689563	w1	8	40.7318983672433	24.9005254629752	07173b137	WISE	
07173b137-w2-int-1b	-9999	55416.8380689563	w2	8	40.7318983672433	24.9005254629752	07173b137	WISE	
07173b137-w3-int-1b	-9999	55416.8380747433	w3	9	40.7318987267606	24.9005258561696	07173b137	WISE	
07177b136-w1-int-1b	-9999	55416.9702455363	w1	8	40.740109837276	24.909506127272	07177b136	WISE	
07177b136-w2-int-1b	-9999	55416.9702455363	w2	8	40.740109837276	24.909506127272	07177b136	WISE	
07177b136-w3-int-1b	-9999	55416.9702513233	w3	9	40.7401101967932	24.9095065204664	07177b136	WISE	
07177b137-w1-int-1b	-9999	55416.9703729063	w1	8	40.740117750137	24.9095147813556	07177b137	WISE	
07177b137-w2-int-1b	-9999	55416.9703729063	w2	8	40.740117750137	24.9095147813556	07177b137	WISE	
07177b137-w3-int-1b	-9999	55416.9703786933	w3	9	40.7401181096547	24.9095151745505	07177b137	WISE	
07181b136-w1-int-1b	-9999	55417.1025494763	w1	8	40.7480728458578	24.9184413216385	07181b136	WISE	
07181b136-w2-int-1b	-9999	55417.1025494763	w2	8	40.7480728458578	24.9184413216385	07181b136	WISE	
07181b136-w3-int-1b	-9999	55417.1025552633	w3	9	40.7480731909076	24.9184417117786	07181b136	WISE	
07181b137-w1-int-1b	-9999	55417.1026767963	w1	8	40.7480804373125	24.9184499051282	07181b137	WISE	
07181b137-w2-int-1b	-9999	55417.1026767963	w2	8	40.7480804373125	24.9184499051282	07181b137	WISE	
07181b137-w3-int-1b	-9999	55417.1026825833	w3	9	40.7480807823628	24.9184502952688	07181b137	WISE	
07185b136-w1-int-1b	-9999	55417.2348533263	w1	8	40.7559614629139	24.9273608061925	07185b136	WISE	
07185b136-w2-int-1b	-9999	55417.2348533263	w2	8	40.7559614629139	24.9273608061925	07185b136	WISE	
07185b136-w3-int-1b	-9999	55417.2348591133	w3	9	40.7559618079637	24.9273611963326	07185b136	WISE	
07185b138-w1-int-1b	-9999	55417.2349807263	w1	8	40.755969059139	24.927369395076	07185b138	WISE	
07185b138-w2-int-1b	-9999	55417.2349807263	w2	8	40.755969059139	24.927369395076	07185b138	WISE	
07185b138-w3-int-1b	-9999	55417.2349865133	w3	9	40.7559694041888	24.9273697852161	07185b138	WISE	
07188a112-w1-int-1b	-9999	55417.3010689663	w1	8	40.7599095704489	24.9318248439224	07188a112	WISE	
07188a112-w2-int-1b	-9999	55417.3010689663	w2	8	40.7599095704489	24.9318248439224	07188a112	WISE	
07188a112-w3-int-1b	-9999	55417.3010747533	w3	9	40.7599099154986	24.9318252340626	07188a112	WISE	
07189b137-w1-int-1b	-9999	55417.3671572563	w1	8	40.7638500847404	24.9362802961402	07189b137	WISE	
07189b137-w2-int-1b	-9999	55417.3671572563	w2	8	40.7638500847404	24.9362802961402	07189b137	WISE	
07189b137-w3-int-1b	-9999	55417.3671630433	w3	9	40.7638504297902	24.9362806862804	07189b137	WISE	
07189b138-w1-int-1b	-9999	55417.3672845763	w1	8	40.7638576761952	24.93628887963	07189b138	WISE	
07189b138-w2-int-1b	-9999	55417.3672845763	w2	8	40.7638576761952	24.93628887963	07189b138	WISE	
07189b138-w3-int-1b	-9999	55417.3672903633	w3	9	40.7638580212449	24.9362892697701	07189b138	WISE	
07192a111-w1-int-1b	-9999	55417.4332455463	w1	8	40.7677905990315	24.9407357483576	07192a111	WISE	
07192a111-w2-int-1b	-9999	55417.4332455463	w2	8	40.7677905990315	24.9407357483576	07192a111	WISE	
07192a111-w3-int-1b	-9999	55417.4332513333	w3	9	40.7677909440813	24.9407361384977	07192a111	WISE	
07192a112-w1-int-1b	-9999	55417.4333729063	w1	8	40.7677981928714	24.9407443345442	07192a112	WISE	
07192a112-w2-int-1b	-9999	55417.4333729063	w2	8	40.7677981928714	24.9407443345442	07192a112	WISE	
07192a112-w3-int-1b	-9999	55417.4333786933	w3	9	40.7677985379212	24.9407447246843	07192a112	WISE	
07193b137-w1-int-1b	-9999	55417.4994611463	w1	8	40.7717387041813	24.9451997833906	07193b137	WISE	
07193b137-w2-int-1b	-9999	55417.4994611463	w2	8	40.7717387041813	24.9451997833906	07193b137	WISE	
07193b137-w3-int-1b	-9999	55417.4994669333	w3	9	40.7717390492315	24.9452001735313	07193b137	WISE	
07193b138-w1-int-1b	-9999	55417.4995885163	w1	8	40.7717462986177	24.9452083702517	07193b138	WISE	
07193b138-w2-int-1b	-9999	55417.4995885163	w2	8	40.7717462986177	24.9452083702517	07193b138	WISE	
07193b138-w3-int-1b	-9999	55417.4995943033	w3	9	40.7717466436675	24.9452087603918	07193b138	WISE	
07196a111-w1-int-1b	-9999	55417.5655494463	w1	8	40.7756792190689	24.9496552362824	07196a111	WISE	
07196a111-w2-int-1b	-9999	55417.5655494463	w2	8	40.7756792190689	24.9496552362824	07196a111	WISE	
07196a111-w3-int-1b	-9999	55417.5655552333	w3	9	40.7756795641187	24.9496556264226	07196a111	WISE	
