Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
01046b148-w1-int-1b	-9999	55214.1712221863	w1	8	31.0571378286573	11.7132077530545	01046b148	WISE	
01046b148-w2-int-1b	-9999	55214.1712221863	w2	8	31.0571378286573	11.7132077530545	01046b148	WISE	
01046b148-w3-int-1b	-9999	55214.1712279733	w3	9	31.0571378361322	11.7132077581985	01046b148	WISE	
01046b148-w4-int-1b	-9999	55214.1712279733	w4	9	31.0571378361322	11.7132077581985	01046b148	WISE	
01050a149-w1-int-1b	-9999	55214.3036542463	w1	8	31.0573088867348	11.7133254704412	01050a149	WISE	
01050a149-w2-int-1b	-9999	55214.3036542463	w2	8	31.0573088867348	11.7133254704412	01050a149	WISE	
01050a149-w3-int-1b	-9999	55214.3036600333	w3	9	31.0573088942097	11.7133254755852	01050a149	WISE	
01050a149-w4-int-1b	-9999	55214.3036600333	w4	9	31.0573088942097	11.7133254755852	01050a149	WISE	
01054a149-w1-int-1b	-9999	55214.4359589463	w1	8	31.0574797803056	11.7134430746189	01054a149	WISE	
01054a149-w2-int-1b	-9999	55214.4359589463	w2	8	31.0574797803056	11.7134430746189	01054a149	WISE	
01054a149-w3-int-1b	-9999	55214.4359647333	w3	9	31.0574797877805	11.7134430797629	01054a149	WISE	
01054a149-w4-int-1b	-9999	55214.4359647333	w4	9	31.0574797877805	11.7134430797629	01054a149	WISE	
01058b149-w1-int-1b	-9999	55214.5682636963	w1	8	31.0576506739411	11.7135606788412	01058b149	WISE	
01058b149-w2-int-1b	-9999	55214.5682636963	w2	8	31.0576506739411	11.7135606788412	01058b149	WISE	
01058b149-w3-int-1b	-9999	55214.5682694833	w3	9	31.0576506814159	11.7135606839852	01058b149	WISE	
01058b149-w4-int-1b	-9999	55214.5682694833	w4	9	31.0576506814159	11.7135606839852	01058b149	WISE	
01058b150-w3-int-1b	-9999	55214.5683967933	w3	9	31.057650845858	11.7135607971496	01058b150	WISE	
01058b150-w4-int-1b	-9999	55214.5683967933	w4	9	31.057650845858	11.7135607971496	01058b150	WISE	
01061a125-w1-int-1b	-9999	55214.6344796963	w1	8	31.0577362029411	11.7136195375078	01061a125	WISE	
