Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
01381b165-w1-int-1b	-9999	55225.2560680063	w1	8	215.336842789542	-22.179491943501	01381b165	WISE	
01381b165-w2-int-1b	-9999	55225.2560680063	w2	8	215.336842789542	-22.179491943501	01381b165	WISE	
01381b165-w3-int-1b	-9999	55225.2560737933	w3	9	215.336842828363	-22.1794919954232	01381b165	WISE	
01381b165-w4-int-1b	-9999	55225.2560737933	w4	9	215.336842828363	-22.1794919954232	01381b165	WISE	
01385b165-w1-int-1b	-9999	55225.3883723263	w1	8	215.337730331022	-22.1806790072609	01385b165	WISE	
01385b165-w2-int-1b	-9999	55225.3883723263	w2	8	215.337730331022	-22.1806790072609	01385b165	WISE	
01385b165-w3-int-1b	-9999	55225.3883781133	w3	9	215.337730369843	-22.1806790591832	01385b165	WISE	
01385b165-w4-int-1b	-9999	55225.3883781133	w4	9	215.337730369843	-22.1806790591832	01385b165	WISE	
01390a087-w1-int-1b	-9999	55225.5208039663	w1	8	215.338618726607	-22.1818672133643	01390a087	WISE	
01390a087-w2-int-1b	-9999	55225.5208039663	w2	8	215.338618726607	-22.1818672133643	01390a087	WISE	
01390a087-w3-int-1b	-9999	55225.5208097533	w3	9	215.338618765428	-22.1818672652866	01390a087	WISE	
01390a087-w4-int-1b	-9999	55225.5208097533	w4	9	215.338618765428	-22.1818672652866	01390a087	WISE	
01393b165-w1-int-1b	-9999	55225.6531082363	w1	8	215.339506267752	-22.1830542766757	01393b165	WISE	
01393b165-w2-int-1b	-9999	55225.6531082363	w2	8	215.339506267752	-22.1830542766757	01393b165	WISE	
01393b165-w3-int-1b	-9999	55225.6531140233	w3	9	215.339506306573	-22.1830543285979	01393b165	WISE	
01393b165-w4-int-1b	-9999	55225.6531140233	w4	9	215.339506306573	-22.1830543285979	01393b165	WISE	
01397b165-w1-int-1b	-9999	55225.7854125663	w1	8	215.340393809299	-22.1842413405254	01397b165	WISE	
01397b165-w2-int-1b	-9999	55225.7854125663	w2	8	215.340393809299	-22.1842413405254	01397b165	WISE	
01397b165-w3-int-1b	-9999	55225.7854183533	w3	9	215.34039384812	-22.1842413924477	01397b165	WISE	
01397b165-w4-int-1b	-9999	55225.7854183533	w4	9	215.34039384812	-22.1842413924477	01397b165	WISE	
01400a140-w1-int-1b	-9999	55225.8516284163	w1	8	215.340838007292	-22.1848354438463	01400a140	WISE	
01400a140-w2-int-1b	-9999	55225.8516284163	w2	8	215.340838007292	-22.1848354438463	01400a140	WISE	
01400a140-w3-int-1b	-9999	55225.8516342033	w3	9	215.340838046114	-22.1848354957686	01400a140	WISE	
01400a140-w4-int-1b	-9999	55225.8516342033	w4	9	215.340838046114	-22.1848354957686	01400a140	WISE	
01401b165-w1-int-1b	-9999	55225.9177168863	w1	8	215.341281350779	-22.1854284042855	01401b165	WISE	
01401b165-w2-int-1b	-9999	55225.9177168863	w2	8	215.341281350779	-22.1854284042855	01401b165	WISE	
01401b165-w3-int-1b	-9999	55225.9177226733	w3	9	215.3412813896	-22.1854284562077	01401b165	WISE	
01401b165-w4-int-1b	-9999	55225.9177226733	w4	9	215.3412813896	-22.1854284562077	01401b165	WISE	
