Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
04609b150-w1-int-1b	-9999	55332.0374509963	w1	8	327.3562810875	-12.9755563502791	04609b150	WISE	
04609b150-w2-int-1b	-9999	55332.0374509963	w2	8	327.3562810875	-12.9755563502791	04609b150	WISE	
04609b150-w3-int-1b	-9999	55332.0374567833	w3	9	327.356281414224	-12.9755561744186	04609b150	WISE	
04609b150-w4-int-1b	-9999	55332.0374567833	w4	9	327.356281414224	-12.9755561744186	04609b150	WISE	
04613b150-w1-int-1b	-9999	55332.1697549763	w1	8	327.363750749704	-12.9715357793314	04613b150	WISE	
04613b150-w2-int-1b	-9999	55332.1697549763	w2	8	327.363750749704	-12.9715357793314	04613b150	WISE	
04613b150-w3-int-1b	-9999	55332.1697607633	w3	9	327.363751076428	-12.9715356034707	04613b150	WISE	
04613b150-w4-int-1b	-9999	55332.1697607633	w4	9	327.363751076428	-12.9715356034707	04613b150	WISE	
04617b150-w1-int-1b	-9999	55332.3020589163	w1	8	327.37122040965	-12.9675152095991	04617b150	WISE	
04617b150-w2-int-1b	-9999	55332.3020589163	w2	8	327.37122040965	-12.9675152095991	04617b150	WISE	
04617b150-w3-int-1b	-9999	55332.3020647033	w3	9	327.371220736374	-12.9675150337387	04617b150	WISE	
04617b150-w4-int-1b	-9999	55332.3020647033	w4	9	327.371220736374	-12.9675150337387	04617b150	WISE	
04621b150-w1-int-1b	-9999	55332.4343629363	w1	8	327.378690074112	-12.9634946374358	04621b150	WISE	
04621b150-w2-int-1b	-9999	55332.4343629363	w2	8	327.378690074112	-12.9634946374358	04621b150	WISE	
04621b150-w3-int-1b	-9999	55332.4343687233	w3	9	327.378690400836	-12.9634944615753	04621b150	WISE	
04621b150-w4-int-1b	-9999	55332.4343687233	w4	9	327.378690400836	-12.9634944615753	04621b150	WISE	
04624a125-w1-int-1b	-9999	55332.5004512463	w1	8	327.382421309947	-12.9614862871264	04624a125	WISE	
04624a125-w2-int-1b	-9999	55332.5004512463	w2	8	327.382421309947	-12.9614862871264	04624a125	WISE	
04624a125-w3-int-1b	-9999	55332.5004570333	w3	9	327.382421636672	-12.9614861112659	04624a125	WISE	
04624a125-w4-int-1b	-9999	55332.5004570333	w4	9	327.382421636672	-12.9614861112659	04624a125	WISE	
04625b150-w1-int-1b	-9999	55332.5666668763	w1	8	327.386159734058	-12.9594740677035	04625b150	WISE	
04625b150-w2-int-1b	-9999	55332.5666668763	w2	8	327.386159734058	-12.9594740677035	04625b150	WISE	
04625b150-w3-int-1b	-9999	55332.5666726633	w3	9	327.386160060782	-12.9594738918431	04625b150	WISE	
04625b150-w4-int-1b	-9999	55332.5666726633	w4	9	327.386160060782	-12.9594738918431	04625b150	WISE	
04628a125-w1-int-1b	-9999	55332.6327551863	w1	8	327.389890969893	-12.9574657173941	04628a125	WISE	
04628a125-w2-int-1b	-9999	55332.6327551863	w2	8	327.389890969893	-12.9574657173941	04628a125	WISE	
04628a125-w3-int-1b	-9999	55332.6327609733	w3	9	327.389891296618	-12.9574655415337	04628a125	WISE	
04628a125-w4-int-1b	-9999	55332.6327609733	w4	9	327.389891296618	-12.9574655415337	04628a125	WISE	
04628a126-w1-int-1b	-9999	55332.6328824963	w1	8	327.389898157604	-12.9574618485847	04628a126	WISE	
04628a126-w2-int-1b	-9999	55332.6328824963	w2	8	327.389898157604	-12.9574618485847	04628a126	WISE	
04628a126-w3-int-1b	-9999	55332.6328882833	w3	9	327.389898484328	-12.9574616727243	04628a126	WISE	
04628a126-w4-int-1b	-9999	55332.6328882833	w4	9	327.389898484328	-12.9574616727243	04628a126	WISE	
04629b150-w1-int-1b	-9999	55332.6989708063	w1	8	327.393629393439	-12.9554534982753	04629b150	WISE	
04629b150-w2-int-1b	-9999	55332.6989708063	w2	8	327.393629393439	-12.9554534982753	04629b150	WISE	
04629b150-w3-int-1b	-9999	55332.6989765933	w3	9	327.393629720164	-12.9554533224146	04629b150	WISE	
04629b150-w4-int-1b	-9999	55332.6989765933	w4	9	327.393629720164	-12.9554533224146	04629b150	WISE	
04632a125-w1-int-1b	-9999	55332.7650591163	w1	8	327.397360629274	-12.9534451479659	04632a125	WISE	
04632a125-w2-int-1b	-9999	55332.7650591163	w2	8	327.397360629274	-12.9534451479659	04632a125	WISE	
04632a125-w3-int-1b	-9999	55332.7650649033	w3	9	327.397360955999	-12.9534449721052	04632a125	WISE	
04632a125-w4-int-1b	-9999	55332.7650649033	w4	9	327.397360955999	-12.9534449721052	04632a125	WISE	
04632a126-w1-int-1b	-9999	55332.7651864963	w1	8	327.397367820937	-12.9534412770292	04632a126	WISE	
04632a126-w2-int-1b	-9999	55332.7651864963	w2	8	327.397367820937	-12.9534412770292	04632a126	WISE	
