Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.1527.095.wrp.z.55256_36140	-9999	55256.3619791111	z	30	104.921878149093	11.7405271260369	1527.095	Pan-STARRS1	
03206a135-w1-int-1b	-9999	55285.6273340363	w1	8	104.759006883577	12.0714161913166	03206a135	WISE	
03206a135-w2-int-1b	-9999	55285.6273340363	w2	8	104.759006883577	12.0714161913166	03206a135	WISE	
03206a135-w3-int-1b	-9999	55285.6273398233	w3	9	104.75900706852	12.0714162417921	03206a135	WISE	
03206a135-w4-int-1b	-9999	55285.6273398233	w4	9	104.75900706852	12.0714162417921	03206a135	WISE	
03206a136-w1-int-1b	-9999	55285.6274613963	w1	8	104.75901095379	12.0714173021789	03206a136	WISE	
03206a136-w2-int-1b	-9999	55285.6274613963	w2	8	104.75901095379	12.0714173021789	03206a136	WISE	
03206a136-w3-int-1b	-9999	55285.6274671833	w3	9	104.759011138733	12.0714173526544	03206a136	WISE	
03206a136-w4-int-1b	-9999	55285.6274671833	w4	9	104.759011138733	12.0714173526544	03206a136	WISE	
03210a135-w1-int-1b	-9999	55285.7596381363	w1	8	104.763235102106	12.0725701770777	03210a135	WISE	
03210a135-w2-int-1b	-9999	55285.7596381363	w2	8	104.763235102106	12.0725701770777	03210a135	WISE	
03210a135-w3-int-1b	-9999	55285.7596439233	w3	9	104.763235287049	12.0725702275533	03210a135	WISE	
03210a135-w4-int-1b	-9999	55285.7596439233	w4	9	104.763235287049	12.0725702275533	03210a135	WISE	
03210a136-w1-int-1b	-9999	55285.7597654563	w1	8	104.763239171041	12.0725712875911	03210a136	WISE	
03210a136-w2-int-1b	-9999	55285.7597654563	w2	8	104.763239171041	12.0725712875911	03210a136	WISE	
03210a136-w3-int-1b	-9999	55285.7597712433	w3	9	104.763239355984	12.0725713380666	03210a136	WISE	
03210a136-w4-int-1b	-9999	55285.7597712433	w4	9	104.763239355984	12.0725713380666	03210a136	WISE	
03214a136-w1-int-1b	-9999	55285.8920695463	w1	8	104.767467389251	12.073725273265	03214a136	WISE	
03214a136-w2-int-1b	-9999	55285.8920695463	w2	8	104.767467389251	12.073725273265	03214a136	WISE	
03214a136-w3-int-1b	-9999	55285.8920753333	w3	9	104.767467574194	12.0737253237405	03214a136	WISE	
03214a136-w4-int-1b	-9999	55285.8920753333	w4	9	104.767467574194	12.0737253237405	03214a136	WISE	
03218a136-w1-int-1b	-9999	55286.0243735963	w1	8	104.771755524606	12.0748724881466	03218a136	WISE	
03218a136-w2-int-1b	-9999	55286.0243735963	w2	8	104.771755524606	12.0748724881466	03218a136	WISE	
03218a136-w3-int-1b	-9999	55286.0243793833	w3	9	104.771755723776	12.0748725370146	03218a136	WISE	
03218a136-w4-int-1b	-9999	55286.0243793833	w4	9	104.771755723776	12.0748725370146	03218a136	WISE	
03221a066-w1-int-1b	-9999	55286.0904619663	w1	8	104.774030066007	12.0754305677154	03221a066	WISE	
03221a066-w2-int-1b	-9999	55286.0904619663	w2	8	104.774030066007	12.0754305677154	03221a066	WISE	
03221a066-w3-int-1b	-9999	55286.0904677533	w3	9	104.774030265176	12.0754306165835	03221a066	WISE	
03221a066-w4-int-1b	-9999	55286.0904677533	w4	9	104.774030265176	12.0754306165835	03221a066	WISE	
03223a067-w1-int-1b	-9999	55286.1566776463	w1	8	104.776308988994	12.0759897223466	03223a067	WISE	
03223a067-w2-int-1b	-9999	55286.1566776463	w2	8	104.776308988994	12.0759897223466	03223a067	WISE	
03223a067-w3-int-1b	-9999	55286.1566834333	w3	9	104.776309188163	12.0759897712145	03223a067	WISE	
03223a067-w4-int-1b	-9999	55286.1566834333	w4	9	104.776309188163	12.0759897712145	03223a067	WISE	
03225a111-w1-int-1b	-9999	55286.2227660163	w1	8	104.778583530394	12.0765478019154	03225a111	WISE	
03225a111-w2-int-1b	-9999	55286.2227660163	w2	8	104.778583530394	12.0765478019154	03225a111	WISE	
