Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.1454.067.wrp.g.55240_55152	-9999	55240.5522187259	g	52	168.764915453352	6.56937651259703	1454.067	Pan-STARRS1	
rings.v3.skycell.1454.067.wrp.g.55240_55309	-9999	55240.5537949259	g	52	168.764815430327	6.5694042274471	1454.067	Pan-STARRS1	
rings.v3.skycell.1454.067.wrp.g.55240_56082	-9999	55240.5615186259	g	52	168.764325297198	6.56954003583878	1454.067	Pan-STARRS1	
rings.v3.skycell.1454.067.wrp.g.55240_56231	-9999	55240.5630093259	g	52	168.76423069986	6.56956624731379	1454.067	Pan-STARRS1	
rings.v3.skycell.1453.071.wrp.i.55264_36361	-9999	55264.3642011852	i	32	167.099394538826	7.03057928997558	1453.071	Pan-STARRS1	
rings.v3.skycell.1453.071.wrp.i.55264_36676	-9999	55264.3673419852	i	32	167.099166176493	7.03064105904224	1453.071	Pan-STARRS1	
rings.v3.skycell.1453.071.wrp.i.55264_37611	-9999	55264.3767007852	i	32	167.098485713743	7.03082511544227	1453.071	Pan-STARRS1	
rings.v3.skycell.1453.072.wrp.r.55267_46341	-9999	55267.4640216334	r	36	166.874580102752	7.09100086148834	1453.072	Pan-STARRS1	
rings.v3.skycell.1453.072.wrp.r.55267_46399	-9999	55267.4646030334	r	36	166.874538072377	7.09101206958826	1453.072	Pan-STARRS1	
rings.v3.skycell.1453.072.wrp.r.55267_47716	-9999	55267.4777777334	r	36	166.873585651356	7.09126604852725	1453.072	Pan-STARRS1	
rings.v3.skycell.1453.072.wrp.r.55267_47775	-9999	55267.4783616333	r	36	166.873543440259	7.09127730481974	1453.072	Pan-STARRS1	
rings.v3.skycell.1453.089.wrp.z.55329_27238	-9999	55329.2729587111	z	30	164.119495749245	7.52456831554083	1453.089	Pan-STARRS1	
rings.v3.skycell.1453.089.wrp.z.55329_27292	-9999	55329.2734858111	z	30	164.119494695045	7.52456286884086	1453.089	Pan-STARRS1	
rings.v3.skycell.1453.089.wrp.z.55329_27655	-9999	55329.2771212111	z	30	164.119487424245	7.52452530304089	1453.089	Pan-STARRS1	
rings.v3.skycell.1453.089.wrp.z.55329_28465	-9999	55329.2852284111	z	30	164.119471209845	7.52444152864086	1453.089	Pan-STARRS1	
rings.v3.skycell.1453.089.wrp.z.55329_28519	-9999	55329.2857578111	z	30	164.119470151045	7.52443605817419	1453.089	Pan-STARRS1	
rings.v3.skycell.1453.089.wrp.z.55333_29359	-9999	55333.2941651111	z	30	164.123019819454	7.47849448759887	1453.089	Pan-STARRS1	
rings.v3.skycell.1453.089.wrp.z.55333_30562	-9999	55333.3061940111	z	30	164.123073448299	7.47833978257946	1453.089	Pan-STARRS1	
rings.v3.skycell.1453.088.wrp.y.55343_32181	-9999	55343.3223761111	y	30	164.244985079931	7.31944027743848	1453.088	Pan-STARRS1	
rings.v3.skycell.1453.088.wrp.y.55343_32488	-9999	55343.3254584111	y	30	164.245047881793	7.31938154249963	1453.088	Pan-STARRS1	
rings.v3.skycell.1453.088.wrp.y.55343_33365	-9999	55343.3342167111	y	30	164.245226332156	7.31921464822743	1453.088	Pan-STARRS1	
rings.v3.skycell.1453.088.wrp.y.55343_33674	-9999	55343.3373075111	y	30	164.245289307206	7.31915575131624	1453.088	Pan-STARRS1	
05007a069-w1-int-1b	-9999	55345.1685134463	w1	8	164.284710065988	7.28344403289453	05007a069	WISE	
05007a069-w2-int-1b	-9999	55345.1685134463	w2	8	164.284710065988	7.28344403289453	05007a069	WISE	
05007a069-w3-int-1b	-9999	55345.1685192333	w3	9	164.284710201983	7.28344391554692	05007a069	WISE	
05007a069-w4-int-1b	-9999	55345.1685192333	w4	9	164.284710201983	7.28344391554692	05007a069	WISE	
05010a153-w1-int-1b	-9999	55345.3008172663	w1	8	164.287819205758	7.2807612054333	05010a153	WISE	
05010a153-w2-int-1b	-9999	55345.3008172663	w2	8	164.287819205758	7.2807612054333	05010a153	WISE	
05010a153-w3-int-1b	-9999	55345.3008230533	w3	9	164.287819341753	7.28076108808583	05010a153	WISE	
05010a153-w4-int-1b	-9999	55345.3008230533	w4	9	164.287819341753	7.28076108808583	05010a153	WISE	
05015a063-w1-int-1b	-9999	55345.4331210463	w1	8	164.290928344588	7.27807837878338	05015a063	WISE	
05015a063-w2-int-1b	-9999	55345.4331210463	w2	8	164.290928344588	7.27807837878338	05015a063	WISE	
05015a063-w3-int-1b	-9999	55345.4331268333	w3	9	164.290928480582	7.27807826143592	05015a063	WISE	
05015a063-w4-int-1b	-9999	55345.4331268333	w4	9	164.290928480582	7.27807826143592	05015a063	WISE	
05018a153-w1-int-1b	-9999	55345.5654248263	w1	8	164.294037483418	7.27539555213332	05018a153	WISE	
05018a153-w2-int-1b	-9999	55345.5654248263	w2	8	164.294037483418	7.27539555213332	05018a153	WISE	
05018a153-w3-int-1b	-9999	55345.5654306133	w3	9	164.294037619413	7.27539543478586	05018a153	WISE	
05018a153-w4-int-1b	-9999	55345.5654306133	w4	9	164.294037619413	7.27539543478586	05018a153	WISE	
05022a153-w1-int-1b	-9999	55345.6977286963	w1	8	164.297146624363	7.27271272365834	05022a153	WISE	
05022a153-w2-int-1b	-9999	55345.6977286963	w2	8	164.297146624363	7.27271272365834	05022a153	WISE	
05022a153-w3-int-1b	-9999	55345.6977344833	w3	9	164.297146760358	7.27271260631087	05022a153	WISE	
05022a153-w4-int-1b	-9999	55345.6977344833	w4	9	164.297146760358	7.27271260631087	05022a153	WISE	
05025a129-w1-int-1b	-9999	55345.7638169463	w1	8	164.298699698238	7.27137260081108	05025a129	WISE	
05025a129-w2-int-1b	-9999	55345.7638169463	w2	8	164.298699698238	7.27137260081108	05025a129	WISE	
05025a129-w3-int-1b	-9999	55345.7638227333	w3	9	164.298699834233	7.27137248346362	05025a129	WISE	
05025a129-w4-int-1b	-9999	55345.7638227333	w4	9	164.298699834233	7.27137248346362	05025a129	WISE	
05025a130-w1-int-1b	-9999	55345.7639442563	w1	8	164.298702690023	7.27137001924722	05025a130	WISE	
05025a130-w2-int-1b	-9999	55345.7639442563	w2	8	164.298702690023	7.27137001924722	05025a130	WISE	
05025a130-w3-int-1b	-9999	55345.7639500433	w3	9	164.298702826018	7.27136990189975	05025a130	WISE	
05025a130-w4-int-1b	-9999	55345.7639500433	w4	9	164.298702826018	7.27136990189975	05025a130	WISE	
05026a153-w1-int-1b	-9999	55345.8300325163	w1	8	164.300255764133	7.27002989619725	05026a153	WISE	
05026a153-w2-int-1b	-9999	55345.8300325163	w2	8	164.300255764133	7.27002989619725	05026a153	WISE	
05026a153-w3-int-1b	-9999	55345.8300383033	w3	9	164.300255900127	7.27002977884978	05026a153	WISE	
05026a153-w4-int-1b	-9999	55345.8300383033	w4	9	164.300255900127	7.27002977884978	05026a153	WISE	
05029a129-w1-int-1b	-9999	55345.8961207763	w1	8	164.301808838243	7.26868977314727	05029a129	WISE	
05029a129-w2-int-1b	-9999	55345.8961207763	w2	8	164.301808838243	7.26868977314727	05029a129	WISE	
05029a129-w3-int-1b	-9999	55345.8961265633	w3	9	164.301808974237	7.26868965579981	05029a129	WISE	
05029a129-w4-int-1b	-9999	55345.8961265633	w4	9	164.301808974237	7.26868965579981	05029a129	WISE	
05029a130-w1-int-1b	-9999	55345.8962480863	w1	8	164.301811830028	7.26868719158341	05029a130	WISE	
05029a130-w2-int-1b	-9999	55345.8962480863	w2	8	164.301811830028	7.26868719158341	05029a130	WISE	
05029a130-w3-int-1b	-9999	55345.8962538733	w3	9	164.301811966023	7.2686870742358	05029a130	WISE	
05029a130-w4-int-1b	-9999	55345.8962538733	w4	9	164.301811966023	7.2686870742358	05029a130	WISE	
05030a153-w1-int-1b	-9999	55345.9623363463	w1	8	164.303364904138	7.26734706853329	05030a153	WISE	
05030a153-w2-int-1b	-9999	55345.9623363463	w2	8	164.303364904138	7.26734706853329	05030a153	WISE	
05030a153-w3-int-1b	-9999	55345.9623421333	w3	9	164.303365040133	7.26734695118582	05030a153	WISE	
05030a153-w4-int-1b	-9999	55345.9623421333	w4	9	164.303365040133	7.26734695118582	05030a153	WISE	
05033a129-w1-int-1b	-9999	55346.0284246463	w1	8	164.304961800518	7.26599036362861	05033a129	WISE	
