Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
01809b161-w1-int-1b	-9999	55239.4156677763	w1	8	229.203506795689	-24.6043303366622	01809b161	WISE	
01809b161-w2-int-1b	-9999	55239.4156677763	w2	8	229.203506795689	-24.6043303366622	01809b161	WISE	
01809b161-w3-int-1b	-9999	55239.4156735633	w3	9	229.203506816667	-24.6043303540232	01809b161	WISE	
01809b161-w4-int-1b	-9999	55239.4156735633	w4	9	229.203506816667	-24.6043303540232	01809b161	WISE	
01814a104-w1-int-1b	-9999	55239.5479718863	w1	8	229.203986398088	-24.6047272489922	01814a104	WISE	
01814a104-w2-int-1b	-9999	55239.5479718863	w2	8	229.203986398088	-24.6047272489922	01814a104	WISE	
01814a104-w3-int-1b	-9999	55239.5479776733	w3	9	229.203986419066	-24.6047272663532	01814a104	WISE	
01814a104-w4-int-1b	-9999	55239.5479776733	w4	9	229.203986419066	-24.6047272663532	01814a104	WISE	
01817b160-w1-int-1b	-9999	55239.6802760463	w1	8	229.204466000668	-24.6051241614722	01817b160	WISE	
01817b160-w2-int-1b	-9999	55239.6802760463	w2	8	229.204466000668	-24.6051241614722	01817b160	WISE	
01817b160-w3-int-1b	-9999	55239.6802818333	w3	9	229.204466021646	-24.6051241788332	01817b160	WISE	
01817b160-w4-int-1b	-9999	55239.6802818333	w4	9	229.204466021646	-24.6051241788332	01817b160	WISE	
01821b160-w1-int-1b	-9999	55239.8125801463	w1	8	229.20494560303	-24.6055210737722	01821b160	WISE	
01821b160-w2-int-1b	-9999	55239.8125801463	w2	8	229.20494560303	-24.6055210737722	01821b160	WISE	
01821b160-w3-int-1b	-9999	55239.8125859333	w3	9	229.204945624008	-24.6055210911332	01821b160	WISE	
01821b160-w4-int-1b	-9999	55239.8125859333	w4	9	229.204945624008	-24.6055210911332	01821b160	WISE	
01821b161-w1-int-1b	-9999	55239.8127075563	w1	8	229.204946064892	-24.6055214560022	01821b161	WISE	
01821b161-w2-int-1b	-9999	55239.8127075563	w2	8	229.204946064892	-24.6055214560022	01821b161	WISE	
01821b161-w3-int-1b	-9999	55239.8127133433	w3	9	229.204946085869	-24.6055214733632	01821b161	WISE	
01821b161-w4-int-1b	-9999	55239.8127133433	w4	9	229.204946085869	-24.6055214733632	01821b161	WISE	
01824a136-w1-int-1b	-9999	55239.8787959363	w1	8	229.205185635269	-24.6057197211422	01824a136	WISE	
01824a136-w2-int-1b	-9999	55239.8787959363	w2	8	229.205185635269	-24.6057197211422	01824a136	WISE	
01824a136-w3-int-1b	-9999	55239.8788017233	w3	9	229.205185656247	-24.6057197385032	01824a136	WISE	
01824a136-w4-int-1b	-9999	55239.8788017233	w4	9	229.205185656247	-24.6057197385032	01824a136	WISE	
01825b160-w1-int-1b	-9999	55239.9448843663	w1	8	229.205425205828	-24.6059179864322	01825b160	WISE	
01825b160-w2-int-1b	-9999	55239.9448843663	w2	8	229.205425205828	-24.6059179864322	01825b160	WISE	
01825b160-w3-int-1b	-9999	55239.9448901533	w3	9	229.205425226806	-24.6059180037932	01825b160	WISE	
01825b160-w4-int-1b	-9999	55239.9448901533	w4	9	229.205425226806	-24.6059180037932	01825b160	WISE	
01825b161-w1-int-1b	-9999	55239.9450117263	w1	8	229.205425667508	-24.6059183685122	01825b161	WISE	
01825b161-w2-int-1b	-9999	55239.9450117263	w2	8	229.205425667508	-24.6059183685122	01825b161	WISE	
01825b161-w3-int-1b	-9999	55239.9450175133	w3	9	229.205425688486	-24.6059183858732	01825b161	WISE	
01825b161-w4-int-1b	-9999	55239.9450175133	w4	9	229.205425688486	-24.6059183858732	01825b161	WISE	
01828a135-w1-int-1b	-9999	55240.0111001363	w1	8	229.205660612937	-24.6061154003937	01828a135	WISE	
01828a135-w2-int-1b	-9999	55240.0111001363	w2	8	229.205660612937	-24.6061154003937	01828a135	WISE	
01828a135-w3-int-1b	-9999	55240.0111059233	w3	9	229.205660631504	-24.6061154171117	01828a135	WISE	
01828a135-w4-int-1b	-9999	55240.0111059233	w4	9	229.205660631504	-24.6061154171117	01828a135	WISE	
01828a137-w1-int-1b	-9999	55240.0112274563	w1	8	229.205661021422	-24.6061157682071	01828a137	WISE	
01828a137-w2-int-1b	-9999	55240.0112274563	w2	8	229.205661021422	-24.6061157682071	01828a137	WISE	
01828a137-w3-int-1b	-9999	55240.0112332433	w3	9	229.205661039989	-24.606115784925	01828a137	WISE	
01828a137-w4-int-1b	-9999	55240.0112332433	w4	9	229.205661039989	-24.606115784925	01828a137	WISE	
01829b161-w1-int-1b	-9999	55240.0773158763	w1	8	229.205873055103	-24.6063066903093	01829b161	WISE	
01829b161-w2-int-1b	-9999	55240.0773158763	w2	8	229.205873055103	-24.6063066903093	01829b161	WISE	
01829b161-w3-int-1b	-9999	55240.0773216633	w3	9	229.20587307367	-24.6063067070273	01829b161	WISE	
01829b161-w4-int-1b	-9999	55240.0773216633	w4	9	229.20587307367	-24.6063067070273	01829b161	WISE	
01832a113-w1-int-1b	-9999	55240.1434043063	w1	8	229.206085088816	-24.6064976124404	01832a113	WISE	
01832a113-w2-int-1b	-9999	55240.1434043063	w2	8	229.206085088816	-24.6064976124404	01832a113	WISE	
01832a113-w3-int-1b	-9999	55240.1434100933	w3	9	229.206085107383	-24.6064976291584	01832a113	WISE	
01832a113-w4-int-1b	-9999	55240.1434100933	w4	9	229.206085107383	-24.6064976291584	01832a113	WISE	
01832a114-w1-int-1b	-9999	55240.1435316663	w1	8	229.206085497429	-24.6064979803693	01832a114	WISE	
01832a114-w2-int-1b	-9999	55240.1435316663	w2	8	229.206085497429	-24.6064979803693	01832a114	WISE	
01832a114-w3-int-1b	-9999	55240.1435374533	w3	9	229.206085515996	-24.6064979970873	01832a114	WISE	
01832a114-w4-int-1b	-9999	55240.1435374533	w4	9	229.206085515996	-24.6064979970873	01832a114	WISE	
01833b160-w1-int-1b	-9999	55240.2096200363	w1	8	229.20629753095	-24.6066889023271	01833b160	WISE	
01833b160-w2-int-1b	-9999	55240.2096200363	w2	8	229.20629753095	-24.6066889023271	01833b160	WISE	
01833b160-w3-int-1b	-9999	55240.2096258233	w3	9	229.206297549516	-24.6066889190451	01833b160	WISE	
01833b160-w4-int-1b	-9999	55240.2096258233	w4	9	229.206297549516	-24.6066889190451	01833b160	WISE	
01836a135-w1-int-1b	-9999	55240.2757084563	w1	8	229.206509564631	-24.6068798244293	01836a135	WISE	
01836a135-w2-int-1b	-9999	55240.2757084563	w2	8	229.206509564631	-24.6068798244293	01836a135	WISE	
01836a135-w3-int-1b	-9999	55240.2757142433	w3	9	229.206509583197	-24.6068798411473	01836a135	WISE	
01836a135-w4-int-1b	-9999	55240.2757142433	w4	9	229.206509583197	-24.6068798411473	01836a135	WISE	
01836a136-w1-int-1b	-9999	55240.2758358263	w1	8	229.206509973276	-24.6068801923871	01836a136	WISE	
01836a136-w2-int-1b	-9999	55240.2758358263	w2	8	229.206509973276	-24.6068801923871	01836a136	WISE	
01836a136-w3-int-1b	-9999	55240.2758416133	w3	9	229.206509991843	-24.6068802091051	01836a136	WISE	
01836a136-w4-int-1b	-9999	55240.2758416133	w4	9	229.206509991843	-24.6068802091051	01836a136	WISE	
01840a136-w1-int-1b	-9999	55240.4081400363	w1	8	229.206934449283	-24.6072624045493	01840a136	WISE	
01840a136-w2-int-1b	-9999	55240.4081400363	w2	8	229.206934449283	-24.6072624045493	01840a136	WISE	
01840a136-w3-int-1b	-9999	55240.4081458233	w3	9	229.20693446785	-24.6072624212673	01840a136	WISE	
01840a136-w4-int-1b	-9999	55240.4081458233	w4	9	229.20693446785	-24.6072624212673	01840a136	WISE	
01844a095-w1-int-1b	-9999	55240.5404441863	w1	8	229.207358925098	-24.6076446165382	01844a095	WISE	
01844a095-w2-int-1b	-9999	55240.5404441863	w2	8	229.207358925098	-24.6076446165382	01844a095	WISE	
01844a095-w3-int-1b	-9999	55240.5404499733	w3	9	229.207358943664	-24.6076446332562	01844a095	WISE	
01844a095-w4-int-1b	-9999	55240.5404499733	w4	9	229.207358943664	-24.6076446332562	01844a095	WISE	
rings.v3.skycell.0766.082.wrp.y.55240_65355	-9999	55240.6541219111	y	30	229.207723641131	-24.6079730188543	0766.082	Pan-STARRS1	
rings.v3.skycell.0766.082.wrp.y.55240_65456	-9999	55240.6551294111	y	30	229.207726873527	-24.6079759294098	0766.082	Pan-STARRS1	
rings.v3.skycell.0766.082.wrp.y.55240_66169	-9999	55240.6622663111	y	30	229.207749771081	-24.6079965471209	0766.082	Pan-STARRS1	
