Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.0767.037.wrp.y.55240_66067	-9999	55240.6612428111	y	30	231.756896327209	-26.4447184426678	0767.037	Pan-STARRS1	
01881b162-w4-int-1b	-9999	55241.7977853733	w4	9	231.760825951244	-26.4493244133091	01881b162	WISE	
01885b163-w1-int-1b	-9999	55241.9302110563	w1	8	231.761267370188	-26.4498577945323	01885b163	WISE	
01885b163-w2-int-1b	-9999	55241.9302110563	w2	8	231.761267370188	-26.4498577945323	01885b163	WISE	
01885b163-w3-int-1b	-9999	55241.9302168433	w3	9	231.761267389478	-26.4498578178411	01885b163	WISE	
01885b163-w4-int-1b	-9999	55241.9302168433	w4	9	231.761267389478	-26.4498578178411	01885b163	WISE	
01889b162-w1-int-1b	-9999	55242.0625152663	w1	8	231.761682336193	-26.4503837403486	01889b162	WISE	
01889b162-w2-int-1b	-9999	55242.0625152663	w2	8	231.761682336193	-26.4503837403486	01889b162	WISE	
01889b162-w3-int-1b	-9999	55242.0625210533	w3	9	231.761682353072	-26.4503837630143	01889b162	WISE	
01889b162-w4-int-1b	-9999	55242.0625210533	w4	9	231.761682353072	-26.4503837630143	01889b162	WISE	
01893b162-w1-int-1b	-9999	55242.1948194163	w1	8	231.762068223298	-26.4509019316027	01893b162	WISE	
01893b162-w2-int-1b	-9999	55242.1948194163	w2	8	231.762068223298	-26.4509019316027	01893b162	WISE	
01893b162-w3-int-1b	-9999	55242.1948252033	w3	9	231.762068240176	-26.4509019542685	01893b162	WISE	
01893b162-w4-int-1b	-9999	55242.1948252033	w4	9	231.762068240176	-26.4509019542685	01893b162	WISE	
01897b162-w1-int-1b	-9999	55242.3271235763	w1	8	231.762454110431	-26.4514201228961	01897b162	WISE	
01897b162-w2-int-1b	-9999	55242.3271235763	w2	8	231.762454110431	-26.4514201228961	01897b162	WISE	
01897b162-w3-int-1b	-9999	55242.3271293633	w3	9	231.76245412731	-26.4514201455618	01897b162	WISE	
01897b162-w4-int-1b	-9999	55242.3271293633	w4	9	231.76245412731	-26.4514201455618	01897b162	WISE	
01897b163-w1-int-1b	-9999	55242.3272509063	w1	8	231.76245448181	-26.4514206216053	01897b163	WISE	
01897b163-w2-int-1b	-9999	55242.3272509063	w2	8	231.76245448181	-26.4514206216053	01897b163	WISE	
01897b163-w3-int-1b	-9999	55242.3272566933	w3	9	231.762454498689	-26.451420644271	01897b163	WISE	
01897b163-w4-int-1b	-9999	55242.3272566933	w4	9	231.762454498689	-26.451420644271	01897b163	WISE	
01900a138-w1-int-1b	-9999	55242.3933393163	w1	8	231.762647239673	-26.4516794678778	01900a138	WISE	
01900a138-w2-int-1b	-9999	55242.3933393163	w2	8	231.762647239673	-26.4516794678778	01900a138	WISE	
01900a138-w3-int-1b	-9999	55242.3933451033	w3	9	231.762647256551	-26.4516794905435	01900a138	WISE	
01900a138-w4-int-1b	-9999	55242.3933451033	w4	9	231.762647256551	-26.4516794905435	01900a138	WISE	
01902a084-w1-int-1b	-9999	55242.4594277463	w1	8	231.762839997594	-26.4519383142286	01902a084	WISE	
01902a084-w2-int-1b	-9999	55242.4594277463	w2	8	231.762839997594	-26.4519383142286	01902a084	WISE	
01902a084-w3-int-1b	-9999	55242.4594335333	w3	9	231.762840014472	-26.4519383368943	01902a084	WISE	
01902a084-w4-int-1b	-9999	55242.4594335333	w4	9	231.762840014472	-26.4519383368943	01902a084	WISE	
01902a085-w1-int-1b	-9999	55242.4595551063	w1	8	231.76284036906	-26.4519388130553	01902a085	WISE	
01902a085-w2-int-1b	-9999	55242.4595551063	w2	8	231.76284036906	-26.4519388130553	01902a085	WISE	
01902a085-w3-int-1b	-9999	55242.4595608933	w3	9	231.762840385939	-26.451938835721	01902a085	WISE	
01902a085-w4-int-1b	-9999	55242.4595608933	w4	9	231.762840385939	-26.451938835721	01902a085	WISE	
01904a084-w1-int-1b	-9999	55242.5256435263	w1	8	231.763033126952	-26.4521976593669	01904a084	WISE	
01904a084-w2-int-1b	-9999	55242.5256435263	w2	8	231.763033126952	-26.4521976593669	01904a084	WISE	
01904a084-w3-int-1b	-9999	55242.5256493133	w3	9	231.763033143831	-26.4521976820327	01904a084	WISE	
01904a084-w4-int-1b	-9999	55242.5256493133	w4	9	231.763033143831	-26.4521976820327	01904a084	WISE	
01905b162-w1-int-1b	-9999	55242.5917318963	w1	8	231.763225884698	-26.4524565054827	01905b162	WISE	
01905b162-w2-int-1b	-9999	55242.5917318963	w2	8	231.763225884698	-26.4524565054827	01905b162	WISE	
01905b162-w3-int-1b	-9999	55242.5917376833	w3	9	231.763225901577	-26.4524565281485	01905b162	WISE	
01905b162-w4-int-1b	-9999	55242.5917376833	w4	9	231.763225901577	-26.4524565281485	01905b162	WISE	
01905b163-w1-int-1b	-9999	55242.5918592563	w1	8	231.763226256164	-26.4524570043094	01905b163	WISE	
01905b163-w2-int-1b	-9999	55242.5918592563	w2	8	231.763226256164	-26.4524570043094	01905b163	WISE	
01905b163-w3-int-1b	-9999	55242.5918650433	w3	9	231.763226273043	-26.4524570269752	01905b163	WISE	
01905b163-w4-int-1b	-9999	55242.5918650433	w4	9	231.763226273043	-26.4524570269752	01905b163	WISE	
01908a137-w1-int-1b	-9999	55242.6579476863	w1	8	231.763419014085	-26.4527158506603	01908a137	WISE	
01908a137-w2-int-1b	-9999	55242.6579476863	w2	8	231.763419014085	-26.4527158506603	01908a137	WISE	
01908a137-w3-int-1b	-9999	55242.6579534733	w3	9	231.763419030964	-26.452715873326	01908a137	WISE	
01908a137-w4-int-1b	-9999	55242.6579534733	w4	9	231.763419030964	-26.452715873326	01908a137	WISE	
01908a138-w1-int-1b	-9999	55242.6580749963	w1	8	231.763419385406	-26.4527163492911	01908a138	WISE	
01908a138-w2-int-1b	-9999	55242.6580749963	w2	8	231.763419385406	-26.4527163492911	01908a138	WISE	
01908a138-w3-int-1b	-9999	55242.6580807833	w3	9	231.763419402285	-26.4527163719569	01908a138	WISE	
01908a138-w4-int-1b	-9999	55242.6580807833	w4	9	231.763419402285	-26.4527163719569	01908a138	WISE	
01909b162-w1-int-1b	-9999	55242.7241634263	w1	8	231.763612143327	-26.4529751956419	01909b162	WISE	
01909b162-w2-int-1b	-9999	55242.7241634263	w2	8	231.763612143327	-26.4529751956419	01909b162	WISE	
01909b162-w3-int-1b	-9999	55242.7241692133	w3	9	231.763612160206	-26.4529752183077	01909b162	WISE	
01909b162-w4-int-1b	-9999	55242.7241692133	w4	9	231.763612160206	-26.4529752183077	01909b162	WISE	
01912a137-w1-int-1b	-9999	55242.7902518363	w1	8	231.763804901189	-26.4532340419144	01912a137	WISE	
01912a137-w2-int-1b	-9999	55242.7902518363	w2	8	231.763804901189	-26.4532340419144	01912a137	WISE	
01912a137-w3-int-1b	-9999	55242.7902576233	w3	9	231.763804918068	-26.4532340645802	01912a137	WISE	
01912a137-w4-int-1b	-9999	55242.7902576233	w4	9	231.763804918068	-26.4532340645802	01912a137	WISE	
01912a138-w1-int-1b	-9999	55242.7903792063	w1	8	231.763805272685	-26.4532345407803	01912a138	WISE	
01912a138-w2-int-1b	-9999	55242.7903792063	w2	8	231.763805272685	-26.4532345407803	01912a138	WISE	
01912a138-w3-int-1b	-9999	55242.7903849933	w3	9	231.763805289564	-26.453234563446	01912a138	WISE	
01912a138-w4-int-1b	-9999	55242.7903849933	w4	9	231.763805289564	-26.453234563446	01912a138	WISE	
01916a138-w1-int-1b	-9999	55242.9226834163	w1	8	231.764191159964	-26.4537527322694	01916a138	WISE	
01916a138-w2-int-1b	-9999	55242.9226834163	w2	8	231.764191159964	-26.4537527322694	01916a138	WISE	
01916a138-w3-int-1b	-9999	55242.9226892033	w3	9	231.764191176843	-26.4537527549352	01916a138	WISE	
01916a138-w4-int-1b	-9999	55242.9226892033	w4	9	231.764191176843	-26.4537527549352	01916a138	WISE	
01920a138-w1-int-1b	-9999	55243.0549876163	w1	8	231.764551844557	-26.4542663414181	01920a138	WISE	
01920a138-w2-int-1b	-9999	55243.0549876163	w2	8	231.764551844557	-26.4542663414181	01920a138	WISE	
01920a138-w3-int-1b	-9999	55243.0549934033	w3	9	231.764551858783	-26.4542663636016	01920a138	WISE	
01920a138-w4-int-1b	-9999	55243.0549934033	w4	9	231.764551858783	-26.4542663636016	01920a138	WISE	
rings.v3.skycell.0767.036.wrp.y.55246_66105	-9999	55246.6616236111	y	30	231.771271894213	-26.4676024395062	0767.036	Pan-STARRS1	
rings.v3.skycell.0767.036.wrp.y.55246_66647	-9999	55246.6670431111	y	30	231.771278216963	-26.4676217088395	0767.036	Pan-STARRS1	
rings.v3.skycell.0767.036.wrp.z.55254_65579	-9999	55254.6563611111	z	30	231.766467202546	-26.4924534274691	0767.036	Pan-STARRS1	
rings.v3.skycell.0767.037.wrp.z.55254_65579	-9999	55254.6563611111	z	30	231.766467202546	-26.4924534274691	0767.037	Pan-STARRS1	
rings.v3.skycell.0767.036.wrp.z.55254_66572	-9999	55254.6662931111	z	30	231.76644526938	-26.4924804645802	0767.036	Pan-STARRS1	
rings.v3.skycell.0767.036.wrp.z.55254_66622	-9999	55254.6667921111	z	30	231.766444167421	-26.4924818229691	0767.036	Pan-STARRS1	
rings.v3.skycell.0767.037.wrp.z.55254_66622	-9999	55254.6667921111	z	30	231.766444167421	-26.4924818229691	0767.037	Pan-STARRS1	
rings.v3.skycell.0767.038.wrp.g.55305_51801	-9999	55305.5187044259	g	52	231.179482625347	-26.4892546379517	0767.038	Pan-STARRS1	
rings.v3.skycell.0767.038.wrp.g.55305_52797	-9999	55305.5286730259	g	52	231.179295714097	-26.4892275012073	0767.038	Pan-STARRS1	
rings.v3.skycell.0767.038.wrp.r.55306_48638	-9999	55306.4869904333	r	36	231.161246097637	-26.4865916932408	0767.038	Pan-STARRS1	
rings.v3.skycell.0767.038.wrp.r.55306_49490	-9999	55306.4954980333	r	36	231.161085162203	-26.4865680610186	0767.038	Pan-STARRS1	
rings.v3.skycell.0767.039.wrp.g.55331_41919	-9999	55331.4198366426	g	43	230.654391763838	-26.3919690911302	0767.039	Pan-STARRS1	
rings.v3.skycell.0767.049.wrp.g.55331_41919	-9999	55331.4198366426	g	43	230.654391763838	-26.3919690911302	0767.049	Pan-STARRS1	
rings.v3.skycell.0767.039.wrp.g.55331_43066	-9999	55331.4313064426	g	43	230.654150898038	-26.3919158840024	0767.039	Pan-STARRS1	
rings.v3.skycell.0767.049.wrp.g.55331_43066	-9999	55331.4313064426	g	43	230.654150898038	-26.3919158840024	0767.049	Pan-STARRS1	
rings.v3.skycell.0766.042.wrp.y.55402_25411	-9999	55402.2546870111	y	30	229.594365301577	-26.0418232222652	0766.042	Pan-STARRS1	
rings.v3.skycell.0766.042.wrp.y.55402_26462	-9999	55402.2651963111	y	30	229.594320199165	-26.0417849800902	0766.042	Pan-STARRS1	
rings.v3.skycell.0766.042.wrp.z.55402_27847	-9999	55402.2790405111	z	30	229.594260784473	-26.0417346025846	0766.042	Pan-STARRS1	
rings.v3.skycell.0766.042.wrp.z.55402_28979	-9999	55402.2903630111	z	30	229.594212192077	-26.0416934012651	0766.042	Pan-STARRS1	
rings.v3.skycell.0766.042.wrp.z.55410_25054	-9999	55410.2511196111	z	30	229.571529897136	-26.0150869500448	0766.042	Pan-STARRS1	
07226a138-w1-int-1b	-9999	55418.5911272563	w1	8	229.574831884815	-25.9930702101384	07226a138	WISE	
07226a138-w2-int-1b	-9999	55418.5911272563	w2	8	229.574831884815	-25.9930702101384	07226a138	WISE	
07226a138-w3-int-1b	-9999	55418.5911330433	w3	9	229.57483189663	-25.9930701969569	07226a138	WISE	
07230a138-w1-int-1b	-9999	55418.7234312063	w1	8	229.57510200538	-25.9927688511412	07230a138	WISE	
07230a138-w2-int-1b	-9999	55418.7234312063	w2	8	229.57510200538	-25.9927688511412	07230a138	WISE	
07230a138-w3-int-1b	-9999	55418.7234369933	w3	9	229.575102017195	-25.9927688379597	07230a138	WISE	
07234a138-w1-int-1b	-9999	55418.8557350963	w1	8	229.575372125822	-25.9924674922807	07234a138	WISE	
07234a138-w2-int-1b	-9999	55418.8557350963	w2	8	229.575372125822	-25.9924674922807	07234a138	WISE	
07234a138-w3-int-1b	-9999	55418.8557408833	w3	9	229.575372137637	-25.9924674790992	07234a138	WISE	
07237a115-w1-int-1b	-9999	55418.9219507363	w1	8	229.575507316087	-25.9923166677673	07237a115	WISE	
07237a115-w2-int-1b	-9999	55418.9219507363	w2	8	229.575507316087	-25.9923166677673	07237a115	WISE	
07237a115-w3-int-1b	-9999	55418.9219565233	w3	9	229.575507327902	-25.9923166545858	07237a115	WISE	
07238a138-w1-int-1b	-9999	55418.9880390263	w1	8	229.575642246346	-25.992166133329	07238a138	WISE	
07238a138-w2-int-1b	-9999	55418.9880390263	w2	8	229.575642246346	-25.992166133329	07238a138	WISE	
07238a138-w3-int-1b	-9999	55418.9880448133	w3	9	229.575642258161	-25.9921661201475	07238a138	WISE	
07241a114-w1-int-1b	-9999	55419.0541273163	w1	8	229.575799729653	-25.9920216130369	07241a114	WISE	
07241a114-w2-int-1b	-9999	55419.0541273163	w2	8	229.575799729653	-25.9920216130369	07241a114	WISE	
