Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
01069b160-w1-int-1b	-9999	55214.9334708663	w1	8	203.347942388715	-16.3146235173243	01069b160	WISE	
01069b160-w2-int-1b	-9999	55214.9334708663	w2	8	203.347942388715	-16.3146235173243	01069b160	WISE	
01069b160-w3-int-1b	-9999	55214.9334766533	w3	9	203.347942419097	-16.3146235718186	01069b160	WISE	
01069b160-w4-int-1b	-9999	55214.9334766533	w4	9	203.347942419097	-16.3146235718186	01069b160	WISE	
01073b160-w1-int-1b	-9999	55215.0657756163	w1	8	203.348582175639	-16.3158511160489	01073b160	WISE	
01073b160-w2-int-1b	-9999	55215.0657756163	w2	8	203.348582175639	-16.3158511160489	01073b160	WISE	
01073b160-w3-int-1b	-9999	55215.0657814033	w3	9	203.348582201198	-16.3158511689357	01073b160	WISE	
01073b160-w4-int-1b	-9999	55215.0657814033	w4	9	203.348582201198	-16.3158511689357	01073b160	WISE	
01073b161-w1-int-1b	-9999	55215.0659029263	w1	8	203.348582737925	-16.3158522795209	01073b161	WISE	
01073b161-w2-int-1b	-9999	55215.0659029263	w2	8	203.348582737925	-16.3158522795209	01073b161	WISE	
01073b161-w3-int-1b	-9999	55215.0659087133	w3	9	203.348582763484	-16.3158523324077	01073b161	WISE	
01073b161-w4-int-1b	-9999	55215.0659087133	w4	9	203.348582763484	-16.3158523324077	01073b161	WISE	
01078a123-w1-int-1b	-9999	55215.1980803163	w1	8	203.349166521397	-16.3170602340018	01078a123	WISE	
01078a123-w2-int-1b	-9999	55215.1980803163	w2	8	203.349166521397	-16.3170602340018	01078a123	WISE	
01078a123-w3-int-1b	-9999	55215.1980861033	w3	9	203.349166546956	-16.3170602868885	01078a123	WISE	
01078a123-w4-int-1b	-9999	55215.1980861033	w4	9	203.349166546956	-16.3170602868885	01078a123	WISE	
01078a124-w1-int-1b	-9999	55215.1982076763	w1	8	203.349167083904	-16.3170613979306	01078a124	WISE	
01078a124-w2-int-1b	-9999	55215.1982076763	w2	8	203.349167083904	-16.3170613979306	01078a124	WISE	
01078a124-w3-int-1b	-9999	55215.1982134633	w3	9	203.349167109463	-16.3170614508174	01078a124	WISE	
01078a124-w4-int-1b	-9999	55215.1982134633	w4	9	203.349167109463	-16.3170614508174	01078a124	WISE	
01080a135-w1-int-1b	-9999	55215.2642963663	w1	8	203.349458975618	-16.3176653751254	01080a135	WISE	
01080a135-w2-int-1b	-9999	55215.2642963663	w2	8	203.349458975618	-16.3176653751254	01080a135	WISE	
01080a135-w3-int-1b	-9999	55215.2643021533	w3	9	203.349459001177	-16.3176654280121	01080a135	WISE	
01080a135-w4-int-1b	-9999	55215.2643021533	w4	9	203.349459001177	-16.3176654280121	01080a135	WISE	
01081b160-w1-int-1b	-9999	55215.3305124263	w1	8	203.349751429883	-16.3182705163403	01081b160	WISE	
01081b160-w2-int-1b	-9999	55215.3305124263	w2	8	203.349751429883	-16.3182705163403	01081b160	WISE	
01081b160-w3-int-1b	-9999	55215.3305182133	w3	9	203.349751455442	-16.3182705692271	01081b160	WISE	
01081b160-w4-int-1b	-9999	55215.3305182133	w4	9	203.349751455442	-16.3182705692271	01081b160	WISE	
01084a135-w1-int-1b	-9999	55215.3966011263	w1	8	203.350043321641	-16.3188744936264	01084a135	WISE	
01084a135-w2-int-1b	-9999	55215.3966011263	w2	8	203.350043321641	-16.3188744936264	01084a135	WISE	
01084a135-w3-int-1b	-9999	55215.3966069133	w3	9	203.3500433472	-16.3188745465132	01084a135	WISE	
01084a135-w4-int-1b	-9999	55215.3966069133	w4	9	203.3500433472	-16.3188745465132	01084a135	WISE	
01084a136-w1-int-1b	-9999	55215.3967284363	w1	8	203.350043883927	-16.3188756570984	01084a136	WISE	
01084a136-w2-int-1b	-9999	55215.3967284363	w2	8	203.350043883927	-16.3188756570984	01084a136	WISE	
01084a136-w3-int-1b	-9999	55215.3967342233	w3	9	203.350043909486	-16.3188757099852	01084a136	WISE	
01084a136-w4-int-1b	-9999	55215.3967342233	w4	9	203.350043909486	-16.3188757099852	01084a136	WISE	
01086a086-w1-int-1b	-9999	55215.4628171763	w1	8	203.350335775862	-16.3194796347501	01086a086	WISE	
01086a086-w2-int-1b	-9999	55215.4628171763	w2	8	203.350335775862	-16.3194796347501	01086a086	WISE	
01086a086-w3-int-1b	-9999	55215.4628229633	w3	9	203.350335801421	-16.3194796876368	01086a086	WISE	
01086a086-w4-int-1b	-9999	55215.4628229633	w4	9	203.350335801421	-16.3194796876368	01086a086	WISE	
01088a086-w1-int-1b	-9999	55215.5290331863	w1	8	203.350628229906	-16.3200847755081	01088a086	WISE	
01088a086-w2-int-1b	-9999	55215.5290331863	w2	8	203.350628229906	-16.3200847755081	01088a086	WISE	
01088a086-w3-int-1b	-9999	55215.5290389733	w3	9	203.350628255465	-16.3200848283949	01088a086	WISE	
01088a086-w4-int-1b	-9999	55215.5290389733	w4	9	203.350628255465	-16.3200848283949	01088a086	WISE	
01089b160-w1-int-1b	-9999	55215.5951218763	w1	8	203.35092012162	-16.3206887527029	01089b160	WISE	
01089b160-w2-int-1b	-9999	55215.5951218763	w2	8	203.35092012162	-16.3206887527029	01089b160	WISE	
01089b160-w3-int-1b	-9999	55215.5951276633	w3	9	203.350920147179	-16.3206888055896	01089b160	WISE	
01089b160-w4-int-1b	-9999	55215.5951276633	w4	9	203.350920147179	-16.3206888055896	01089b160	WISE	
01089b161-w1-int-1b	-9999	55215.5952491863	w1	8	203.350920683906	-16.3206899161748	01089b161	WISE	
01089b161-w2-int-1b	-9999	55215.5952491863	w2	8	203.350920683906	-16.3206899161748	01089b161	WISE	
01089b161-w3-int-1b	-9999	55215.5952549733	w3	9	203.350920709465	-16.3206899690615	01089b161	WISE	
01089b161-w4-int-1b	-9999	55215.5952549733	w4	9	203.350920709465	-16.3206899690615	01089b161	WISE	
01092a135-w1-int-1b	-9999	55215.6613379263	w1	8	203.351212575841	-16.3212938938265	01092a135	WISE	
01092a135-w2-int-1b	-9999	55215.6613379263	w2	8	203.351212575841	-16.3212938938265	01092a135	WISE	
01092a135-w3-int-1b	-9999	55215.6613437133	w3	9	203.3512126014	-16.3212939467132	01092a135	WISE	
01092a135-w4-int-1b	-9999	55215.6613437133	w4	9	203.3512126014	-16.3212939467132	01092a135	WISE	
01093b161-w1-int-1b	-9999	55215.7275539363	w1	8	203.351505029885	-16.3218990345846	01093b161	WISE	
