Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.2026.053.wrp.y.55235_32086	-9999	55235.3214275111	y	30	81.3995714708078	34.1350972308816	2026.053	Pan-STARRS1	
rings.v3.skycell.2026.053.wrp.y.55235_32935	-9999	55235.3299209111	y	30	81.3992331503746	34.1350278681149	2026.053	Pan-STARRS1	
rings.v3.skycell.2026.053.wrp.y.55238_22292	-9999	55238.2234916111	y	30	81.2940060989819	34.1110231960727	2026.053	Pan-STARRS1	
rings.v3.skycell.2026.053.wrp.y.55238_23436	-9999	55238.2349355111	y	30	81.2936437088151	34.1109262408088	2026.053	Pan-STARRS1	
rings.v3.skycell.2026.043.wrp.z.55253_37907	-9999	55253.3796469111	z	30	81.1234488661267	33.9792519097606	2026.043	Pan-STARRS1	
rings.v3.skycell.2026.043.wrp.z.55253_38861	-9999	55253.3891893111	z	30	81.1235470733267	33.9791702692272	2026.043	Pan-STARRS1	
02518a165-w1-int-1b	-9999	55262.8718021963	w1	8	81.3417684184456	33.901684416373	02518a165	WISE	
02518a165-w2-int-1b	-9999	55262.8718021963	w2	8	81.3417684184456	33.901684416373	02518a165	WISE	
02518a165-w3-int-1b	-9999	55262.8718079833	w3	9	81.3417686207495	33.9016843716845	02518a165	WISE	
02518a165-w4-int-1b	-9999	55262.8718079833	w4	9	81.3417686207495	33.9016843716845	02518a165	WISE	
02522a167-w1-int-1b	-9999	55263.0042335863	w1	8	81.3464092886847	33.900662104549	02522a167	WISE	
02522a167-w2-int-1b	-9999	55263.0042335863	w2	8	81.3464092886847	33.900662104549	02522a167	WISE	
02522a167-w3-int-1b	-9999	55263.0042393733	w3	9	81.3464095064205	33.9006620603428	02522a167	WISE	
02522a167-w4-int-1b	-9999	55263.0042393733	w4	9	81.3464095064205	33.9006620603428	02522a167	WISE	
02526b167-w1-int-1b	-9999	55263.1364102163	w1	8	81.3513824343882	33.8996524219588	02526b167	WISE	
02526b167-w2-int-1b	-9999	55263.1364102163	w2	8	81.3513824343882	33.8996524219588	02526b167	WISE	
02526b167-w3-int-1b	-9999	55263.1364160033	w3	9	81.3513826521241	33.8996523777526	02526b167	WISE	
02526b167-w4-int-1b	-9999	55263.1364160033	w4	9	81.3513826521241	33.8996523777526	02526b167	WISE	
02526b168-w1-int-1b	-9999	55263.1365375763	w1	8	81.3513872263082	33.8996514490699	02526b168	WISE	
02526b168-w2-int-1b	-9999	55263.1365375763	w2	8	81.3513872263082	33.8996514490699	02526b168	WISE	
02526b168-w3-int-1b	-9999	55263.1365433633	w3	9	81.351387444044	33.8996514048637	02526b168	WISE	
02526b168-w4-int-1b	-9999	55263.1365433633	w4	9	81.351387444044	33.8996514048637	02526b168	WISE	
02530a167-w1-int-1b	-9999	55263.2688415163	w1	8	81.3563651620508	33.8986407939727	02530a167	WISE	
02530a167-w2-int-1b	-9999	55263.2688415163	w2	8	81.3563651620508	33.8986407939727	02530a167	WISE	
02530a167-w3-int-1b	-9999	55263.2688473033	w3	9	81.3563653797866	33.8986407497665	02530a167	WISE	
02530a167-w4-int-1b	-9999	55263.2688473033	w4	9	81.3563653797866	33.8986407497665	02530a167	WISE	
02533a143-w1-int-1b	-9999	55263.3349298563	w1	8	81.3588517358432	33.8981359524866	02533a143	WISE	
02533a143-w2-int-1b	-9999	55263.3349298563	w2	8	81.3588517358432	33.8981359524866	02533a143	WISE	
02533a143-w3-int-1b	-9999	55263.3349356433	w3	9	81.3588519535793	33.8981359082803	02533a143	WISE	
02533a143-w4-int-1b	-9999	55263.3349356433	w4	9	81.3588519535793	33.8981359082803	02533a143	WISE	
02534a167-w1-int-1b	-9999	55263.4011455063	w1	8	81.3613430996746	33.8976301384935	02534a167	WISE	
02534a167-w2-int-1b	-9999	55263.4011455063	w2	8	81.3613430996746	33.8976301384935	02534a167	WISE	
02534a167-w3-int-1b	-9999	55263.4011512933	w3	9	81.3613433174104	33.8976300942873	02534a167	WISE	
02534a167-w4-int-1b	-9999	55263.4011512933	w4	9	81.3613433174104	33.8976300942873	02534a167	WISE	
02537a143-w1-int-1b	-9999	55263.4672338463	w1	8	81.363829673467	33.8971252970074	02537a143	WISE	
02537a143-w2-int-1b	-9999	55263.4672338463	w2	8	81.363829673467	33.8971252970074	02537a143	WISE	
02537a143-w3-int-1b	-9999	55263.4672396333	w3	9	81.3638298912028	33.8971252528012	02537a143	WISE	
02537a143-w4-int-1b	-9999	55263.4672396333	w4	9	81.3638298912028	33.8971252528012	02537a143	WISE	
02537a144-w1-int-1b	-9999	55263.4673612063	w1	8	81.363834465387	33.8971243241186	02537a144	WISE	
02537a144-w2-int-1b	-9999	55263.4673612063	w2	8	81.363834465387	33.8971243241186	02537a144	WISE	
02537a144-w3-int-1b	-9999	55263.4673669933	w3	9	81.363834683123	33.8971242799123	02537a144	WISE	
02537a144-w4-int-1b	-9999	55263.4673669933	w4	9	81.363834683123	33.8971242799123	02537a144	WISE	
02538b167-w1-int-1b	-9999	55263.5334495063	w1	8	81.3663210376745	33.896619482938	02538b167	WISE	
02538b167-w2-int-1b	-9999	55263.5334495063	w2	8	81.3663210376745	33.896619482938	02538b167	WISE	
02538b167-w3-int-1b	-9999	55263.5334552933	w3	9	81.3663212554103	33.8966194387318	02538b167	WISE	
02538b167-w4-int-1b	-9999	55263.5334552933	w4	9	81.3663212554103	33.8966194387318	02538b167	WISE	
02541a143-w1-int-1b	-9999	55263.5996651463	w1	8	81.3688124011295	33.8961136690213	02541a143	WISE	
02541a143-w2-int-1b	-9999	55263.5996651463	w2	8	81.3688124011295	33.8961136690213	02541a143	WISE	
02541a143-w3-int-1b	-9999	55263.5996709333	w3	9	81.3688126188653	33.8961136248151	02541a143	WISE	
02541a143-w4-int-1b	-9999	55263.5996709333	w4	9	81.3688126188653	33.8961136248151	02541a143	WISE	
02542a167-w1-int-1b	-9999	55263.6657534363	w1	8	81.3712989730407	33.8956088279172	02542a167	WISE	
02542a167-w2-int-1b	-9999	55263.6657534363	w2	8	81.3712989730407	33.8956088279172	02542a167	WISE	
02542a167-w3-int-1b	-9999	55263.6657592233	w3	9	81.3712991907768	33.8956087837109	02542a167	WISE	
02542a167-w4-int-1b	-9999	55263.6657592233	w4	9	81.3712991907768	33.8956087837109	02542a167	WISE	
02545a143-w1-int-1b	-9999	55263.7319691463	w1	8	81.3737903391295	33.8951030134658	02545a143	WISE	
02545a143-w2-int-1b	-9999	55263.7319691463	w2	8	81.3737903391295	33.8951030134658	02545a143	WISE	
02545a143-w3-int-1b	-9999	55263.7319749333	w3	9	81.3737905568653	33.8951029692596	02545a143	WISE	
02545a143-w4-int-1b	-9999	55263.7319749333	w4	9	81.3737905568653	33.8951029692596	02545a143	WISE	
02549a143-w1-int-1b	-9999	55263.8642731263	w1	8	81.3787682763771	33.894092358063	02549a143	WISE	
