Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
02261b135-w1-int-1b	-9999	55254.3657660763	w1	8	249.567432434179	-10.4979481969043	02261b135	WISE	
02261b135-w2-int-1b	-9999	55254.3657660763	w2	8	249.567432434179	-10.4979481969043	02261b135	WISE	
02261b135-w3-int-1b	-9999	55254.3657718633	w3	9	249.567432466731	-10.4979481727918	02261b135	WISE	
02261b135-w4-int-1b	-9999	55254.3657718633	w4	9	249.567432466731	-10.4979481727918	02261b135	WISE	
02266a097-w1-int-1b	-9999	55254.4980701363	w1	8	249.568176644517	-10.4973969299876	02266a097	WISE	
02266a097-w2-int-1b	-9999	55254.4980701363	w2	8	249.568176644517	-10.4973969299876	02266a097	WISE	
02266a097-w3-int-1b	-9999	55254.4980759233	w3	9	249.568176677069	-10.4973969058751	02266a097	WISE	
02266a097-w4-int-1b	-9999	55254.4980759233	w4	9	249.568176677069	-10.4973969058751	02266a097	WISE	
02269b135-w1-int-1b	-9999	55254.6303741563	w1	8	249.568920854629	-10.4968456632376	02269b135	WISE	
02269b135-w2-int-1b	-9999	55254.6303741563	w2	8	249.568920854629	-10.4968456632376	02269b135	WISE	
02269b135-w3-int-1b	-9999	55254.6303799433	w3	9	249.568920887181	-10.4968456391252	02269b135	WISE	
02269b135-w4-int-1b	-9999	55254.6303799433	w4	9	249.568920887181	-10.4968456391252	02269b135	WISE	
02272a110-w1-int-1b	-9999	55254.6965898963	w1	8	249.569293318167	-10.496569764321	02272a110	WISE	
02272a110-w2-int-1b	-9999	55254.6965898963	w2	8	249.569293318167	-10.496569764321	02272a110	WISE	
02272a110-w3-int-1b	-9999	55254.6965956833	w3	9	249.569293350719	-10.4965697402085	02272a110	WISE	
02272a110-w4-int-1b	-9999	55254.6965956833	w4	9	249.569293350719	-10.4965697402085	02272a110	WISE	
02273b134-w1-int-1b	-9999	55254.7626782763	w1	8	249.569665065304	-10.496294396071	02273b134	WISE	
02273b134-w2-int-1b	-9999	55254.7626782763	w2	8	249.569665065304	-10.496294396071	02273b134	WISE	
02273b134-w3-int-1b	-9999	55254.7626840633	w3	9	249.569665097856	-10.4962943719585	02273b134	WISE	
02273b134-w4-int-1b	-9999	55254.7626840633	w4	9	249.569665097856	-10.4962943719585	02273b134	WISE	
02273b136-w1-int-1b	-9999	55254.7628055863	w1	8	249.569665781423	-10.4962938656127	02273b136	WISE	
02273b136-w2-int-1b	-9999	55254.7628055863	w2	8	249.569665781423	-10.4962938656127	02273b136	WISE	
02273b136-w3-int-1b	-9999	55254.7628113733	w3	9	249.569665813975	-10.4962938415002	02273b136	WISE	
02273b136-w4-int-1b	-9999	55254.7628113733	w4	9	249.569665813975	-10.4962938415002	02273b136	WISE	
02276a110-w1-int-1b	-9999	55254.8288939663	w1	8	249.57003752856	-10.4960184973627	02276a110	WISE	
02276a110-w2-int-1b	-9999	55254.8288939663	w2	8	249.57003752856	-10.4960184973627	02276a110	WISE	
02276a110-w3-int-1b	-9999	55254.8288997533	w3	9	249.570037561112	-10.4960184732502	02276a110	WISE	
02276a110-w4-int-1b	-9999	55254.8288997533	w4	9	249.570037561112	-10.4960184732502	02276a110	WISE	
02277b134-w1-int-1b	-9999	55254.8949823363	w1	8	249.570409275642	-10.4957431291543	02277b134	WISE	
02277b134-w2-int-1b	-9999	55254.8949823363	w2	8	249.570409275642	-10.4957431291543	02277b134	WISE	
02277b134-w3-int-1b	-9999	55254.8949881233	w3	9	249.570409308194	-10.4957431050418	02277b134	WISE	
02277b134-w4-int-1b	-9999	55254.8949881233	w4	9	249.570409308194	-10.4957431050418	02277b134	WISE	
02277b135-w1-int-1b	-9999	55254.8951096963	w1	8	249.570409992042	-10.4957425984877	02277b135	WISE	
02277b135-w2-int-1b	-9999	55254.8951096963	w2	8	249.570409992042	-10.4957425984877	02277b135	WISE	
02277b135-w3-int-1b	-9999	55254.8951154833	w3	9	249.570410024594	-10.4957425743752	02277b135	WISE	
02277b135-w4-int-1b	-9999	55254.8951154833	w4	9	249.570410024594	-10.4957425743752	02277b135	WISE	
02280a110-w1-int-1b	-9999	55254.9611980763	w1	8	249.570781739179	-10.4954672302377	02280a110	WISE	
02280a110-w2-int-1b	-9999	55254.9611980763	w2	8	249.570781739179	-10.4954672302377	02280a110	WISE	
02280a110-w3-int-1b	-9999	55254.9612038633	w3	9	249.570781771731	-10.4954672061252	02280a110	WISE	
02280a110-w4-int-1b	-9999	55254.9612038633	w4	9	249.570781771731	-10.4954672061252	02280a110	WISE	
02281b135-w1-int-1b	-9999	55255.0274138163	w1	8	249.571141638051	-10.4951898083312	02281b135	WISE	
02281b135-w2-int-1b	-9999	55255.0274138163	w2	8	249.571141638051	-10.4951898083312	02281b135	WISE	
02281b135-w3-int-1b	-9999	55255.0274196033	w3	9	249.57114166795	-10.4951897838972	02281b135	WISE	
02281b135-w4-int-1b	-9999	55255.0274196033	w4	9	249.57114166795	-10.4951897838972	02281b135	WISE	
02284a072-w1-int-1b	-9999	55255.0935021863	w1	8	249.571483094629	-10.4949107685468	02284a072	WISE	
02284a072-w2-int-1b	-9999	55255.0935021863	w2	8	249.571483094629	-10.4949107685468	02284a072	WISE	
02284a072-w3-int-1b	-9999	55255.0935079733	w3	9	249.571483124529	-10.4949107441128	02284a072	WISE	
02284a072-w4-int-1b	-9999	55255.0935079733	w4	9	249.571483124529	-10.4949107441128	02284a072	WISE	
02284a073-w1-int-1b	-9999	55255.0936295063	w1	8	249.571483752449	-10.4949102309734	02284a073	WISE	
02284a073-w2-int-1b	-9999	55255.0936295063	w2	8	249.571483752449	-10.4949102309734	02284a073	WISE	
