Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.2250.062.wrp.i.55257_48284	-9999	55257.4834179852	i	32	142.146719861203	46.4769253145514	2250.062	Pan-STARRS1	
rings.v3.skycell.2250.062.wrp.i.55257_48931	-9999	55257.4898908852	i	32	142.14590211817	46.4768785658291	2250.062	Pan-STARRS1	
rings.v3.skycell.2250.062.wrp.i.55257_49501	-9999	55257.4955970852	i	32	142.145181234903	46.4768373543846	2250.062	Pan-STARRS1	
rings.v3.skycell.2250.062.wrp.i.55257_50153	-9999	55257.5021158852	i	32	142.144357693169	46.4767902741624	2250.062	Pan-STARRS1	
rings.v3.skycell.2250.054.wrp.r.55268_31508	-9999	55268.3156936334	r	36	140.87635232024	46.3128618667606	2250.054	Pan-STARRS1	
rings.v3.skycell.2250.054.wrp.r.55268_31685	-9999	55268.3174626333	r	36	140.876163774334	46.3128209340684	2250.054	Pan-STARRS1	
rings.v3.skycell.2250.054.wrp.r.55268_32392	-9999	55268.3245283334	r	36	140.875410688465	46.3126574416188	2250.054	Pan-STARRS1	
rings.v3.skycell.2250.054.wrp.r.55268_32566	-9999	55268.3262723333	r	36	140.875224807142	46.3126170873989	2250.054	Pan-STARRS1	
rings.v3.skycell.2250.054.wrp.g.55269_49447	-9999	55269.4951702259	g	52	140.751692010153	46.2848823525148	2250.054	Pan-STARRS1	
rings.v3.skycell.2250.054.wrp.g.55269_50361	-9999	55269.504308826	g	52	140.750737407218	46.2846582029623	2250.054	Pan-STARRS1	
rings.v3.skycell.2250.055.wrp.g.55275_34615	-9999	55275.3468503259	g	52	140.179345593409	46.118645157491	2250.055	Pan-STARRS1	
rings.v3.skycell.2250.055.wrp.g.55275_35528	-9999	55275.3559766259	g	52	140.178519282997	46.118349313266	2250.055	Pan-STARRS1	
rings.v3.skycell.2250.028.wrp.z.55302_24479	-9999	55302.2453672111	z	30	138.69665109498	44.8642723050364	2250.028	Pan-STARRS1	
rings.v3.skycell.2250.028.wrp.z.55302_25309	-9999	55302.2536642111	z	30	138.696511083105	44.8637846258142	2250.028	Pan-STARRS1	
03834a194-w1-int-1b	-9999	55306.4078760963	w1	8	138.647914030291	44.6143940541965	03834a194	WISE	
03834a194-w2-int-1b	-9999	55306.4078760963	w2	8	138.647914030291	44.6143940541965	03834a194	WISE	
03834a194-w3-int-1b	-9999	55306.4078818833	w3	9	138.647913997739	44.6143936987784	03834a194	WISE	
03834a194-w4-int-1b	-9999	55306.4078818833	w4	9	138.647913997739	44.6143936987784	03834a194	WISE	
03838a193-w1-int-1b	-9999	55306.5400529663	w1	8	138.647170535398	44.6062761914307	03838a193	WISE	
03838a193-w2-int-1b	-9999	55306.5400529663	w2	8	138.647170535398	44.6062761914307	03838a193	WISE	
03838a193-w3-int-1b	-9999	55306.5400587533	w3	9	138.647170502846	44.6062758360126	03838a193	WISE	
03838a193-w4-int-1b	-9999	55306.5400587533	w4	9	138.647170502846	44.6062758360126	03838a193	WISE	
03838a194-w1-int-1b	-9999	55306.5401802863	w1	8	138.647169819223	44.606268371861	03838a194	WISE	
03838a194-w2-int-1b	-9999	55306.5401802863	w2	8	138.647169819223	44.606268371861	03838a194	WISE	
03838a194-w3-int-1b	-9999	55306.5401860733	w3	9	138.647169786671	44.6062680164424	03838a194	WISE	
03838a194-w4-int-1b	-9999	55306.5401860733	w4	9	138.647169786671	44.6062680164424	03838a194	WISE	
03842a192-w1-int-1b	-9999	55306.6723571563	w1	8	138.646426324329	44.5981505090951	03842a192	WISE	
03842a192-w2-int-1b	-9999	55306.6723571563	w2	8	138.646426324329	44.5981505090951	03842a192	WISE	
03842a192-w3-int-1b	-9999	55306.6723629433	w3	9	138.646426291777	44.5981501536765	03842a192	WISE	
03842a192-w4-int-1b	-9999	55306.6723629433	w4	9	138.646426291777	44.5981501536765	03842a192	WISE	
03842a194-w1-int-1b	-9999	55306.6724845163	w1	8	138.646425607929	44.5981426870685	03842a194	WISE	
03842a194-w2-int-1b	-9999	55306.6724845163	w2	8	138.646425607929	44.5981426870685	03842a194	WISE	
03842a194-w3-int-1b	-9999	55306.6724903033	w3	9	138.646425575377	44.5981423316499	03842a194	WISE	
03842a194-w4-int-1b	-9999	55306.6724903033	w4	9	138.646425575377	44.5981423316499	03842a194	WISE	
03846a192-w1-int-1b	-9999	55306.8046613763	w1	8	138.645682113091	44.5900248249167	03846a192	WISE	
03846a192-w2-int-1b	-9999	55306.8046613763	w2	8	138.645682113091	44.5900248249167	03846a192	WISE	
03846a192-w3-int-1b	-9999	55306.8046671633	w3	9	138.645682080539	44.5900244694986	03846a192	WISE	
03846a192-w4-int-1b	-9999	55306.8046671633	w4	9	138.645682080539	44.5900244694986	03846a192	WISE	
03846a194-w1-int-1b	-9999	55306.8047886963	w1	8	138.645681396916	44.5900170053465	03846a194	WISE	
03846a194-w2-int-1b	-9999	55306.8047886963	w2	8	138.645681396916	44.5900170053465	03846a194	WISE	
03846a194-w3-int-1b	-9999	55306.8047944833	w3	9	138.645681364364	44.5900166499284	03846a194	WISE	
03846a194-w4-int-1b	-9999	55306.8047944833	w4	9	138.645681364364	44.5900166499284	03846a194	WISE	
03849a169-w1-int-1b	-9999	55306.8708771263	w1	8	138.645309649498	44.585958074271	03849a169	WISE	
03849a169-w2-int-1b	-9999	55306.8708771263	w2	8	138.645309649498	44.585958074271	03849a169	WISE	
03849a169-w3-int-1b	-9999	55306.8708829133	w3	9	138.645309616946	44.5859577188524	03849a169	WISE	
03849a169-w4-int-1b	-9999	55306.8708829133	w4	9	138.645309616946	44.5859577188524	03849a169	WISE	
03850a192-w1-int-1b	-9999	55306.9369655663	w1	8	138.644937902023	44.5818991425807	03850a192	WISE	
03850a192-w2-int-1b	-9999	55306.9369655663	w2	8	138.644937902023	44.5818991425807	03850a192	WISE	
03850a192-w3-int-1b	-9999	55306.9369713533	w3	9	138.644937869471	44.5818987871625	03850a192	WISE	
03850a192-w4-int-1b	-9999	55306.9369713533	w4	9	138.644937869471	44.5818987871625	03850a192	WISE	
03850a193-w1-int-1b	-9999	55306.9370929263	w1	8	138.644937185623	44.5818913205541	03850a193	WISE	
03850a193-w2-int-1b	-9999	55306.9370929263	w2	8	138.644937185623	44.5818913205541	03850a193	WISE	
03850a193-w3-int-1b	-9999	55306.9370987133	w3	9	138.644937153071	44.5818909651359	03850a193	WISE	
03850a193-w4-int-1b	-9999	55306.9370987133	w4	9	138.644937153071	44.5818909651359	03850a193	WISE	
03853a169-w1-int-1b	-9999	55307.0031813563	w1	8	138.64457431949	44.5778303569454	03853a169	WISE	
03853a169-w2-int-1b	-9999	55307.0031813563	w2	8	138.64457431949	44.5778303569454	03853a169	WISE	
03853a169-w3-int-1b	-9999	55307.0031871433	w3	9	138.644574303094	44.5778299978296	03853a169	WISE	
03853a169-w4-int-1b	-9999	55307.0031871433	w4	9	138.644574303094	44.5778299978296	03853a169	WISE	
03855a117-w1-int-1b	-9999	55307.0693971063	w1	8	138.644386708199	44.5737213017923	03855a117	WISE	
03855a117-w2-int-1b	-9999	55307.0693971063	w2	8	138.644386708199	44.5737213017923	03855a117	WISE	
03855a117-w3-int-1b	-9999	55307.0694028933	w3	9	138.644386691802	44.5737209426769	03855a117	WISE	
03855a117-w4-int-1b	-9999	55307.0694028933	w4	9	138.644386691802	44.5737209426769	03855a117	WISE	
03857a111-w1-int-1b	-9999	55307.1354855463	w1	8	138.644199457619	44.5696201469324	03857a111	WISE	
03857a111-w2-int-1b	-9999	55307.1354855463	w2	8	138.644199457619	44.5696201469324	03857a111	WISE	
03857a111-w3-int-1b	-9999	55307.1354913333	w3	9	138.644199441222	44.569619787817	03857a111	WISE	
03857a111-w4-int-1b	-9999	55307.1354913333	w4	9	138.644199441222	44.569619787817	03857a111	WISE	
03858a193-w1-int-1b	-9999	55307.2017012863	w1	8	138.644011846355	44.5655110924002	03858a193	WISE	
03858a193-w2-int-1b	-9999	55307.2017012863	w2	8	138.644011846355	44.5655110924002	03858a193	WISE	
03858a193-w3-int-1b	-9999	55307.2017070733	w3	9	138.644011829959	44.5655107332848	03858a193	WISE	
03858a193-w4-int-1b	-9999	55307.2017070733	w4	9	138.644011829959	44.5655107332848	03858a193	WISE	
03861a169-w1-int-1b	-9999	55307.2677897663	w1	8	138.643824595662	44.5614099350579	03861a169	WISE	
03861a169-w2-int-1b	-9999	55307.2677897663	w2	8	138.643824595662	44.5614099350579	03861a169	WISE	
03861a169-w3-int-1b	-9999	55307.2677955533	w3	9	138.643824579265	44.5614095759424	03861a169	WISE	
03861a169-w4-int-1b	-9999	55307.2677955533	w4	9	138.643824579265	44.5614095759424	03861a169	WISE	
03861a170-w1-int-1b	-9999	55307.2679170863	w1	8	138.643824234922	44.5614020341448	03861a170	WISE	
03861a170-w2-int-1b	-9999	55307.2679170863	w2	8	138.643824234922	44.5614020341448	03861a170	WISE	
03861a170-w3-int-1b	-9999	55307.2679228733	w3	9	138.643824218525	44.5614016750289	03861a170	WISE	
03861a170-w4-int-1b	-9999	55307.2679228733	w4	9	138.643824218525	44.5614016750289	03861a170	WISE	
03862a193-w1-int-1b	-9999	55307.3340055163	w1	8	138.64363698437	44.5573008799052	03862a193	WISE	
03862a193-w2-int-1b	-9999	55307.3340055163	w2	8	138.64363698437	44.5573008799052	03862a193	WISE	
03862a193-w3-int-1b	-9999	55307.3340113033	w3	9	138.643636967974	44.5573005207898	03862a193	WISE	
03862a193-w4-int-1b	-9999	55307.3340113033	w4	9	138.643636967974	44.5573005207898	03862a193	WISE	
03865a169-w1-int-1b	-9999	55307.4000939463	w1	8	138.643449733819	44.5531997256657	03865a169	WISE	
03865a169-w2-int-1b	-9999	55307.4000939463	w2	8	138.643449733819	44.5531997256657	03865a169	WISE	
03865a169-w3-int-1b	-9999	55307.4000997333	w3	9	138.643449717422	44.5531993665503	03865a169	WISE	
03865a169-w4-int-1b	-9999	55307.4000997333	w4	9	138.643449717422	44.5531993665503	03865a169	WISE	
03865a170-w1-int-1b	-9999	55307.4002213163	w1	8	138.643449372937	44.5531918216498	03865a170	WISE	
03865a170-w2-int-1b	-9999	55307.4002213163	w2	8	138.643449372937	44.5531918216498	03865a170	WISE	
03865a170-w3-int-1b	-9999	55307.4002271033	w3	9	138.64344935654	44.553191462534	03865a170	WISE	
03865a170-w4-int-1b	-9999	55307.4002271033	w4	9	138.64344935654	44.553191462534	03865a170	WISE	
03869a136-w1-int-1b	-9999	55307.5323982063	w1	8	138.643074871749	44.5449895113092	03869a136	WISE	
03869a136-w2-int-1b	-9999	55307.5323982063	w2	8	138.643074871749	44.5449895113092	03869a136	WISE	
03869a136-w3-int-1b	-9999	55307.5324039933	w3	9	138.643074855352	44.5449891521938	03869a136	WISE	
03869a136-w4-int-1b	-9999	55307.5324039933	w4	9	138.643074855352	44.5449891521938	03869a136	WISE	
03869a137-w1-int-1b	-9999	55307.5325255163	w1	8	138.643074511037	44.5449816110165	03869a137	WISE	
03869a137-w2-int-1b	-9999	55307.5325255163	w2	8	138.643074511037	44.5449816110165	03869a137	WISE	
03869a137-w3-int-1b	-9999	55307.5325313033	w3	9	138.643074494641	44.5449812519006	03869a137	WISE	
03869a137-w4-int-1b	-9999	55307.5325313033	w4	9	138.643074494641	44.5449812519006	03869a137	WISE	
03873a169-w1-int-1b	-9999	55307.6647023963	w1	8	138.642700009877	44.5367793012962	03873a169	WISE	
03873a169-w2-int-1b	-9999	55307.6647023963	w2	8	138.642700009877	44.5367793012962	03873a169	WISE	
03873a169-w3-int-1b	-9999	55307.6647081833	w3	9	138.642699993481	44.5367789421808	03873a169	WISE	
03873a169-w4-int-1b	-9999	55307.6647081833	w4	9	138.642699993481	44.5367789421808	03873a169	WISE	
03873a170-w1-int-1b	-9999	55307.6648297563	w1	8	138.642699649024	44.5367713979007	03873a170	WISE	
03873a170-w2-int-1b	-9999	55307.6648297563	w2	8	138.642699649024	44.5367713979007	03873a170	WISE	
03873a170-w3-int-1b	-9999	55307.6648355433	w3	9	138.642699632627	44.5367710387853	03873a170	WISE	
03873a170-w4-int-1b	-9999	55307.6648355433	w4	9	138.642699632627	44.5367710387853	03873a170	WISE	
03910a195-w1-int-1b	-9999	55308.9216601763	w1	8	138.641711597492	44.4582404528458	03910a195	WISE	
03910a195-w2-int-1b	-9999	55308.9216601763	w2	8	138.641711597492	44.4582404528458	03910a195	WISE	
03910a195-w3-int-1b	-9999	55308.9216659633	w3	9	138.641711597251	44.4582400903542	03910a195	WISE	
03910a195-w4-int-1b	-9999	55308.9216659633	w4	9	138.641711597251	44.4582400903542	03910a195	WISE	
03910a196-w1-int-1b	-9999	55308.9217875363	w1	8	138.641711592186	44.4582324751565	03910a196	WISE	
03910a196-w2-int-1b	-9999	55308.9217875363	w2	8	138.641711592186	44.4582324751565	03910a196	WISE	
03910a196-w3-int-1b	-9999	55308.9217933233	w3	9	138.641711591945	44.4582321126654	03910a196	WISE	
03910a196-w4-int-1b	-9999	55308.9217933233	w4	9	138.641711591945	44.4582321126654	03910a196	WISE	
03914a195-w1-int-1b	-9999	55309.0539644663	w1	8	138.641852238576	44.4499230788657	03914a195	WISE	
03914a195-w2-int-1b	-9999	55309.0539644663	w2	8	138.641852238576	44.4499230788657	03914a195	WISE	
03914a195-w3-int-1b	-9999	55309.0539702533	w3	9	138.641852254008	44.4499227131596	03914a195	WISE	
03914a195-w4-int-1b	-9999	55309.0539702533	w4	9	138.641852254008	44.4499227131596	03914a195	WISE	
03914a196-w1-int-1b	-9999	55309.0540917863	w1	8	138.641852578097	44.4499150329488	03914a196	WISE	
03914a196-w2-int-1b	-9999	55309.0540917863	w2	8	138.641852578097	44.4499150329488	03914a196	WISE	
03914a196-w3-int-1b	-9999	55309.0540975733	w3	9	138.641852593529	44.4499146672427	03914a196	WISE	
03914a196-w4-int-1b	-9999	55309.0540975733	w4	9	138.641852593529	44.4499146672427	03914a196	WISE	
03919a124-w1-int-1b	-9999	55309.1862687163	w1	8	138.64220504991	44.4415621852893	03919a124	WISE	
03919a124-w2-int-1b	-9999	55309.1862687163	w2	8	138.64220504991	44.4415621852893	03919a124	WISE	
03919a124-w3-int-1b	-9999	55309.1862745033	w3	9	138.642205065342	44.4415618195831	03919a124	WISE	
03919a124-w4-int-1b	-9999	55309.1862745033	w4	9	138.642205065342	44.4415618195831	03919a124	WISE	
03919a125-w1-int-1b	-9999	55309.1863960263	w1	8	138.642205389403	44.4415541400046	03919a125	WISE	
03919a125-w2-int-1b	-9999	55309.1863960263	w2	8	138.642205389403	44.4415541400046	03919a125	WISE	
03919a125-w3-int-1b	-9999	55309.1864018133	w3	9	138.642205404835	44.4415537742985	03919a125	WISE	
03919a125-w4-int-1b	-9999	55309.1864018133	w4	9	138.642205404835	44.4415537742985	03919a125	WISE	
03921a171-w1-int-1b	-9999	55309.2524844863	w1	8	138.642381625297	44.4373777164907	03921a171	WISE	
03921a171-w2-int-1b	-9999	55309.2524844863	w2	8	138.642381625297	44.4373777164907	03921a171	WISE	
03921a171-w3-int-1b	-9999	55309.2524902733	w3	9	138.642381640729	44.4373773507846	03921a171	WISE	
03921a171-w4-int-1b	-9999	55309.2524902733	w4	9	138.642381640729	44.4373773507846	03921a171	WISE	
03922a195-w1-int-1b	-9999	55309.3185729463	w1	8	138.64255786119	44.4332012929768	03922a195	WISE	
03922a195-w2-int-1b	-9999	55309.3185729463	w2	8	138.64255786119	44.4332012929768	03922a195	WISE	
03922a195-w3-int-1b	-9999	55309.3185787333	w3	9	138.642557876622	44.4332009272707	03922a195	WISE	
03922a195-w4-int-1b	-9999	55309.3185787333	w4	9	138.642557876622	44.4332009272707	03922a195	WISE	
03922a196-w1-int-1b	-9999	55309.3187003263	w1	8	138.64255820087	44.4331932432685	03922a196	WISE	
03922a196-w2-int-1b	-9999	55309.3187003263	w2	8	138.64255820087	44.4331932432685	03922a196	WISE	
03922a196-w3-int-1b	-9999	55309.3187061133	w3	9	138.642558216302	44.4331928775623	03922a196	WISE	
03922a196-w4-int-1b	-9999	55309.3187061133	w4	9	138.642558216302	44.4331928775623	03922a196	WISE	
03925a171-w1-int-1b	-9999	55309.3847887863	w1	8	138.642734436763	44.4290168197546	03925a171	WISE	
03925a171-w2-int-1b	-9999	55309.3847887863	w2	8	138.642734436763	44.4290168197546	03925a171	WISE	
03925a171-w3-int-1b	-9999	55309.3847945733	w3	9	138.642734452195	44.4290164540484	03925a171	WISE	
03925a171-w4-int-1b	-9999	55309.3847945733	w4	9	138.642734452195	44.4290164540484	03925a171	WISE	
03927a114-w1-int-1b	-9999	55309.4508772463	w1	8	138.642910672657	44.4248403962407	03927a114	WISE	
03927a114-w2-int-1b	-9999	55309.4508772463	w2	8	138.642910672657	44.4248403962407	03927a114	WISE	
03927a114-w3-int-1b	-9999	55309.4508830333	w3	9	138.642910688089	44.4248400305345	03927a114	WISE	
03927a114-w4-int-1b	-9999	55309.4508830333	w4	9	138.642910688089	44.4248400305345	03927a114	WISE	
03927a115-w1-int-1b	-9999	55309.4510045563	w1	8	138.64291101215	44.424832350956	03927a115	WISE	
03927a115-w2-int-1b	-9999	55309.4510045563	w2	8	138.64291101215	44.424832350956	03927a115	WISE	
03927a115-w3-int-1b	-9999	55309.4510103433	w3	9	138.642911027582	44.4248319852499	03927a115	WISE	
03927a115-w4-int-1b	-9999	55309.4510103433	w4	9	138.642911027582	44.4248319852499	03927a115	WISE	
03929a111-w1-int-1b	-9999	55309.5170930363	w1	8	138.643087248097	44.4206559261781	03929a111	WISE	
03929a111-w2-int-1b	-9999	55309.5170930363	w2	8	138.643087248097	44.4206559261781	03929a111	WISE	
03929a111-w3-int-1b	-9999	55309.5170988233	w3	9	138.643087263529	44.420655560472	03929a111	WISE	
03929a111-w4-int-1b	-9999	55309.5170988233	w4	9	138.643087263529	44.420655560472	03929a111	WISE	
03930a196-w1-int-1b	-9999	55309.5833087663	w1	8	138.643263823377	44.4164714599076	03930a196	WISE	
03930a196-w2-int-1b	-9999	55309.5833087663	w2	8	138.643263823377	44.4164714599076	03930a196	WISE	
03930a196-w3-int-1b	-9999	55309.5833145533	w3	9	138.643263838809	44.416471094201	03930a196	WISE	
03930a196-w4-int-1b	-9999	55309.5833145533	w4	9	138.643263838809	44.416471094201	03930a196	WISE	
03933a171-w1-int-1b	-9999	55309.6493972663	w1	8	138.643440059377	44.4122950338657	03933a171	WISE	
03933a171-w2-int-1b	-9999	55309.6493972663	w2	8	138.643440059377	44.4122950338657	03933a171	WISE	
