Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
04073b195-w1-int-1b	-9999	55314.3132817963	w1	8	320.98456712927	-43.4315765674774	04073b195	WISE	
04073b195-w2-int-1b	-9999	55314.3132817963	w2	8	320.98456712927	-43.4315765674774	04073b195	WISE	
04073b195-w3-int-1b	-9999	55314.3132875833	w3	9	320.98456720209	-43.4315766202034	04073b195	WISE	
04073b195-w4-int-1b	-9999	55314.3132875833	w4	9	320.98456720209	-43.4315766202034	04073b195	WISE	
04077b195-w1-int-1b	-9999	55314.4455860763	w1	8	320.986231958127	-43.4327820064729	04077b195	WISE	
04077b195-w2-int-1b	-9999	55314.4455860763	w2	8	320.986231958127	-43.4327820064729	04077b195	WISE	
04077b195-w3-int-1b	-9999	55314.4455918633	w3	9	320.986232030946	-43.432782059199	04077b195	WISE	
04077b195-w4-int-1b	-9999	55314.4455918633	w4	9	320.986232030946	-43.432782059199	04077b195	WISE	
04081b195-w1-int-1b	-9999	55314.5778902763	w1	8	320.987896785977	-43.4339874447396	04081b195	WISE	
04081b195-w2-int-1b	-9999	55314.5778902763	w2	8	320.987896785977	-43.4339874447396	04081b195	WISE	
04081b195-w3-int-1b	-9999	55314.5778960633	w3	9	320.987896858796	-43.4339874974656	04081b195	WISE	
04081b195-w4-int-1b	-9999	55314.5778960633	w4	9	320.987896858796	-43.4339874974656	04081b195	WISE	
04085b195-w1-int-1b	-9999	55314.7101945763	w1	8	320.989561615085	-43.4351928839174	04085b195	WISE	
04085b195-w2-int-1b	-9999	55314.7101945763	w2	8	320.989561615085	-43.4351928839174	04085b195	WISE	
04085b195-w3-int-1b	-9999	55314.7102003633	w3	9	320.989561687905	-43.4351929366433	04085b195	WISE	
04085b195-w4-int-1b	-9999	55314.7102003633	w4	9	320.989561687905	-43.4351929366433	04085b195	WISE	
04088a171-w1-int-1b	-9999	55314.7764103463	w1	8	320.990394830191	-43.4357961831551	04088a171	WISE	
04088a171-w2-int-1b	-9999	55314.7764103463	w2	8	320.990394830191	-43.4357961831551	04088a171	WISE	
04088a171-w3-int-1b	-9999	55314.7764161333	w3	9	320.99039490301	-43.4357962358812	04088a171	WISE	
04088a171-w4-int-1b	-9999	55314.7764161333	w4	9	320.99039490301	-43.4357962358812	04088a171	WISE	
04089b195-w1-int-1b	-9999	55314.8424988063	w1	8	320.991226443312	-43.4363983224574	04089b195	WISE	
04089b195-w2-int-1b	-9999	55314.8424988063	w2	8	320.991226443312	-43.4363983224574	04089b195	WISE	
