Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
04469b178-w1-int-1b	-9999	55327.4100002763	w1	8	329.11912291776	-31.3680702787986	04469b178	WISE	
04469b178-w2-int-1b	-9999	55327.4100002763	w2	8	329.11912291776	-31.3680702787986	04469b178	WISE	
04469b178-w3-int-1b	-9999	55327.4100060633	w3	9	329.119122940667	-31.3680703001783	04469b178	WISE	
04469b178-w4-int-1b	-9999	55327.4100060633	w4	9	329.119122940667	-31.3680703001783	04469b178	WISE	
04473b178-w1-int-1b	-9999	55327.5423043863	w1	8	329.119646621529	-31.3685590689827	04473b178	WISE	
04473b178-w2-int-1b	-9999	55327.5423043863	w2	8	329.119646621529	-31.3685590689827	04473b178	WISE	
04473b178-w3-int-1b	-9999	55327.5423101733	w3	9	329.119646644436	-31.3685590903625	04473b178	WISE	
04473b178-w4-int-1b	-9999	55327.5423101733	w4	9	329.119646644436	-31.3685590903625	04473b178	WISE	
04477b178-w1-int-1b	-9999	55327.6746085063	w1	8	329.120170325337	-31.3690478592038	04477b178	WISE	
04477b178-w2-int-1b	-9999	55327.6746085063	w2	8	329.120170325337	-31.3690478592038	04477b178	WISE	
04477b178-w3-int-1b	-9999	55327.6746142933	w3	9	329.120170348244	-31.3690478805836	04477b178	WISE	
04477b178-w4-int-1b	-9999	55327.6746142933	w4	9	329.120170348244	-31.3690478805836	04477b178	WISE	
04477b179-w1-int-1b	-9999	55327.6747358663	w1	8	329.120170829471	-31.3690483297283	04477b179	WISE	
04477b179-w2-int-1b	-9999	55327.6747358663	w2	8	329.120170829471	-31.3690483297283	04477b179	WISE	
04477b179-w3-int-1b	-9999	55327.6747416533	w3	9	329.120170852377	-31.3690483511081	04477b179	WISE	
04477b179-w4-int-1b	-9999	55327.6747416533	w4	9	329.120170852377	-31.3690483511081	04477b179	WISE	
04480a154-w1-int-1b	-9999	55327.7408242963	w1	8	329.120432429506	-31.3692924897613	04480a154	WISE	
04480a154-w2-int-1b	-9999	55327.7408242963	w2	8	329.120432429506	-31.3692924897613	04480a154	WISE	
04480a154-w3-int-1b	-9999	55327.7408300833	w3	9	329.120432452413	-31.3692925111411	04480a154	WISE	
04480a154-w4-int-1b	-9999	55327.7408300833	w4	9	329.120432452413	-31.3692925111411	04480a154	WISE	
04481b178-w1-int-1b	-9999	55327.8069126263	w1	8	329.120694029146	-31.3695366494249	04481b178	WISE	
04481b178-w2-int-1b	-9999	55327.8069126263	w2	8	329.120694029146	-31.3695366494249	04481b178	WISE	
04481b178-w3-int-1b	-9999	55327.8069184133	w3	9	329.120694052052	-31.3695366708047	04481b178	WISE	
04481b178-w4-int-1b	-9999	55327.8069184133	w4	9	329.120694052052	-31.3695366708047	04481b178	WISE	
04481b179-w1-int-1b	-9999	55327.8070399863	w1	8	329.120694533279	-31.3695371199494	04481b179	WISE	
