Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.1860.013.wrp.y.55197_36318	-9999	55197.3637596111	y	30	53.2810765547228	24.4412520206715	1860.013	Pan-STARRS1	
rings.v3.skycell.1860.005.wrp.y.55213_35313	-9999	55213.3537005111	y	30	52.6361432875633	24.0880279930243	1860.005	Pan-STARRS1	
rings.v3.skycell.1860.005.wrp.y.55213_36370	-9999	55213.3642774111	y	30	52.6358859163299	24.087826150516	1860.005	Pan-STARRS1	
01710b157-w1-int-1b	-9999	55236.1400249163	w1	8	52.6069655647694	23.7682025666814	01710b157	WISE	
01710b157-w2-int-1b	-9999	55236.1400249163	w2	8	52.6069655647694	23.7682025666814	01710b157	WISE	
01710b157-w3-int-1b	-9999	55236.1400307033	w3	9	52.6069656959416	23.7682025176526	01710b157	WISE	
01710b157-w4-int-1b	-9999	55236.1400307033	w4	9	52.6069656959416	23.7682025176526	01710b157	WISE	
01714a158-w1-int-1b	-9999	55236.2724564363	w1	8	52.6099673458895	23.7670805774147	01714a158	WISE	
01714a158-w2-int-1b	-9999	55236.2724564363	w2	8	52.6099673458895	23.7670805774147	01714a158	WISE	
01714a158-w3-int-1b	-9999	55236.2724622233	w3	9	52.6099674770615	23.767080528386	01714a158	WISE	
01714a158-w4-int-1b	-9999	55236.2724622233	w4	9	52.6099674770615	23.767080528386	01714a158	WISE	
01718a158-w1-int-1b	-9999	55236.4047605863	w1	8	52.6129662399562	23.765959667255	01718a158	WISE	
01718a158-w2-int-1b	-9999	55236.4047605863	w2	8	52.6129662399562	23.765959667255	01718a158	WISE	
01718a158-w3-int-1b	-9999	55236.4047663733	w3	9	52.6129663711281	23.7659596182262	01718a158	WISE	
01718a158-w4-int-1b	-9999	55236.4047663733	w4	9	52.6129663711281	23.7659596182262	01718a158	WISE	
01722b157-w1-int-1b	-9999	55236.5370647463	w1	8	52.6159651342494	23.7648387570105	01722b157	WISE	
01722b157-w2-int-1b	-9999	55236.5370647463	w2	8	52.6159651342494	23.7648387570105	01722b157	WISE	
01722b157-w3-int-1b	-9999	55236.5370705333	w3	9	52.6159652654214	23.7648387079818	01722b157	WISE	
01722b157-w4-int-1b	-9999	55236.5370705333	w4	9	52.6159652654214	23.7648387079818	01722b157	WISE	
01726a157-w1-int-1b	-9999	55236.6693689163	w1	8	52.6189640287695	23.7637178466814	01726a157	WISE	
01726a157-w2-int-1b	-9999	55236.6693689163	w2	8	52.6189640287695	23.7637178466814	01726a157	WISE	
01726a157-w3-int-1b	-9999	55236.6693747033	w3	9	52.6189641599414	23.7637177976526	01726a157	WISE	
01726a157-w4-int-1b	-9999	55236.6693747033	w4	9	52.6189641599414	23.7637177976526	01726a157	WISE	
01726a158-w1-int-1b	-9999	55236.6694962763	w1	8	52.6189669155961	23.7637167676592	01726a158	WISE	
