Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.1376.032.wrp.y.55206_66970	-9999	55206.6702746111	y	30	217.148887210273	1.28526727691355	1376.032	Pan-STARRS1	
rings.v3.skycell.1376.032.wrp.y.55206_67869	-9999	55206.6792700111	y	30	217.14898690929	1.28528726669133	1376.032	Pan-STARRS1	
01238a031-w1-int-1b	-9999	55220.4877650963	w1	8	217.264764002213	1.3313771977811	01238a031	WISE	
01238a031-w2-int-1b	-9999	55220.4877650963	w2	8	217.264764002213	1.3313771977811	01238a031	WISE	
01238a031-w3-int-1b	-9999	55220.4877708833	w3	9	217.264764035006	1.33137722301884	01238a031	WISE	
01238a031-w4-int-1b	-9999	55220.4877708833	w4	9	217.264764035006	1.33137722301884	01238a031	WISE	
01241b129-w1-int-1b	-9999	55220.6200693663	w1	8	217.265513726409	1.33195419140302	01241b129	WISE	
01241b129-w2-int-1b	-9999	55220.6200693663	w2	8	217.265513726409	1.33195419140302	01241b129	WISE	
01241b129-w3-int-1b	-9999	55220.6200751533	w3	9	217.265513759202	1.33195421664079	01241b129	WISE	
01241b129-w4-int-1b	-9999	55220.6200751533	w4	9	217.265513759202	1.33195421664079	01241b129	WISE	
01241b130-w1-int-1b	-9999	55220.6201966763	w1	8	217.265514447833	1.33195474661607	01241b130	WISE	
01241b130-w2-int-1b	-9999	55220.6201966763	w2	8	217.265514447833	1.33195474661607	01241b130	WISE	
01241b130-w3-int-1b	-9999	55220.6202024633	w3	9	217.265514480626	1.33195477185384	01241b130	WISE	
01241b130-w4-int-1b	-9999	55220.6202024633	w4	9	217.265514480626	1.33195477185384	01241b130	WISE	
01245b128-w1-int-1b	-9999	55220.7523736363	w1	8	217.266263450606	1.33253118502497	01245b128	WISE	
01245b128-w2-int-1b	-9999	55220.7523736363	w2	8	217.266263450606	1.33253118502497	01245b128	WISE	
01245b128-w3-int-1b	-9999	55220.7523794233	w3	9	217.266263483399	1.33253121026272	01245b128	WISE	
01245b128-w4-int-1b	-9999	55220.7523794233	w4	9	217.266263483399	1.33253121026272	01245b128	WISE	
01245b129-w1-int-1b	-9999	55220.7525010063	w1	8	217.266264172369	1.33253174049968	01245b129	WISE	
01245b129-w2-int-1b	-9999	55220.7525010063	w2	8	217.266264172369	1.33253174049968	01245b129	WISE	
01245b129-w3-int-1b	-9999	55220.7525067933	w3	9	217.266264205162	1.33253176573746	01245b129	WISE	
01245b129-w4-int-1b	-9999	55220.7525067933	w4	9	217.266264205162	1.33253176573746	01245b129	WISE	
01248a104-w1-int-1b	-9999	55220.8185894763	w1	8	217.266638673699	1.33281995966053	01248a104	WISE	
01248a104-w2-int-1b	-9999	55220.8185894763	w2	8	217.266638673699	1.33281995966053	01248a104	WISE	
01248a104-w3-int-1b	-9999	55220.8185952633	w3	9	217.266638706492	1.33281998489828	01248a104	WISE	
01248a104-w4-int-1b	-9999	55220.8185952633	w4	9	217.266638706492	1.33281998489828	01248a104	WISE	
01249b129-w1-int-1b	-9999	55220.8848053263	w1	8	217.267013896849	1.33310873433969	01249b129	WISE	
01249b129-w2-int-1b	-9999	55220.8848053263	w2	8	217.267013896849	1.33310873433969	01249b129	WISE	
01249b129-w3-int-1b	-9999	55220.8848111133	w3	9	217.267013929642	1.33310875957744	01249b129	WISE	
01249b129-w4-int-1b	-9999	55220.8848111133	w4	9	217.267013929642	1.33310875957744	01249b129	WISE	
01252a104-w1-int-1b	-9999	55220.9508938063	w1	8	217.267388398236	1.33339695354414	01252a104	WISE	
01252a104-w2-int-1b	-9999	55220.9508938063	w2	8	217.267388398236	1.33339695354414	01252a104	WISE	
01252a104-w3-int-1b	-9999	55220.9508995933	w3	9	217.267388431029	1.33339697878189	01252a104	WISE	
01252a104-w4-int-1b	-9999	55220.9508995933	w4	9	217.267388431029	1.33339697878189	01252a104	WISE	
01252a105-w1-int-1b	-9999	55220.9510211263	w1	8	217.267389119716	1.33339750880079	01252a105	WISE	
01252a105-w2-int-1b	-9999	55220.9510211263	w2	8	217.267389119716	1.33339750880079	01252a105	WISE	
