Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
01126a142-w1-int-1b	-9999	55216.8171900163	w1	8	35.5559734567916	8.38351266215136	01126a142	WISE	
01126a142-w2-int-1b	-9999	55216.8171900163	w2	8	35.5559734567916	8.38351266215136	01126a142	WISE	
01126a142-w3-int-1b	-9999	55216.8171958033	w3	9	35.5559735011586	8.38351273561409	01126a142	WISE	
01126a142-w4-int-1b	-9999	55216.8171958033	w4	9	35.5559735011586	8.38351273561409	01126a142	WISE	
01130a141-w1-int-1b	-9999	55216.9494947563	w1	8	35.5569877931316	8.38519219732303	01130a141	WISE	
01130a141-w2-int-1b	-9999	55216.9494947563	w2	8	35.5569877931316	8.38519219732303	01130a141	WISE	
01130a141-w3-int-1b	-9999	55216.9495005433	w3	9	35.5569878374986	8.38519227078575	01130a141	WISE	
01130a141-w4-int-1b	-9999	55216.9495005433	w4	9	35.5569878374986	8.38519227078575	01130a141	WISE	
01130a142-w1-int-1b	-9999	55216.9496220763	w1	8	35.5569887692517	8.38519381357973	01130a142	WISE	
01130a142-w2-int-1b	-9999	55216.9496220763	w2	8	35.5569887692517	8.38519381357973	01130a142	WISE	
01130a142-w3-int-1b	-9999	55216.9496278633	w3	9	35.5569888136186	8.38519388704246	01130a142	WISE	
01130a142-w4-int-1b	-9999	55216.9496278633	w4	9	35.5569888136186	8.38519388704246	01130a142	WISE	
01134a141-w1-int-1b	-9999	55217.0817995063	w1	8	35.5581316454332	8.38691490458326	01134a141	WISE	
01134a141-w2-int-1b	-9999	55217.0817995063	w2	8	35.5581316454332	8.38691490458326	01134a141	WISE	
01134a141-w3-int-1b	-9999	55217.0818052933	w3	9	35.5581316989631	8.38691498110033	01134a141	WISE	
01134a141-w4-int-1b	-9999	55217.0818052933	w4	9	35.5581316989631	8.38691498110033	01134a141	WISE	
01134a142-w1-int-1b	-9999	55217.0819268163	w1	8	35.5581328230508	8.38691658790445	01134a142	WISE	
01134a142-w2-int-1b	-9999	55217.0819268163	w2	8	35.5581328230508	8.38691658790445	01134a142	WISE	
01134a142-w3-int-1b	-9999	55217.0819326033	w3	9	35.5581328765805	8.38691666442143	01134a142	WISE	
01134a142-w4-int-1b	-9999	55217.0819326033	w4	9	35.5581328765805	8.38691666442143	01134a142	WISE	
01137a117-w1-int-1b	-9999	55217.1480155063	w1	8	35.5587441434333	8.38779042725001	01137a117	WISE	
01137a117-w2-int-1b	-9999	55217.1480155063	w2	8	35.5587441434333	8.38779042725001	01137a117	WISE	
01137a117-w3-int-1b	-9999	55217.1480212933	w3	9	35.558744196963	8.38779050376699	01137a117	WISE	
01137a117-w4-int-1b	-9999	55217.1480212933	w4	9	35.558744196963	8.38779050376699	01137a117	WISE	
