Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
07489b137-w1-int-1b	-9999	55427.2888194663	w1	8	51.927036085952	30.0511685428251	07489b137	WISE	
07489b137-w2-int-1b	-9999	55427.2888194663	w2	8	51.927036085952	30.0511685428251	07489b137	WISE	
07497b136-w1-int-1b	-9999	55427.5533117463	w1	8	51.9377149617568	30.0651866336649	07497b136	WISE	
07497b136-w2-int-1b	-9999	55427.5533117463	w2	8	51.9377149617568	30.0651866336649	07497b136	WISE	
07501b136-w1-int-1b	-9999	55427.6856160263	w1	8	51.9430567470618	30.0721987605049	07501b136	WISE	
07501b136-w2-int-1b	-9999	55427.6856160263	w2	8	51.9430567470618	30.0721987605049	07501b136	WISE	
07504a112-w1-int-1b	-9999	55427.7518318863	w1	8	51.9457302124094	30.075708201085	07504a112	WISE	
07504a112-w2-int-1b	-9999	55427.7518318863	w2	8	51.9457302124094	30.075708201085	07504a112	WISE	
07505b136-w1-int-1b	-9999	55427.8179203663	w1	8	51.9483985347894	30.0792108905251	07505b136	WISE	
07505b136-w2-int-1b	-9999	55427.8179203663	w2	8	51.9483985347894	30.0792108905251	07505b136	WISE	
07505b136-w3-int-1b	-9999	55427.8179261533	w3	9	51.9483987684395	30.079211197236	07505b136	WISE	
07508a111-w1-int-1b	-9999	55427.8840088063	w1	8	51.9510668555544	30.082713577845	07508a111	WISE	
07508a111-w2-int-1b	-9999	55427.8840088063	w2	8	51.9510668555544	30.082713577845	07508a111	WISE	
07508a112-w1-int-1b	-9999	55427.8841361663	w1	8	51.9510719977144	30.082720327925	07508a112	WISE	
07508a112-w2-int-1b	-9999	55427.8841361663	w2	8	51.9510719977144	30.082720327925	07508a112	WISE	
07508a112-w3-int-1b	-9999	55427.8841419533	w3	9	51.9510722313644	30.0827206346359	07508a112	WISE	
07509b136-w1-int-1b	-9999	55427.9502246563	w1	8	51.9537403204981	30.0862230178949	07509b136	WISE	
07509b136-w2-int-1b	-9999	55427.9502246563	w2	8	51.9537403204981	30.0862230178949	07509b136	WISE	
07509b136-w3-int-1b	-9999	55427.9502304433	w3	9	51.9537405541481	30.0862233246059	07509b136	WISE	
07512a111-w1-int-1b	-9999	55428.0163130863	w1	8	51.9563678581436	30.089719360707	07512a111	WISE	
07512a111-w2-int-1b	-9999	55428.0163130863	w2	8	51.9563678581436	30.089719360707	07512a111	WISE	
07512a111-w3-int-1b	-9999	55428.0163188733	w3	9	51.9563680773262	30.0897196651674	07512a111	WISE	
07513b136-w1-int-1b	-9999	55428.0825288863	w1	8	51.9588757815685	30.093203047518	07513b136	WISE	
07513b136-w2-int-1b	-9999	55428.0825288863	w2	8	51.9588757815685	30.093203047518	07513b136	WISE	
07513b136-w3-int-1b	-9999	55428.0825346733	w3	9	51.9588760007514	30.0932033519788	07513b136	WISE	
07516a111-w1-int-1b	-9999	55428.1486173263	w1	8	51.9613788812335	30.0966800337779	07516a111	WISE	
07516a111-w2-int-1b	-9999	55428.1486173263	w2	8	51.9613788812335	30.0966800337779	07516a111	WISE	
07516a111-w3-int-1b	-9999	55428.1486231133	w3	9	51.9613791004163	30.0966803382387	07516a111	WISE	
07517b136-w1-int-1b	-9999	55428.2148331263	w1	8	51.9638868046587	30.1001637205893	07517b136	WISE	
07517b136-w2-int-1b	-9999	55428.2148331263	w2	8	51.9638868046587	30.1001637205893	07517b136	WISE	
07517b136-w3-int-1b	-9999	55428.2148389133	w3	9	51.9638870238412	30.1001640250497	07517b136	WISE	
07520a111-w1-int-1b	-9999	55428.2809216063	w1	8	51.9663899058387	30.1036407089538	07520a111	WISE	
07520a111-w2-int-1b	-9999	55428.2809216063	w2	8	51.9663899058387	30.1036407089538	07520a111	WISE	
07520a111-w3-int-1b	-9999	55428.2809273933	w3	9	51.9663901250213	30.1036410134142	07520a111	WISE	
07524a111-w1-int-1b	-9999	55428.4132258463	w1	8	51.9714009289286	30.1106013820247	07524a111	WISE	
07524a111-w2-int-1b	-9999	55428.4132258463	w2	8	51.9714009289286	30.1106013820247	07524a111	WISE	
07524a111-w3-int-1b	-9999	55428.4132316333	w3	9	51.9714011481112	30.1106016864852	07524a111	WISE	
07528a111-w1-int-1b	-9999	55428.5455301263	w1	8	51.9764119535336	30.1175620572003	07528a111	WISE	
07528a111-w2-int-1b	-9999	55428.5455301263	w2	8	51.9764119535336	30.1175620572003	07528a111	WISE	
07528a111-w3-int-1b	-9999	55428.5455359133	w3	9	51.9764121727161	30.1175623616607	07528a111	WISE	
