Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03841b155-w1-int-1b	-9999	55306.6349194663	w1	8	303.64897486271	-22.8565449731554	03841b155	WISE	
03841b155-w2-int-1b	-9999	55306.6349194663	w2	8	303.64897486271	-22.8565449731554	03841b155	WISE	
03841b155-w3-int-1b	-9999	55306.6349252533	w3	9	303.648974887546	-22.8565449750844	03841b155	WISE	
03841b155-w4-int-1b	-9999	55306.6349252533	w4	9	303.648974887546	-22.8565449750844	03841b155	WISE	
03845b155-w1-int-1b	-9999	55306.7672236563	w1	8	303.649542668192	-22.8565890745521	03845b155	WISE	
03845b155-w2-int-1b	-9999	55306.7672236563	w2	8	303.649542668192	-22.8565890745521	03845b155	WISE	
03845b155-w3-int-1b	-9999	55306.7672294433	w3	9	303.649542693028	-22.8565890764811	03845b155	WISE	
03845b155-w4-int-1b	-9999	55306.7672294433	w4	9	303.649542693028	-22.8565890764811	03845b155	WISE	
03849b155-w1-int-1b	-9999	55306.8995278863	w1	8	303.650110473846	-22.8566331759621	03849b155	WISE	
03849b155-w2-int-1b	-9999	55306.8995278863	w2	8	303.650110473846	-22.8566331759621	03849b155	WISE	
03849b155-w3-int-1b	-9999	55306.8995336733	w3	9	303.650110498681	-22.8566331778911	03849b155	WISE	
03849b155-w4-int-1b	-9999	55306.8995336733	w4	9	303.650110498681	-22.8566331778911	03849b155	WISE	
03852a131-w1-int-1b	-9999	55306.9657436363	w1	8	303.650394649773	-22.8566552478788	03852a131	WISE	
03852a131-w2-int-1b	-9999	55306.9657436363	w2	8	303.650394649773	-22.8566552478788	03852a131	WISE	
03852a131-w3-int-1b	-9999	55306.9657494233	w3	9	303.650394674609	-22.8566552498078	03852a131	WISE	
03852a131-w4-int-1b	-9999	55306.9657494233	w4	9	303.650394674609	-22.8566552498078	03852a131	WISE	
03853b155-w1-int-1b	-9999	55307.0318320563	w1	8	303.650666342221	-22.8566790457997	03853b155	WISE	
03853b155-w2-int-1b	-9999	55307.0318320563	w2	8	303.650666342221	-22.8566790457997	03853b155	WISE	
03853b155-w3-int-1b	-9999	55307.0318378433	w3	9	303.650666364887	-22.8566790480502	03853b155	WISE	
