Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03781b153-w1-int-1b	-9999	55304.6499745063	w1	8	300.803114482421	-21.5369958411231	03781b153	WISE	
03781b153-w2-int-1b	-9999	55304.6499745063	w2	8	300.803114482421	-21.5369958411231	03781b153	WISE	
03781b153-w3-int-1b	-9999	55304.6499802933	w3	9	300.803114505328	-21.5369958393548	03781b153	WISE	
03781b153-w4-int-1b	-9999	55304.6499802933	w4	9	300.803114505328	-21.5369958393548	03781b153	WISE	
03785b153-w1-int-1b	-9999	55304.7822787363	w1	8	300.803638186665	-21.5369554148306	03785b153	WISE	
03785b153-w2-int-1b	-9999	55304.7822787363	w2	8	300.803638186665	-21.5369554148306	03785b153	WISE	
03785b153-w3-int-1b	-9999	55304.7822845233	w3	9	300.803638209571	-21.5369554130623	03785b153	WISE	
03785b153-w4-int-1b	-9999	55304.7822845233	w4	9	300.803638209571	-21.5369554130623	03785b153	WISE	
03789b153-w1-int-1b	-9999	55304.9145828663	w1	8	300.804161890512	-21.5369149885686	03789b153	WISE	
03789b153-w2-int-1b	-9999	55304.9145828663	w2	8	300.804161890512	-21.5369149885686	03789b153	WISE	
03789b153-w3-int-1b	-9999	55304.9145886533	w3	9	300.804161913419	-21.5369149868004	03789b153	WISE	
03789b153-w4-int-1b	-9999	55304.9145886533	w4	9	300.804161913419	-21.5369149868004	03789b153	WISE	
03793b152-w1-int-1b	-9999	55305.0467597363	w1	8	300.804665607399	-21.5368771989548	03793b152	WISE	
03793b152-w2-int-1b	-9999	55305.0467597363	w2	8	300.804665607399	-21.5368771989548	03793b152	WISE	
03793b152-w3-int-1b	-9999	55305.0467655233	w3	9	300.804665627895	-21.5368771975081	03793b152	WISE	
03793b152-w4-int-1b	-9999	55305.0467655233	w4	9	300.804665627895	-21.5368771975081	03793b152	WISE	
03793b153-w1-int-1b	-9999	55305.0468870463	w1	8	300.804666058289	-21.5368771671273	03793b153	WISE	
03793b153-w2-int-1b	-9999	55305.0468870463	w2	8	300.804666058289	-21.5368771671273	03793b153	WISE	
03793b153-w3-int-1b	-9999	55305.0468928333	w3	9	300.804666078785	-21.5368771656806	03793b153	WISE	
03793b153-w4-int-1b	-9999	55305.0468928333	w4	9	300.804666078785	-21.5368771656806	03793b153	WISE	
03796a076-w1-int-1b	-9999	55305.1129754863	w1	8	300.804900121514	-21.5368606450173	03796a076	WISE	
03796a076-w2-int-1b	-9999	55305.1129754863	w2	8	300.804900121514	-21.5368606450173	03796a076	WISE	
03796a076-w3-int-1b	-9999	55305.1129812733	w3	9	300.80490014201	-21.5368606435706	03796a076	WISE	
03796a076-w4-int-1b	-9999	55305.1129812733	w4	9	300.80490014201	-21.5368606435706	03796a076	WISE	
03797b153-w1-int-1b	-9999	55305.1791912363	w1	8	300.805134635629	-21.5368440910798	03797b153	WISE	
03797b153-w2-int-1b	-9999	55305.1791912363	w2	8	300.805134635629	-21.5368440910798	03797b153	WISE	
03797b153-w3-int-1b	-9999	55305.1791970233	w3	9	300.805134656124	-21.5368440896331	03797b153	WISE	
03797b153-w4-int-1b	-9999	55305.1791970233	w4	9	300.805134656124	-21.5368440896331	03797b153	WISE	
03800a127-w1-int-1b	-9999	55305.2452796663	w1	8	300.805368698818	-21.5368275689723	03800a127	WISE	
03800a127-w2-int-1b	-9999	55305.2452796663	w2	8	300.805368698818	-21.5368275689723	03800a127	WISE	
03800a127-w3-int-1b	-9999	55305.2452854533	w3	9	300.805368719314	-21.5368275675256	03800a127	WISE	
03800a127-w4-int-1b	-9999	55305.2452854533	w4	9	300.805368719314	-21.5368275675256	03800a127	WISE	
03804a127-w1-int-1b	-9999	55305.3775838563	w1	8	300.805837276158	-21.5367944929248	03804a127	WISE	
03804a127-w2-int-1b	-9999	55305.3775838563	w2	8	300.805837276158	-21.5367944929248	03804a127	WISE	
03804a127-w3-int-1b	-9999	55305.3775896433	w3	9	300.805837296654	-21.5367944914781	03804a127	WISE	
