Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03881b148-w1-int-1b	-9999	55307.9573248863	w1	8	304.2700269641	-18.7191124557072	03881b148	WISE	
03881b148-w2-int-1b	-9999	55307.9573248863	w2	8	304.2700269641	-18.7191124557072	03881b148	WISE	
03881b148-w3-int-1b	-9999	55307.9573306733	w3	9	304.270026988695	-18.7191124479912	03881b148	WISE	
03881b148-w4-int-1b	-9999	55307.9573306733	w4	9	304.270026988695	-18.7191124479912	03881b148	WISE	
03885b153-w1-int-1b	-9999	55308.0896290163	w1	8	304.270551911229	-18.7189435192852	03885b153	WISE	
03885b153-w2-int-1b	-9999	55308.0896290163	w2	8	304.270551911229	-18.7189435192852	03885b153	WISE	
03885b153-w3-int-1b	-9999	55308.0896348033	w3	9	304.270551933412	-18.7189435120515	03885b153	WISE	
03885b153-w4-int-1b	-9999	55308.0896348033	w4	9	304.270551933412	-18.7189435120515	03885b153	WISE	
03889b151-w1-int-1b	-9999	55308.2219332063	w1	8	304.271059077291	-18.7187781390477	03889b151	WISE	
03889b151-w2-int-1b	-9999	55308.2219332063	w2	8	304.271059077291	-18.7187781390477	03889b151	WISE	
03889b151-w3-int-1b	-9999	55308.2219389933	w3	9	304.271059099474	-18.718778131814	03889b151	WISE	
03889b151-w4-int-1b	-9999	55308.2219389933	w4	9	304.271059099474	-18.718778131814	03889b151	WISE	
03892a130-w1-int-1b	-9999	55308.2881490063	w1	8	304.271312904524	-18.7186953692977	03892a130	WISE	
03892a130-w2-int-1b	-9999	55308.2881490063	w2	8	304.271312904524	-18.7186953692977	03892a130	WISE	
03892a130-w3-int-1b	-9999	55308.2881547933	w3	9	304.271312926708	-18.718695362064	03892a130	WISE	
03892a130-w4-int-1b	-9999	55308.2881547933	w4	9	304.271312926708	-18.718695362064	03892a130	WISE	
03893b152-w1-int-1b	-9999	55308.3542374263	w1	8	304.271566243467	-18.7186127587727	03893b152	WISE	
03893b152-w2-int-1b	-9999	55308.3542374263	w2	8	304.271566243467	-18.7186127587727	03893b152	WISE	
03893b152-w3-int-1b	-9999	55308.3542432133	w3	9	304.271566265651	-18.718612751539	03893b152	WISE	
03893b152-w4-int-1b	-9999	55308.3542432133	w4	9	304.271566265651	-18.718612751539	03893b152	WISE	
03896a127-w1-int-1b	-9999	55308.4204531863	w1	8	304.271820070547	-18.7185299890727	03896a127	WISE	
03896a127-w2-int-1b	-9999	55308.4204531863	w2	8	304.271820070547	-18.7185299890727	03896a127	WISE	
03896a127-w3-int-1b	-9999	55308.4204589733	w3	9	304.271820092731	-18.718529981839	03896a127	WISE	
03896a127-w4-int-1b	-9999	55308.4204589733	w4	9	304.271820092731	-18.718529981839	03896a127	WISE	
03897b151-w1-int-1b	-9999	55308.4865416163	w1	8	304.272073409529	-18.7184473785352	03897b151	WISE	
03897b151-w2-int-1b	-9999	55308.4865416163	w2	8	304.272073409529	-18.7184473785352	03897b151	WISE	
03897b151-w3-int-1b	-9999	55308.4865474033	w3	9	304.272073431713	-18.7184473713015	03897b151	WISE	
03897b151-w4-int-1b	-9999	55308.4865474033	w4	9	304.272073431713	-18.7184473713015	03897b151	WISE	
03900a126-w4-int-1b	-9999	55308.5526399233	w4	9	304.272326786373	-18.7183647556515	03900a126	WISE	
03900a127-w1-int-1b	-9999	55308.5527614463	w1	8	304.272327252211	-18.7183646037477	03900a127	WISE	
03900a127-w2-int-1b	-9999	55308.5527614463	w2	8	304.272327252211	-18.7183646037477	03900a127	WISE	
03900a127-w3-int-1b	-9999	55308.5527672333	w3	9	304.272327274394	-18.718364596514	03900a127	WISE	
03900a127-w4-int-1b	-9999	55308.5527672333	w4	9	304.272327274394	-18.718364596514	03900a127	WISE	
03901b151-w1-int-1b	-9999	55308.6188499063	w1	8	304.272580591308	-18.7182819931727	03901b151	WISE	
03901b151-w2-int-1b	-9999	55308.6188499063	w2	8	304.272580591308	-18.7182819931727	03901b151	WISE	
03901b151-w3-int-1b	-9999	55308.6188556933	w3	9	304.272580613491	-18.718281985939	03901b151	WISE	
03901b151-w4-int-1b	-9999	55308.6188556933	w4	9	304.272580613491	-18.718281985939	03901b151	WISE	
03901b152-w1-int-1b	-9999	55308.6189772663	w1	8	304.272581079521	-18.7182818339727	03901b152	WISE	
03901b152-w2-int-1b	-9999	55308.6189772663	w2	8	304.272581079521	-18.7182818339727	03901b152	WISE	
03901b152-w3-int-1b	-9999	55308.6189830533	w3	9	304.272581101704	-18.718281826739	03901b152	WISE	
03901b152-w4-int-1b	-9999	55308.6189830533	w4	9	304.272581101704	-18.718281826739	03901b152	WISE	
03904a127-w1-int-1b	-9999	55308.6850657263	w1	8	304.272834418618	-18.7181992233977	03904a127	WISE	
03904a127-w2-int-1b	-9999	55308.6850657263	w2	8	304.272834418618	-18.7181992233977	03904a127	WISE	
03904a127-w3-int-1b	-9999	55308.6850715133	w3	9	304.272834440801	-18.718199216164	03904a127	WISE	
03904a127-w4-int-1b	-9999	55308.6850715133	w4	9	304.272834440801	-18.718199216164	03904a127	WISE	
03905b151-w1-int-1b	-9999	55308.7511542063	w1	8	304.273087757791	-18.7181166127977	03905b151	WISE	
