Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03841b149-w1-int-1b	-9999	55306.6341554263	w1	8	302.757199224466	-18.6842933483205	03841b149	WISE	
03841b149-w2-int-1b	-9999	55306.6341554263	w2	8	302.757199224466	-18.6842933483205	03841b149	WISE	
03841b149-w3-int-1b	-9999	55306.6341612133	w3	9	302.757199248338	-18.6842933406045	03841b149	WISE	
03841b149-w4-int-1b	-9999	55306.6341612133	w4	9	302.757199248338	-18.6842933406045	03841b149	WISE	
03845b149-w1-int-1b	-9999	55306.7664596163	w1	8	302.75774497925	-18.6841169427339	03845b149	WISE	
03845b149-w2-int-1b	-9999	55306.7664596163	w2	8	302.75774497925	-18.6841169427339	03845b149	WISE	
03845b149-w3-int-1b	-9999	55306.7664654033	w3	9	302.757745003122	-18.6841169350179	03845b149	WISE	
03845b149-w4-int-1b	-9999	55306.7664654033	w4	9	302.757745003122	-18.6841169350179	03845b149	WISE	
03849b149-w1-int-1b	-9999	55306.8987638463	w1	8	302.758290734199	-18.6839405370939	03849b149	WISE	
03849b149-w2-int-1b	-9999	55306.8987638463	w2	8	302.758290734199	-18.6839405370939	03849b149	WISE	
03849b149-w3-int-1b	-9999	55306.8987696333	w3	9	302.75829075807	-18.6839405293779	03849b149	WISE	
03849b149-w4-int-1b	-9999	55306.8987696333	w4	9	302.75829075807	-18.6839405293779	03849b149	WISE	
03852a124-w1-int-1b	-9999	55306.9649795963	w1	8	302.758563874168	-18.6838522494272	03852a124	WISE	
03852a124-w2-int-1b	-9999	55306.9649795963	w2	8	302.758563874168	-18.6838522494272	03852a124	WISE	
03852a124-w3-int-1b	-9999	55306.9649853833	w3	9	302.758563898039	-18.6838522417112	03852a124	WISE	
03852a124-w4-int-1b	-9999	55306.9649853833	w4	9	302.758563898039	-18.6838522417112	03852a124	WISE	
03853b148-w1-int-1b	-9999	55307.0310680363	w1	8	302.758823543968	-18.6837667205102	03853b148	WISE	
03853b148-w2-int-1b	-9999	55307.0310680363	w2	8	302.758823543968	-18.6837667205102	03853b148	WISE	
03853b148-w3-int-1b	-9999	55307.0310738233	w3	9	302.758823565428	-18.6837667132765	03853b148	WISE	
03853b148-w4-int-1b	-9999	55307.0310738233	w4	9	302.758823565428	-18.6837667132765	03853b148	WISE	
03856a124-w1-int-1b	-9999	55307.0972838163	w1	8	302.759069094152	-18.6836839507852	03856a124	WISE	
03856a124-w2-int-1b	-9999	55307.0972838163	w2	8	302.759069094152	-18.6836839507852	03856a124	WISE	
03856a124-w3-int-1b	-9999	55307.0972896033	w3	9	302.759069115612	-18.6836839435515	03856a124	WISE	
03856a124-w4-int-1b	-9999	55307.0972896033	w4	9	302.759069115612	-18.6836839435515	03856a124	WISE	
03857b148-w1-int-1b	-9999	55307.1633722563	w1	8	302.759314172117	-18.6836013402352	03857b148	WISE	
03857b148-w2-int-1b	-9999	55307.1633722563	w2	8	302.759314172117	-18.6836013402352	03857b148	WISE	
03857b148-w3-int-1b	-9999	55307.1633780433	w3	9	302.759314193577	-18.6836013330015	03857b148	WISE	
03857b148-w4-int-1b	-9999	55307.1633780433	w4	9	302.759314193577	-18.6836013330015	03857b148	WISE	
03860a123-w1-int-1b	-9999	55307.2294606963	w1	8	302.759559250082	-18.6835187296852	03860a123	WISE	
03860a123-w2-int-1b	-9999	55307.2294606963	w2	8	302.759559250082	-18.6835187296852	03860a123	WISE	
03860a123-w3-int-1b	-9999	55307.2294664833	w3	9	302.759559271542	-18.6835187224515	03860a123	WISE	
03860a123-w4-int-1b	-9999	55307.2294664833	w4	9	302.759559271542	-18.6835187224515	03860a123	WISE	
03860a124-w1-int-1b	-9999	55307.2295880063	w1	8	302.75955972219	-18.6835185705477	03860a124	WISE	
03860a124-w2-int-1b	-9999	55307.2295880063	w2	8	302.75955972219	-18.6835185705477	03860a124	WISE	
03860a124-w3-int-1b	-9999	55307.2295937933	w3	9	302.75955974365	-18.683518563314	03860a124	WISE	
03860a124-w4-int-1b	-9999	55307.2295937933	w4	9	302.75955974365	-18.683518563314	03860a124	WISE	
03861b148-w1-int-1b	-9999	55307.2956764363	w1	8	302.759804800118	-18.6834359600102	03861b148	WISE	
03861b148-w2-int-1b	-9999	55307.2956764363	w2	8	302.759804800118	-18.6834359600102	03861b148	WISE	
03861b148-w3-int-1b	-9999	55307.2956822233	w3	9	302.759804821578	-18.6834359527765	03861b148	WISE	
03861b148-w4-int-1b	-9999	55307.2956822233	w4	9	302.759804821578	-18.6834359527765	03861b148	WISE	
03861b149-w1-int-1b	-9999	55307.2958038063	w1	8	302.759805272448	-18.6834358007977	03861b149	WISE	
03861b149-w2-int-1b	-9999	55307.2958038063	w2	8	302.759805272448	-18.6834358007977	03861b149	WISE	
03861b149-w3-int-1b	-9999	55307.2958095933	w3	9	302.759805293908	-18.683435793564	03861b149	WISE	
03861b149-w4-int-1b	-9999	55307.2958095933	w4	9	302.759805293908	-18.683435793564	03861b149	WISE	
03864a124-w1-int-1b	-9999	55307.3618922363	w1	8	302.760050350376	-18.6833531902602	03864a124	WISE	
03864a124-w2-int-1b	-9999	55307.3618922363	w2	8	302.760050350376	-18.6833531902602	03864a124	WISE	
03864a124-w3-int-1b	-9999	55307.3618980233	w3	9	302.760050371836	-18.6833531830265	03864a124	WISE	
03864a124-w4-int-1b	-9999	55307.3618980233	w4	9	302.760050371836	-18.6833531830265	03864a124	WISE	
03865b148-w1-int-1b	-9999	55307.4279806763	w1	8	302.760295428341	-18.6832705797102	03865b148	WISE	
03865b148-w2-int-1b	-9999	55307.4279806763	w2	8	302.760295428341	-18.6832705797102	03865b148	WISE	
03865b148-w3-int-1b	-9999	55307.4279864633	w3	9	302.760295449801	-18.6832705724765	03865b148	WISE	
03865b148-w4-int-1b	-9999	55307.4279864633	w4	9	302.760295449801	-18.6832705724765	03865b148	WISE	
03868a124-w1-int-1b	-9999	55307.4941964263	w1	8	302.760540978414	-18.6831878100227	03868a124	WISE	
03868a124-w2-int-1b	-9999	55307.4941964263	w2	8	302.760540978414	-18.6831878100227	03868a124	WISE	
03868a124-w3-int-1b	-9999	55307.4942022133	w3	9	302.760540999874	-18.683187802789	03868a124	WISE	
03868a124-w4-int-1b	-9999	55307.4942022133	w4	9	302.760540999874	-18.683187802789	03868a124	WISE	
03872a124-w1-int-1b	-9999	55307.6265006763	w1	8	302.761031606675	-18.6830224297102	03872a124	WISE	
03872a124-w2-int-1b	-9999	55307.6265006763	w2	8	302.761031606675	-18.6830224297102	03872a124	WISE	
03872a124-w3-int-1b	-9999	55307.6265064633	w3	9	302.761031628135	-18.6830224224765	03872a124	WISE	
03872a124-w4-int-1b	-9999	55307.6265064633	w4	9	302.761031628135	-18.6830224224765	03872a124	WISE	
03876a124-w1-int-1b	-9999	55307.7588049063	w1	8	302.761522234861	-18.6828570494227	03876a124	WISE	
03876a124-w2-int-1b	-9999	55307.7588049063	w2	8	302.761522234861	-18.6828570494227	03876a124	WISE	
03876a124-w3-int-1b	-9999	55307.7588106933	w3	9	302.761522256321	-18.682857042189	03876a124	WISE	
03876a124-w4-int-1b	-9999	55307.7588106933	w4	9	302.761522256321	-18.682857042189	03876a124	WISE	
03880a124-w1-int-1b	-9999	55307.8911090863	w1	8	302.762012862862	-18.6826916691977	03880a124	WISE	
03880a124-w2-int-1b	-9999	55307.8911090863	w2	8	302.762012862862	-18.6826916691977	03880a124	WISE	
03880a124-w3-int-1b	-9999	55307.8911148733	w3	9	302.762012884322	-18.682691661964	03880a124	WISE	
03880a124-w4-int-1b	-9999	55307.8911148733	w4	9	302.762012884322	-18.682691661964	03880a124	WISE	
rings.v3.skycell.0952.031.wrp.z.55329_60959	-9999	55329.6101661111	z	30	302.74688419713	-18.6756445367284	0952.031	Pan-STARRS1	
