Image	Ext	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
03861b152-w1-int-1b	-9999	55307.2960584863	w1	8	303.943148601396	-20.5017615084416	03861b152	WISE	
03861b152-w2-int-1b	-9999	55307.2960584863	w2	8	303.943148601396	-20.5017615084416	03861b152	WISE	
03861b152-w3-int-1b	-9999	55307.2960642733	w3	9	303.94314862792	-20.5017615037798	03861b152	WISE	
03861b152-w4-int-1b	-9999	55307.2960642733	w4	9	303.94314862792	-20.5017615037798	03861b152	WISE	
03865b152-w1-int-1b	-9999	55307.4283626663	w1	8	303.943754995554	-20.5016549300743	03865b152	WISE	
03865b152-w2-int-1b	-9999	55307.4283626663	w2	8	303.943754995554	-20.5016549300743	03865b152	WISE	
03865b152-w3-int-1b	-9999	55307.4283684533	w3	9	303.943755022078	-20.5016549254126	03865b152	WISE	
03865b152-w4-int-1b	-9999	55307.4283684533	w4	9	303.943755022078	-20.5016549254126	03865b152	WISE	
03869b151-w1-int-1b	-9999	55307.5606669263	w1	8	303.944361390079	-20.5015483516427	03869b151	WISE	
03869b151-w2-int-1b	-9999	55307.5606669263	w2	8	303.944361390079	-20.5015483516427	03869b151	WISE	
03869b151-w3-int-1b	-9999	55307.5606727133	w3	9	303.944361416603	-20.5015483469809	03869b151	WISE	
03869b151-w4-int-1b	-9999	55307.5606727133	w4	9	303.944361416603	-20.5015483469809	03869b151	WISE	
03873b151-w1-int-1b	-9999	55307.6929710963	w1	8	303.944967784191	-20.5014417732835	03873b151	WISE	
03873b151-w2-int-1b	-9999	55307.6929710963	w2	8	303.944967784191	-20.5014417732835	03873b151	WISE	
03873b151-w3-int-1b	-9999	55307.6929768833	w3	9	303.944967810715	-20.5014417686218	03873b151	WISE	
03873b151-w4-int-1b	-9999	55307.6929768833	w4	9	303.944967810715	-20.5014417686218	03873b151	WISE	
03873b153-w1-int-1b	-9999	55307.6930984763	w1	8	303.944968368016	-20.5014416706718	03873b153	WISE	
03873b153-w2-int-1b	-9999	55307.6930984763	w2	8	303.944968368016	-20.5014416706718	03873b153	WISE	
03873b153-w3-int-1b	-9999	55307.6931042633	w3	9	303.94496839454	-20.5014416660101	03873b153	WISE	
03873b153-w4-int-1b	-9999	55307.6931042633	w4	9	303.94496839454	-20.5014416660101	03873b153	WISE	
03876a127-w1-int-1b	-9999	55307.7591868963	w1	8	303.945271273275	-20.5013884327779	03876a127	WISE	
03876a127-w2-int-1b	-9999	55307.7591868963	w2	8	303.945271273275	-20.5013884327779	03876a127	WISE	
03876a127-w3-int-1b	-9999	55307.7591926833	w3	9	303.945271299798	-20.5013884281162	03876a127	WISE	
03876a127-w4-int-1b	-9999	55307.7591926833	w4	9	303.945271299798	-20.5013884281162	03876a127	WISE	
03877b151-w1-int-1b	-9999	55307.8252753363	w1	8	303.945574178625	-20.5013351948679	03877b151	WISE	
03877b151-w2-int-1b	-9999	55307.8252753363	w2	8	303.945574178625	-20.5013351948679	03877b151	WISE	
03877b151-w3-int-1b	-9999	55307.8252811233	w3	9	303.945574205149	-20.5013351902062	03877b151	WISE	
03877b151-w4-int-1b	-9999	55307.8252811233	w4	9	303.945574205149	-20.5013351902062	03877b151	WISE	
03877b152-w1-int-1b	-9999	55307.8254026463	w1	8	303.945574762129	-20.5013350923127	03877b152	WISE	
03877b152-w2-int-1b	-9999	55307.8254026463	w2	8	303.945574762129	-20.5013350923127	03877b152	WISE	
03877b152-w3-int-1b	-9999	55307.8254084333	w3	9	303.945574788653	-20.5013350876509	03877b152	WISE	
03877b152-w4-int-1b	-9999	55307.8254084333	w4	9	303.945574788653	-20.5013350876509	03877b152	WISE	
03880a127-w1-int-1b	-9999	55307.8914911363	w1	8	303.945877667708	-20.5012818543624	03880a127	WISE	
03880a127-w2-int-1b	-9999	55307.8914911363	w2	8	303.945877667708	-20.5012818543624	03880a127	WISE	
03880a127-w3-int-1b	-9999	55307.8914969233	w3	9	303.945877694232	-20.5012818497006	03880a127	WISE	
03880a127-w4-int-1b	-9999	55307.8914969233	w4	9	303.945877694232	-20.5012818497006	03880a127	WISE	
03881b150-w1-int-1b	-9999	55307.9575795563	w1	8	303.946180572966	-20.5012286164685	03881b150	WISE	
03881b150-w2-int-1b	-9999	55307.9575795563	w2	8	303.946180572966	-20.5012286164685	03881b150	WISE	
03881b150-w3-int-1b	-9999	55307.9575853433	w3	9	303.94618059949	-20.5012286118067	03881b150	WISE	
03881b150-w4-int-1b	-9999	55307.9575853433	w4	9	303.94618059949	-20.5012286118067	03881b150	WISE	
03881b151-w1-int-1b	-9999	55307.9577068863	w1	8	303.946181156562	-20.5012285138971	03881b151	WISE	
03881b151-w2-int-1b	-9999	55307.9577068863	w2	8	303.946181156562	-20.5012285138971	03881b151	WISE	
03881b151-w3-int-1b	-9999	55307.9577126733	w3	9	303.946181183086	-20.5012285092354	03881b151	WISE	
03881b151-w4-int-1b	-9999	55307.9577126733	w4	9	303.946181183086	-20.5012285092354	03881b151	WISE	
03884a126-w1-int-1b	-9999	55308.0237953163	w1	8	303.94647315568	-20.5011772589382	03884a126	WISE	
03884a126-w2-int-1b	-9999	55308.0237953163	w2	8	303.94647315568	-20.5011772589382	03884a126	WISE	
03884a126-w3-int-1b	-9999	55308.0238011033	w3	9	303.946473179551	-20.5011772547587	03884a126	WISE	
03884a126-w4-int-1b	-9999	55308.0238011033	w4	9	303.946473179551	-20.5011772547587	03884a126	WISE	
03885b156-w1-int-1b	-9999	55308.0898837063	w1	8	303.946745770288	-20.5011295284343	03885b156	WISE	
03885b156-w2-int-1b	-9999	55308.0898837063	w2	8	303.946745770288	-20.5011295284343	03885b156	WISE	
03885b156-w3-int-1b	-9999	55308.0898894933	w3	9	303.94674579416	-20.5011295242548	03885b156	WISE	
03885b156-w4-int-1b	-9999	55308.0898894933	w4	9	303.94674579416	-20.5011295242548	03885b156	WISE	
03888a129-w1-int-1b	-9999	55308.1560994563	w1	8	303.947018910257	-20.5010817059482	03888a129	WISE	
03888a129-w2-int-1b	-9999	55308.1560994563	w2	8	303.947018910257	-20.5010817059482	03888a129	WISE	
03888a129-w3-int-1b	-9999	55308.1561052433	w3	9	303.947018934129	-20.5010817017687	03888a129	WISE	
03888a129-w4-int-1b	-9999	55308.1561052433	w4	9	303.947018934129	-20.5010817017687	03888a129	WISE	
03892a132-w1-int-1b	-9999	55308.2884036763	w1	8	303.947564665165	-20.5009861529004	03892a132	WISE	
03892a132-w2-int-1b	-9999	55308.2884036763	w2	8	303.947564665165	-20.5009861529004	03892a132	WISE	
03892a132-w3-int-1b	-9999	55308.2884094633	w3	9	303.947564689036	-20.5009861487209	03892a132	WISE	
03892a132-w4-int-1b	-9999	55308.2884094633	w4	9	303.947564689036	-20.5009861487209	03892a132	WISE	
03896a130-w1-int-1b	-9999	55308.4207078563	w1	8	303.948110419907	-20.5008905998815	03896a130	WISE	
03896a130-w2-int-1b	-9999	55308.4207078563	w2	8	303.948110419907	-20.5008905998815	03896a130	WISE	
03896a130-w3-int-1b	-9999	55308.4207136433	w3	9	303.948110443779	-20.500890595702	03896a130	WISE	
03896a130-w4-int-1b	-9999	55308.4207136433	w4	9	303.948110443779	-20.500890595702	03896a130	WISE	
